% Potentiometer Recording  5.0 s
% Vg_offset=1.395394V  K_gimbal=26.049690
% Fs=200 Hz  samples=1001

Time[s]              Vg[V]                Pot[V]               Omega[rad/s]        
        2.1903956000         1.3888858657         2.6869787707        -0.1695426768
        2.1954015000         1.3965428462         2.6946344031         0.0299192959
        2.2004348000         1.3965428462         2.6920825256         0.0299192959
        2.2053988000         1.3888858657         2.6946344031        -0.1695426768
        2.2104014000         1.3888858657         2.6844268933        -0.1695426768
        2.2154149000         1.4016475000         2.6971862806         0.1628939444
        2.2204225000         1.3888858657         2.6869787707        -0.1695426768
        2.2254172000         1.3939905194         2.6920825256        -0.0365680283
        2.2304503000         1.3965428462         2.6920825256         0.0299192959
        2.2353998000         1.3965428462         2.6920825256         0.0299192959
        2.2403863000         1.3939905194         2.6895306482        -0.0365680283
        2.2453797000         1.4041998268         2.6971862806         0.2293812686
        2.2503983000         1.3888858657         2.6869787707        -0.1695426768
        2.2553871000         1.3965428462         2.6946344031         0.0299192959
        2.2603924000         1.3965428462         2.6920825256         0.0299192959
        2.2654007000         1.3965428462         2.6920825256         0.0299192959
        2.2703814000         1.4016475000         2.6971862806         0.1628939444
        2.2754166000         1.3965428462         2.6895306482         0.0299192959
        2.2803764000         1.3965428462         2.6869787707         0.0299192959
        2.2853893000         1.3965428462         2.6920825256         0.0299192959
        2.2904041000         1.4041998268         2.6997381580         0.2293812686
        2.2953929000         1.3939905194         2.6971862806        -0.0365680283
        2.3004112000         1.3965428462         2.6920825256         0.0299192959
        2.3054306000         1.4016475000         2.6997381580         0.1628939444
        2.3103875000         1.3965428462         2.6895306482         0.0299192959
        2.3154190000         1.3939905194         2.6920825256        -0.0365680283
        2.3203977000         1.3965428462         2.6920825256         0.0299192959
        2.3254857000         1.3990951731         2.6946344031         0.0964066201
        2.3305472000         1.3965428462         2.6971862806         0.0299192959
        2.3354242000         1.4016475000         2.6971862806         0.1628939444
        2.3403880000         1.3965428462         2.6946344031         0.0299192959
        2.3454167000         1.3965428462         2.6920825256         0.0299192959
        2.3504063000         1.3965428462         2.6920825256         0.0299192959
        2.3554985000         1.3990951731         2.6920825256         0.0964066201
        2.3604160000         1.4016475000         2.6997381580         0.1628939444
        2.3654271000         1.3888858657         2.6869787707        -0.1695426768
        2.3704068000         1.4016475000         2.6971862806         0.1628939444
        2.3754127000         1.4016475000         2.6971862806         0.1628939444
        2.3804256000         1.3888858657         2.6869787707        -0.1695426768
        2.3854118000         1.3939905194         2.6920825256        -0.0365680283
        2.3903920000         1.3965428462         2.6920825256         0.0299192959
        2.3953781000         1.3939905194         2.6920825256        -0.0365680283
        2.4003909000         1.3965428462         2.6895306482         0.0299192959
        2.4053885000         1.3914381925         2.6844268933        -0.1030553526
        2.4104043000         1.4041998268         2.6997381580         0.2293812686
        2.4154484000         1.3965428462         2.6895306482         0.0299192959
        2.4203910000         1.3965428462         2.6920825256         0.0299192959
        2.4254014000         1.3965428462         2.6997381580         0.0299192959
        2.4304113000         1.3888858657         2.6895306482        -0.1695426768
        2.4354006000         1.3914381925         2.6869787707        -0.1030553526
        2.4404015000         1.3965428462         2.6920825256         0.0299192959
        2.4453898000         1.4016475000         2.6997381580         0.1628939444
        2.4504407000         1.3888858657         2.6869787707        -0.1695426768
        2.4554089000         1.4016475000         2.6971862806         0.1628939444
        2.4604090000         1.3888858657         2.6844268933        -0.1695426768
        2.4653982000         1.3888858657         2.6869787707        -0.1695426768
        2.4705180000         1.3965428462         2.6946344031         0.0299192959
        2.4754095000         1.3888858657         2.6844268933        -0.1695426768
        2.4805176000         1.3939905194         2.6920825256        -0.0365680283
        2.4854362000         1.3939905194         2.6895306482        -0.0365680283
        2.4904146000         1.4041998268         2.6997381580         0.2293812686
        2.4954282000         1.3965428462         2.6895306482         0.0299192959
        2.5004553000         1.4016475000         2.6997381580         0.1628939444
        2.5054123000         1.3939905194         2.6920825256        -0.0365680283
