% f=1.80Hz  n_cycles=5  N_total=555  dt=0.005000
% Amp=400.00deg/s
Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Omega_target[rad/s] 
        0.7350000000       358.6564147141         3.1294318749         1.5267115159         2.5262104908         4.8901426969         6.2597353202
        0.7400000000       348.0735018678         3.1172759080         1.5241591891         2.5364180006         4.8236553726         6.0750286465
        0.7450000000       336.3778329193         3.1039193474         1.5216068622         2.5593848978         4.7571680484         5.8709007152
        0.7500000000       323.6067977500         3.0894200679         1.5369208233         2.5772480400         5.1560919938         5.6480041026
        0.7550000000       309.8012240795         3.0738365217         1.5216068622         2.5874555498         4.7571680484         5.4070513869
        0.7600000000       295.0052469433         3.0572265239         1.5216068622         2.6104224470         4.7571680484         5.1488128698
        0.7650000000       279.2661675974         3.0396460989         1.5241591891         2.6410449765         4.8236553726         4.8741141140
        0.7700000000       262.6343023012         3.0211484252         1.5369208233         2.6563562412         5.1560919938         4.5838333038
        0.7750000000       245.1628214612         3.0017829149         1.5292638428         2.6742193834         4.9566300211         4.2788984380
        0.7800000000       226.9075796507         2.9815944638         1.5318161696         2.6920825256         5.0231173453         3.9602843626
        0.7850000000       207.9269370483         2.9606229030         1.5267115159         2.7099456679         4.8901426969         3.6290096551
        0.7900000000       188.2815728661         2.9389026796         1.5267115159         2.7252569326         4.8901426969         3.2861333673
        0.7950000000       168.0342913647         2.9164627866         1.5292638428         2.7609832170         4.9566300211         2.9327516406
        0.8000000000       147.2498210739         2.8933269601         1.5139498816         2.7635350945         4.5577060757         2.5699942007
        0.8050000000       125.9946078621         2.8695141481         1.5113975548         2.7813982367         4.4912187515         2.1990207470
        0.8100000000       104.3366025160         2.8450392528         1.5190545354         2.8043651338         4.6906807242         1.8210172442
        0.8150000000        82.3450435080         2.8199141365         1.5190545354         2.8273320310         4.6906807242         1.4371921319
        0.8200000000        60.0902356483         2.7941488715         1.5062929011         2.8426432957         4.3582441031         1.0487724604
        0.8250000000        37.6433253274         2.7677532089         1.5037405742         2.8528508056         4.2917567788         0.6569999684
        0.8300000000        15.0760730680         2.6882537183         1.5343684965         2.8809214576         5.0896046696         0.2631271133
        0.8350000000        -7.5393758862         2.4199182130         1.4986359205         2.8911289674         4.1587821304        -0.1315869328
        0.8400000000       -30.1307222112         2.2541822451         1.4807696325         2.8987845998         3.6933708608        -0.5258803086
        0.8450000000       -52.6257436369         2.2160710042         1.4526940371         2.9140958646         2.9620102943        -0.9184924978
        0.8500000000       -74.9525258343         2.1802667400         1.4348277491         2.9319590068         2.4965990247        -1.3081683585
        0.8550000000       -97.0396923182         2.1466267967         1.4041998268         2.9396146392         1.6987511340        -1.6936621361
        0.8600000000      -118.8166326308         2.1150046959         1.3684672508         2.9396146392         0.7679285948        -2.0737414455
        0.8650000000      -140.2137280765         2.0852556333         1.3531532897         2.9523740265         0.3690046495        -2.4471912114
        0.8700000000      -161.1625742855         2.0572412491         1.3276300211         2.9447183941        -0.2958685928        -2.8128175523
        0.8750000000      -181.5961998958         2.0308335989         1.3429439823         2.9498221490         0.1030553526        -3.1694515973
        0.8800000000      -201.4492806543         2.0059182842         1.3480486360         2.9523740265         0.2360300010        -3.5159532232
        0.8850000000      -220.6583482514         1.9823967352         1.3327346748         2.9498221490        -0.1628939444        -3.8512146990
        0.8900000000      -239.1619932230         1.9601876643         1.2280892737         2.9345108842        -2.8888742376        -4.1741642274
        0.8950000000      -256.9010612706         1.9392277359         1.2740311571         2.9268552519        -1.6921024016        -4.4837693710
        0.9000000000      -273.8188423715         1.9194715173         1.2638218497         2.9243033744        -1.9580516985        -4.7790403534
        0.9050000000      -289.8612520748         1.9008907940         1.2357462543         2.9089921097        -2.6894122650        -5.0590332227
        0.9100000000      -304.9770044046         1.8834733405         1.2331939274         2.9064402322        -2.7558995892        -5.3228528697
        0.9150000000      -319.1177758154         1.8672212490         1.2382985811         2.8911289674        -2.6229249407        -5.5696558896
        0.9200000000      -332.2383596783         1.8521489177         1.2102229857         2.8783695801        -3.3542855072        -5.7986532778
        0.9250000000      -344.2968108016         1.8382808013         1.2255369469         2.8732658252        -2.9553615619        -6.0091129526
        0.9300000000      -355.2545795254         1.8256490210         1.2102229857         2.8579545605        -3.3542855072        -6.2003620955
        0.9350000000      -365.0766349614         1.8142909253         1.2051183320         2.8528508056        -3.4872601557        -6.3717893022
        0.9400000000      -373.7315769826         1.8042466846         1.2051183320         2.8349876633        -3.4872601557        -6.5228465370
        0.9450000000      -381.1917366069         1.7955569907         1.1923566977         2.8196763986        -3.8196967768        -6.6530508852
        0.9500000000      -387.4332644515         1.7882609257         1.2000136783         2.7992613789        -3.6202348041        -6.7619860964
        0.9550000000      -392.4362069773         1.7823940512         1.1872520440         2.7890538691        -3.9526714253        -6.8493039158
        0.9600000000      -396.1845702787         1.7779867608         1.1872520440         2.7839501142        -3.9526714253        -6.9147251970
        0.9650000000      -398.6663712136         1.7750629300         1.1795950634         2.7584313396        -4.1521333980        -6.9580407947
        0.9700000000      -399.8736757133         1.7736388871         1.1642811023         2.7405681974        -4.5510573433        -6.9791122332
        0.9750000000      -399.8026241463         1.7737227254         1.1770427366         2.7303606875        -4.2186207222        -6.9778721495
        0.9800000000      -398.4534436573         1.7753139659         1.1642811023         2.7022900355        -4.5510573433        -6.9543245077
        0.9850000000      -395.8304474411         1.7784035772         1.1668334292         2.6971862806        -4.4845700191        -6.9085445875
        0.9900000000      -391.9420209537         1.7829743519         1.1566241217         2.6691156285        -4.7505193160        -6.8406787426
        0.9950000000      -386.8005951050         1.7890016336         1.1413101606         2.6487006088        -5.1494432614        -6.7509439333
        1.0000000000      -380.4226065181         1.7964543820         1.1770427366         2.6435968539        -4.2186207222        -6.6396270328
        1.0050000000      -372.8284449833         1.8052965579         1.1515194680         2.6180780793        -4.8834939645        -6.5070839100
        1.0100000000      -364.0423882740         1.8154888016         1.1591764486         2.6078705695        -4.6840319918        -6.3537382922
        1.0150000000      -354.0925245330         1.8269903702         1.1387578337         2.5772480400        -5.2159305856        -6.1800804098
        1.0200000000      -343.0106624775         1.8397612910         1.1489671412         2.5619367752        -4.9499812887        -5.9866654297
        1.0250000000      -330.8322297098         1.8537646761         1.1413101606         2.5364180006        -5.1494432614        -5.7741116802
        1.0300000000      -317.5961594591         1.8689691359         1.1438624875         2.5211067359        -5.0829559371        -5.5430986743
        1.0350000000      -303.3447661155         1.8853512167         1.1489671412         2.5083473486        -4.9499812887        -5.2943649374
        1.0400000000      -288.1236099552         1.9028977802         1.1464148143         2.4828285740        -5.0164686129        -5.0287056464
        1.0450000000      -271.9813514890         1.9216082310         1.1489671412         2.4649654318        -4.9499812887        -4.7469700875
        1.0500000000      -254.9695958995         1.9414964956         1.1566241217         2.4445504121        -4.7505193160        -4.4500589409
        1.0550000000      -237.1427280644         1.9625926504         1.1642811023         2.4343429023        -4.5510573433        -4.1389214019
        1.0600000000      -218.5577386937         1.9849440941         1.1413101606         2.4062722502        -5.1494432614        -3.8145521459
        1.0650000000      -199.2740421358         2.0086161671         1.1591764486         2.3833053531        -4.6840319918        -3.4779881490
        1.0700000000      -179.3532864360         2.0336921242         1.1898043709         2.3730978433        -3.8861841010        -3.1303053726
        1.0750000000      -158.8591562539         2.0602723806         1.1770427366         2.3603384560        -4.2186207222        -2.7726153236
        1.0800000000      -137.8571692698         2.0884729679         1.1693857560         2.3424753138        -4.4180826949        -2.4060615012
        1.0850000000      -116.4144667313         2.1184231581         1.1821473903         2.3220602941        -4.0856460737        -2.0318157414
        1.0900000000       -94.5995988095         2.1502622381         1.1770427366         2.3016452744        -4.2186207222        -1.6510744703
        1.0950000000       -72.4823054509         2.1841354480         1.1770427366         2.2939896420        -4.2186207222        -1.2650548796
        1.1000000000       -50.1332934257         2.2201891252         1.1923566977         2.2837821322        -3.8196967768        -0.8749910351
        1.1050000000       -27.6240102858         2.2585651333         1.2076706589         2.2659189900        -3.4207728315        -0.4821299321
        1.1100000000        -5.0264159533         2.4497348386         1.1898043709         2.2404002154        -3.8861841010        -0.0877275080
        1.1150000000        17.5872473271         2.7180491566         1.2204322931         2.2352964605        -3.0883362103         0.3069553722
        1.1200000000        40.1446859405         2.7707168667         1.2178799663         2.2199851957        -3.1548235346         0.7006569468
        1.1250000000        62.5737860161         2.7970429930         1.2842404646         2.2174333183        -1.4261531047         1.0921185914
        1.1300000000        84.8028439688         2.8227376041         1.2995544257         2.2123295633        -1.0272291593         1.4800888423
        1.1350000000       106.7607957281         2.8477909918         1.3352870017         2.2072258084        -0.0964066201         1.8633273975
        1.1400000000       128.3774439229         2.8721929537         1.3429439823         2.1970182986         0.1030553526         2.2406090817
        1.1450000000       149.5836822951         2.8959313473         1.3429439823         2.2097776859         0.1030553526         2.6107277633
        1.1500000000       170.3117166260         2.9189908657         1.3327346748         2.2021220535        -0.1628939444         2.9725002098
        1.1550000000       190.4952814672         2.9413520607         1.3403916554         2.2021220535         0.0365680283         3.3247698711
        1.1600000000       210.0698519845         2.9629906302         1.3301823480         2.1995701761        -0.2293812686         3.6664105763
        1.1650000000       228.9728502378         2.9838769798         1.3454963091         2.2046739310         0.1695426768         3.9963301343
        1.1700000000       247.1438452361         3.0039760563         1.4067521537         2.2021220535         1.7652384582         4.3134738254
        1.1750000000       264.5247461295         3.0232474456         1.4501417102         2.2250889506         2.8955229701         4.6168277730
        1.1800000000       281.0599879195         3.0416457189         1.4067521537         2.2250889506         1.7652384582         4.9054221848
        1.1850000000       296.6967090955         3.0591210052         1.4297230954         2.2404002154         2.3636243763         5.1783344535
        1.1900000000       311.3849206268         3.0756197618         1.4373800759         2.2480558478         2.5630863489         5.4346921060
        1.1950000000       325.0776657732         3.0910857110         1.4195137880         2.2557114802         2.0976750794         5.6736755924
        1.2000000000       337.7311702008         3.1054609083         1.4501417102         2.2710227449         2.8955229701         5.8945209066
        1.2050000000       349.3049819240         3.1186869051         1.4450370565         2.2761264998         2.7625483216         6.0965220282
        1.2100000000       359.7621006265         3.1307059670         1.4552463639         2.2888858871         3.0284976185         6.2790331798
        1.2150000000       369.0690959480         3.1414623110         1.4526940371         2.2914377646         2.9620102943         6.4414708917
        1.2200000000       377.1962143571         3.1509033245         1.4756649788         2.3195084166         3.5603962123         6.5833158666
        1.2250000000       384.1174742708         3.1589807307         1.4629033445         2.3322678039         3.2279595912         6.7041146405
        1.2300000000       389.8107491146         3.1656516692         1.4884266131         2.3450271912         3.8928328335         6.8034810317
        1.2350000000       394.2578380596         3.1708796617         1.4858742862         2.3603384560         3.8263455092         6.8810973759
        1.2400000000       397.4445242080         3.1746354382         1.4833219594         2.3577865785         3.7598581850         6.9367155415
        1.2450000000       399.3606200436         3.1768976017         1.4909789399         2.3833053531         3.9593201577         6.9701577226
        1.2500000000       400.0000000000         3.1776531158         1.4884266131         2.3986166179         3.8928328335         6.9813170080
        1.2550000000       399.3606200436         3.1768976017         1.4960835936         2.4088241277         4.0922948062         6.9701577226
        1.2600000000       397.4445242080         3.1746354382         1.5088452279         2.4368947797         4.4247314273         6.9367155415
        1.2650000000       394.2578380596         3.1708796617         1.5011882474         2.4419985347         4.2252694546         6.8810973759
        1.2700000000       389.8107491146         3.1656516692         1.5190545354         2.4726210642         4.6906807242         6.8034810317
        1.2750000000       384.1174742708         3.1589807307         1.5088452279         2.4828285740         4.4247314273         6.7041146405
        1.2800000000       377.1962143571         3.1509033245         1.5241591891         2.5083473486         4.8236553726         6.5833158666
        1.2850000000       369.0690959480         3.1414623110         1.5267115159         2.5262104908         4.8901426969         6.4414708917
        1.2900000000       359.7621006266         3.1307059670         1.5139498816         2.5338661232         4.5577060757         6.2790331798
        1.2950000000       349.3049819240         3.1186869051         1.5113975548         2.5517292654         4.4912187515         6.0965220282
        1.3000000000       337.7311702008         3.1054609083         1.5318161696         2.5772480400         5.0231173453         5.8945209066
        1.3050000000       325.0776657732         3.0910857110         1.5216068622         2.5925593047         4.7571680484         5.6736755924
        1.3100000000       311.3849206268         3.0756197618         1.5190545354         2.6053186920         4.6906807242         5.4346921060
        1.3150000000       296.6967090955         3.0591210052         1.5318161696         2.6384930990         5.0231173453         5.1783344535
        1.3200000000       281.0599879195         3.0416457189         1.5292638428         2.6538043638         4.9566300211         4.9054221848
        1.3250000000       264.5247461295         3.0232474456         1.5292638428         2.6691156285         4.9566300211         4.6168277730
        1.3300000000       247.1438452361         3.0039760563         1.5369208233         2.6946344031         5.1560919938         4.3134738254
        1.3350000000       228.9728502378         2.9838769798         1.5241591891         2.7073937904         4.8236553726         3.9963301343
        1.3400000000       210.0698519845         2.9629906302         1.5267115159         2.7303606875         4.8901426969         3.6664105763
        1.3450000000       190.4952814672         2.9413520607         1.5241591891         2.7482238297         4.8236553726         3.3247698711
        1.3500000000       170.3117166260         2.9189908657         1.5241591891         2.7660869720         4.8236553726         2.9725002098
        1.3550000000       149.5836822951         2.8959313473         1.5190545354         2.7890538691         4.6906807242         2.6107277633
        1.3600000000       128.3774439229         2.8721929537         1.5190545354         2.8018132564         4.6906807242         2.2406090817
        1.3650000000       106.7607957282         2.8477909918         1.5216068622         2.8222282761         4.7571680484         1.8633273975
        1.3700000000        84.8028439688         2.8227376041         1.5037405742         2.8349876633         4.2917567788         1.4800888423
        1.3750000000        62.5737860161         2.7970429930         1.5190545354         2.8630583154         4.6906807242         1.0921185914
        1.3800000000        40.1446859405         2.7707168667         1.4986359205         2.8681620703         4.1587821304         0.7006569468
        1.3850000000        17.5872473272         2.7180491566         1.4960835936         2.8860252125         4.0922948062         0.3069553722
        1.3900000000        -5.0264159533         2.4497348386         1.4884266131         2.9089921097         3.8928328335        -0.0877275080
        1.3950000000       -27.6240102858         2.2585651333         1.4884266131         2.9191996195         3.8928328335        -0.4821299321
        1.4000000000       -50.1332934257         2.2201891252         1.4629033445         2.9345108842         3.2279595912        -0.8749910351
        1.4050000000       -72.4823054509         2.1841354480         1.4297230954         2.9396146392         2.3636243763        -1.2650548796
        1.4100000000       -94.5995988095         2.1502622381         1.4093044805         2.9574777814         1.8317257824        -1.6510744703
        1.4150000000      -116.4144667313         2.1184231581         1.3684672508         2.9523740265         0.7679285948        -2.0318157414
        1.4200000000      -137.8571692698         2.0884729679         1.3403916554         2.9625815363         0.0365680283        -2.4060615012
        1.4250000000      -158.8591562539         2.0602723806         1.3301823480         2.9625815363        -0.2293812686        -2.7726153236
        1.4300000000      -179.3532864360         2.0336921242         1.3378393285         2.9574777814        -0.0299192959        -3.1303053726
        1.4350000000      -199.2740421358         2.0086161671         1.3327346748         2.9523740265        -0.1628939444        -3.4779881490
        1.4400000000      -218.5577386937         1.9849440941         1.3378393285         2.9549259039        -0.0299192959        -3.8145521459
        1.4450000000      -237.1427280644         1.9625926504         1.2587171960         2.9472702715        -2.0910263469        -4.1389214019
        1.4500000000      -254.9695958995         1.9414964956         1.2536125423         2.9472702715        -2.2240009954        -4.4500589409
        1.4550000000      -271.9813514890         1.9216082310         1.2740311571         2.9421665166        -1.6921024016        -4.7469700875
        1.4600000000      -288.1236099552         1.9028977802         1.2382985811         2.9243033744        -2.6229249407        -5.0287056464
        1.4650000000      -303.3447661155         1.8853512167         1.2408509080         2.9217514970        -2.5564376165        -5.2943649374
        1.4700000000      -317.5961594591         1.8689691359         1.2485078886         2.9166477420        -2.3569756438        -5.5430986743
        1.4750000000      -330.8322297098         1.8537646761         1.2153276394         2.8936808449        -3.2213108588        -5.7741116802
        1.4800000000      -343.0106624775         1.8397612910         1.2178799663         2.8758177027        -3.1548235346        -5.9866654297
        1.4850000000      -354.0925245330         1.8269903702         1.2153276394         2.8809214576        -3.2213108588        -6.1800804098
        1.4900000000      -364.0423882740         1.8154888016         1.2076706589         2.8630583154        -3.4207728315        -6.3537382922
