% f=0.10Hz  n_cycles=5  N_total=10000  dt=0.005000
% Amp=0.4500V  K_lin=8.298800
Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Omega_target[rad/s] 
        0.2050000000         0.0578022436         2.5000000000         1.3352870017         4.2155533687        -0.0628305214         0.4796892591
        0.2100000000         0.0592039616         2.5000000000         1.3301823480         4.2130014912        -0.1958051698         0.4913218365
        0.2150000000         0.0606050953         2.7750091520         1.3352870017         4.2155533687        -0.0628305214         0.5029495647
        0.2200000000         0.0620056308         2.7756500156         1.3454963091         4.2206571236         0.2031187755         0.5145723290
        0.2250000000         0.0634055544         2.7762907597         1.3454963091         4.2206571236         0.2031187755         0.5261900146
        0.2300000000         0.0648048521         2.7769313779         1.3378393285         4.2104496138         0.0036568028         0.5378025070
        0.2350000000         0.0662035103         2.7775718639         1.3506009628         4.2181052461         0.3360934240         0.5494096915
        0.2400000000         0.0676015151         2.7782122111         1.3506009628         4.2206571236         0.3360934240         0.5610114535
        0.2450000000         0.0689988527         2.7788524132         1.3506009628         4.2232090010         0.3360934240         0.5726076786
        0.2500000000         0.0703955093         2.7794924638         1.3480486360         4.2181052461         0.2696060997         0.5841982523
        0.2550000000         0.0717914711         2.7801323563         1.3531532897         4.2283127560         0.4025807482         0.5957830602
        0.2600000000         0.0731867243         2.7807720844         1.3582579434         4.2334165109         0.5355553966         0.6073619879
        0.2650000000         0.0745812553         2.7814116416         1.3812288851         4.2283127560         1.1339413147         0.6189349213
        0.2700000000         0.0759750501         2.7820510215         1.3557056165         4.2283127560         0.4690680724         0.6305017459
        0.2750000000         0.0773680951         2.7826902176         1.3557056165         4.2359683883         0.4690680724         0.6420623478
        0.2800000000         0.0787603765         2.7833292235         1.3659149240         4.2410721433         0.7350173693         0.6536166128
        0.2850000000         0.0801518806         2.7839680327         1.3608102703         4.2359683883         0.6020427209         0.6651644269
        0.2900000000         0.0815425936         2.7846066388         1.3557056165         4.2334165109         0.4690680724         0.6767056760
        0.2950000000         0.0829325019         2.7852450353         1.3710195777         4.2487277756         0.8679920178         0.6882402464
        0.3000000000         0.0843215916         2.7858832157         1.3659149240         4.2461758982         0.7350173693         0.6997680241
        0.3050000000         0.0857098491         2.7865211737         1.3608102703         4.2410721433         0.6020427209         0.7112888953
        0.3100000000         0.0870972606         2.7871589026         1.3735719045         4.2487277756         0.9344793420         0.7228027465
        0.3150000000         0.0884838126         2.7877963962         1.3786765582         4.2614871629         1.0674539905         0.7343094638
        0.3200000000         0.0898694912         2.7884336478         1.3659149240         4.2538315306         0.7350173693         0.7458089338
        0.3250000000         0.0912542829         2.7890706510         1.3735719045         4.2691427953         0.9344793420         0.7573010430
        0.3300000000         0.0926381739         2.7897073993         1.3761242314         4.2640390404         1.0009666662         0.7687856779
        0.3350000000         0.0940211507         2.7903438864         1.4067521537         4.2614871629         1.7988145570         0.7802627253
        0.3400000000         0.0954031995         2.7909801055         1.3837812120         4.2793503051         1.2004286389         0.7917320717
        0.3450000000         0.0967843067         2.7916160504         1.3786765582         4.2793503051         1.0674539905         0.8031936041
        0.3500000000         0.0981644586         2.7922517145         1.3735719045         4.2742465502         0.9344793420         0.8146472093
        0.3550000000         0.0995436418         2.7928870913         1.3633625971         4.2844540601         0.6685300451         0.8260927742
        0.3600000000         0.1009218424         2.7935221744         1.3837812120         4.2946615699         1.2004286389         0.8375301859
        0.3650000000         0.1022990470         2.7941569572         1.3710195777         4.2946615699         0.8679920178         0.8489593316
        0.3700000000         0.1036752420         2.7947914332         1.3812288851         4.3023172023         1.1339413147         0.8603800983
        0.3750000000         0.1050504137         2.7954255960         1.3735719045         4.2997653248         0.9344793420         0.8717923735
        0.3800000000         0.1064245487         2.7960594390         1.3710195777         4.2997653248         0.8679920178         0.8831960444
        0.3850000000         0.1077976332         2.7966929558         1.3837812120         4.3074209572         1.2004286389         0.8945909986
        0.3900000000         0.1091696539         2.7973261399         1.3710195777         4.3048690797         0.8679920178         0.9059771234
        0.3950000000         0.1105405970         2.7979589847         1.3761242314         4.3150765896         1.0009666662         0.9173543067
        0.4000000000         0.1119104492         2.7985914838         1.3863335388         4.3227322219         1.2669159631         0.9287224360
        0.4050000000         0.1132791969         2.7992236306         1.3735719045         4.3201803445         0.9344793420         0.9400813992
        0.4100000000         0.1146468266         2.7998554187         1.3812288851         4.3329397318         1.1339413147         0.9514310842
        0.4150000000         0.1160133247         2.8004868416         1.3812288851         4.3329397318         1.1339413147         0.9627713790
        0.4200000000         0.1173786778         2.8011178926         1.3735719045         4.3329397318         0.9344793420         0.9741021716
        0.4250000000         0.1187428725         2.8017485654         1.3837812120         4.3431472416         1.2004286389         0.9854233502
