% f=5.00Hz  n_cycles=5  N_total=200  dt=0.005000
% Amp=1.0000V  K_lin=7.165500
Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Omega_target[rad/s] 
        0.3550000000        -0.9876883406         1.8258148806         1.2229846200         2.9345108842        -2.9862781676        -7.0772808045
        0.3600000000        -0.9510565163         1.8430278723         1.2485078886         2.9268552519        -2.3214049254        -6.8147954675
        0.3650000000        -0.8910065242         1.8710353147         1.2051183320         2.9013364773        -3.4516894372        -6.3845072491
        0.3700000000        -0.8090169944         1.9088663533         1.1744904097         2.8936808449        -4.2495373279        -5.7970112732
        0.3750000000        -0.7071067812         1.9552543189         1.2102229857         2.8860252125        -3.3187147888        -5.0667736406
        0.3800000000        -0.5877852523         2.0087121548         1.2051183320         2.8732658252        -3.4516894372        -4.2117752253
        0.3850000000        -0.4539904997         2.0676102662         1.2000136783         2.8554026830        -3.5846640857        -3.2530689259
        0.3900000000        -0.3090169944         2.1302493416         1.1974613514         2.8426432957        -3.6511514099        -2.2142612732
        0.3950000000        -0.1564344650         2.1949233660         1.1974613514         2.8222282761        -3.6511514099        -1.1209311592
        0.4000000000        -0.0000000000         2.5000000000         1.2229846200         2.8145726437        -2.9862781676        -0.0000000000
        0.4050000000         0.1564344650         2.7985414235         1.2127753126         2.8018132564        -3.2522274645         1.1209311592
        0.4100000000         0.3090169944         2.8600303462         1.2331939274         2.7890538691        -2.7203288707         2.2142612732
        0.4150000000         0.4539904997         2.9197068910         1.2867927914         2.7916057465        -1.3240950620         3.2530689259
        0.4200000000         0.5877852523         2.9759363474         1.3403916554         2.7839501142         0.0721387468         4.2117752253
        0.4250000000         0.7071067812         3.0270762550         1.3531532897         2.7839501142         0.4045753679         5.0667736406
        0.4300000000         0.8090169944         3.0715378373         1.3429439823         2.7839501142         0.1386260710         5.7970112732
        0.4350000000         0.8910065242         3.1078592720         1.3403916554         2.7890538691         0.0721387468         6.3845072491
        0.4400000000         0.9510565163         3.1347861486         1.3429439823         2.7890538691         0.1386260710         6.8147954675
        0.4450000000         0.9876883406         3.1513511616         1.3403916554         2.7839501142         0.0721387468         7.0772808045
        0.4500000000         1.0000000000         3.1569426369         1.4552463639         2.7992613789         3.0640683370         7.1655000000
        0.4550000000         0.9876883406         3.1513511616         1.4552463639         2.8043651338         3.0640683370         7.0772808045
        0.4600000000         0.9510565163         3.1347861486         1.4067521537         2.8069170113         1.8008091767         6.8147954675
        0.4650000000         0.8910065242         3.1078592720         1.4475893834         2.8247801535         2.8646063643         6.3845072491
        0.4700000000         0.8090169944         3.0715378373         1.4884266131         2.8349876633         3.9284035519         5.7970112732
