% Static Verify Step 11/48  OmegaCmd=+300.0000 deg/s
% Vg_offset=1.337992V  K_gimbal=26.049690
% omega_avg(last 2.0s)=5.119690 rad/s  omega_target=5.235988 rad/s

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Omega_target[rad/s] 
        0.5903904000       300.0000000000         3.0347054762         1.5369208233         1.0767440941         5.1820220502         5.2359877560
        0.5954036000       300.0000000000         3.0347054762         1.5343684965         1.0946072363         5.1155347260         5.2359877560
        0.6003976000       300.0000000000         3.0347054762         1.5292638428         1.1124703785         4.9825600775         5.2359877560
        0.6053989000       300.0000000000         3.0347054762         1.5343684965         1.1379891531         5.1155347260         5.2359877560
        0.6103893000       300.0000000000         3.0347054762         1.5343684965         1.1481966629         5.1155347260         5.2359877560
        0.6153899000       300.0000000000         3.0347054762         1.5445778039         1.1737154375         5.3814840229         5.2359877560
        0.6203878000       300.0000000000         3.0347054762         1.5241591891         1.1839229474         4.8495854291         5.2359877560
        0.6254842000       300.0000000000         3.0347054762         1.5241591891         1.2017860896         4.8495854291         5.2359877560
        0.6304807000       300.0000000000         3.0347054762         1.5394731502         1.2247529867         5.2485093745         5.2359877560
        0.6354626000       300.0000000000         3.0347054762         1.5420254771         1.2528236388         5.3149966987         5.2359877560
        0.6404131000       300.0000000000         3.0347054762         1.5241591891         1.2579273937         4.8495854291         5.2359877560
        0.6454628000       300.0000000000         3.0347054762         1.5369208233         1.2834461683         5.1820220502         5.2359877560
        0.6504910000       300.0000000000         3.0347054762         1.5445778039         1.3089649429         5.3814840229         5.2359877560
        0.6554037000       300.0000000000         3.0347054762         1.5318161696         1.3217243302         5.0490474018         5.2359877560
        0.6604215000       300.0000000000         3.0347054762         1.5471301308         1.3344837175         5.4479713471         5.2359877560
        0.6654463000       300.0000000000         3.0347054762         1.5471301308         1.3676581244         5.4479713471         5.2359877560
        0.6704314000       300.0000000000         3.0347054762         1.5420254771         1.3880731441         5.3149966987         5.2359877560
        0.6754052000       300.0000000000         3.0347054762         1.5318161696         1.4033844088         5.0490474018         5.2359877560
        0.6803963000       300.0000000000         3.0347054762         1.5343684965         1.4263513060         5.1155347260         5.2359877560
        0.6854631000       300.0000000000         3.0347054762         1.5292638428         1.4340069384         4.9825600775         5.2359877560
        0.6904109000       300.0000000000         3.0347054762         1.5292638428         1.4595257129         4.9825600775         5.2359877560
        0.6954245000       300.0000000000         3.0347054762         1.5267115159         1.4722851002         4.9160727533         5.2359877560
        0.7004139000       300.0000000000         3.0347054762         1.5343684965         1.5029076297         5.1155347260         5.2359877560
        0.7054057000       300.0000000000         3.0347054762         1.5267115159         1.5131151396         4.9160727533         5.2359877560
        0.7104925000       300.0000000000         3.0347054762         1.5343684965         1.5335301593         5.1155347260         5.2359877560
        0.7154651000       300.0000000000         3.0347054762         1.5292638428         1.5513933015         4.9825600775         5.2359877560
        0.7203872000       300.0000000000         3.0347054762         1.5241591891         1.5667045662         4.8495854291         5.2359877560
        0.7254126000       300.0000000000         3.0347054762         1.5394731502         1.5973270957         5.2485093745         5.2359877560
        0.7304732000       300.0000000000         3.0347054762         1.5292638428         1.6100864830         4.9825600775         5.2359877560
        0.7353860000       300.0000000000         3.0347054762         1.5369208233         1.6356052576         5.1820220502         5.2359877560
        0.7404559000       300.0000000000         3.0347054762         1.5318161696         1.6483646449         5.0490474018         5.2359877560
        0.7454245000       300.0000000000         3.0347054762         1.5292638428         1.6713315420         4.9825600775         5.2359877560
        0.7504627000       300.0000000000         3.0347054762         1.5267115159         1.6840909293         4.9160727533         5.2359877560
        0.7554531000       300.0000000000         3.0347054762         1.5241591891         1.7019540715         4.8495854291         5.2359877560
        0.7604353000       300.0000000000         3.0347054762         1.5318161696         1.7172653363         5.0490474018         5.2359877560
        0.7654550000       300.0000000000         3.0347054762         1.5318161696         1.7453359884         5.0490474018         5.2359877560
        0.7705570000       300.0000000000         3.0347054762         1.5241591891         1.7606472531         4.8495854291         5.2359877560
        0.7754317000       300.0000000000         3.0347054762         1.5267115159         1.7785103953         4.9160727533         5.2359877560
        0.7806577000       300.0000000000         3.0347054762         1.5292638428         1.7938216601         4.9825600775         5.2359877560
        0.7854500000       300.0000000000         3.0347054762         1.5292638428         1.8193404347         4.9825600775         5.2359877560
        0.7908050000       300.0000000000         3.0347054762         1.5292638428         1.8372035769         4.9825600775         5.2359877560
        0.7954588000       300.0000000000         3.0347054762         1.5292638428         1.8601704740         4.9825600775         5.2359877560
        0.8004355000       300.0000000000         3.0347054762         1.5292638428         1.8678261064         4.9825600775         5.2359877560
        0.8054258000       300.0000000000         3.0347054762         1.5343684965         1.8984486359         5.1155347260         5.2359877560
        0.8104588000       300.0000000000         3.0347054762         1.5369208233         1.9112080232         5.1820220502         5.2359877560
        0.8154602000       300.0000000000         3.0347054762         1.5292638428         1.9290711654         4.9825600775         5.2359877560
        0.8204266000       300.0000000000         3.0347054762         1.5292638428         1.9443824302         4.9825600775         5.2359877560
        0.8254594000       300.0000000000         3.0347054762         1.5216068622         1.9622455724         4.7830981049         5.2359877560
        0.8303989000       300.0000000000         3.0347054762         1.5318161696         1.9877643470         5.0490474018         5.2359877560
        0.8353951000       300.0000000000         3.0347054762         1.5394731502         2.0056274892         5.2485093745         5.2359877560
        0.8404362000       300.0000000000         3.0347054762         1.5394731502         2.0362500187         5.2485093745         5.2359877560
        0.8454213000       300.0000000000         3.0347054762         1.5292638428         2.0464575285         4.9825600775         5.2359877560
        0.8504513000       300.0000000000         3.0347054762         1.5369208233         2.0668725482         5.1820220502         5.2359877560
        0.8553945000       300.0000000000         3.0347054762         1.5445778039         2.0796319355         5.3814840229         5.2359877560
        0.8604367000       300.0000000000         3.0347054762         1.5394731502         2.1153582199         5.2485093745         5.2359877560
        0.8654474000       300.0000000000         3.0347054762         1.5292638428         2.1255657297         4.9825600775         5.2359877560
        0.8705078000       300.0000000000         3.0347054762         1.5369208233         2.1459807494         5.1820220502         5.2359877560
        0.8753948000       300.0000000000         3.0347054762         1.5445778039         2.1587401367         5.3814840229         5.2359877560
        0.8804423000       300.0000000000         3.0347054762         1.5369208233         2.1868107888         5.1820220502         5.2359877560
        0.8853969000       300.0000000000         3.0347054762         1.5369208233         2.2046739310         5.1820220502         5.2359877560
        0.8903875000       300.0000000000         3.0347054762         1.5343684965         2.2199851957         5.1155347260         5.2359877560
        0.8953989000       300.0000000000         3.0347054762         1.5369208233         2.2404002154         5.1820220502         5.2359877560
        0.9004157000       300.0000000000         3.0347054762         1.5241591891         2.2608152351         4.8495854291         5.2359877560
        0.9055014000       300.0000000000         3.0347054762         1.5292638428         2.2888858871         4.9825600775         5.2359877560
        0.9103933000       300.0000000000         3.0347054762         1.5343684965         2.3016452744         5.1155347260         5.2359877560
        0.9154608000       300.0000000000         3.0347054762         1.5318161696         2.3271640490         5.0490474018         5.2359877560
