% Static Verify Step 16/48  OmegaCmd=-400.0000 deg/s
% Vg_offset=1.337992V  K_gimbal=26.049690
% omega_avg(last 2.0s)=-6.547505 rad/s  omega_target=-6.981317 rad/s

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Omega_target[rad/s] 
        1.1403999000      -400.0000000000         1.8253494656         1.0826066429         1.8142366797        -6.6527216621        -6.9813170080
        1.1454385000      -400.0000000000         1.8253494656         1.0800543160         1.7861660277        -6.7192089863        -6.9813170080
        1.1504240000      -400.0000000000         1.8253494656         1.0902636235         1.7708547629        -6.4532596894        -6.9813170080
        1.1554491000      -400.0000000000         1.8253494656         1.0775019892         1.7402322334        -6.7856963106        -6.9813170080
        1.1604890000      -400.0000000000         1.8253494656         1.0928159503         1.7223690912        -6.3867723652        -6.9813170080
        1.1654274000      -400.0000000000         1.8253494656         1.0800543160         1.6866428068        -6.7192089863        -6.9813170080
        1.1704440000      -400.0000000000         1.8253494656         1.0851589698         1.6662277871        -6.5862343379        -6.9813170080
        1.1754031000      -400.0000000000         1.8253494656         1.0928159503         1.6483646449        -6.3867723652        -6.9813170080
        1.1804800000      -400.0000000000         1.8253494656         1.0928159503         1.6177421154        -6.3867723652        -6.9813170080
        1.1854066000      -400.0000000000         1.8253494656         1.0800543160         1.5896714634        -6.7192089863        -6.9813170080
        1.1903998000      -400.0000000000         1.8253494656         1.0928159503         1.5667045662        -6.3867723652        -6.9813170080
        1.1954221000      -400.0000000000         1.8253494656         1.1004729309         1.5513933015        -6.1873103925        -6.9813170080
        1.2003989000      -400.0000000000         1.8253494656         1.0826066429         1.5156670170        -6.6527216621        -6.9813170080
        1.2054498000      -400.0000000000         1.8253494656         1.0877112966         1.4901482425        -6.5197470137        -6.9813170080
        1.2104034000      -400.0000000000         1.8253494656         1.0902636235         1.4697332228        -6.4532596894        -6.9813170080
        1.2153895000      -400.0000000000         1.8253494656         1.0902636235         1.4518700806        -6.4532596894        -6.9813170080
        1.2204157000      -400.0000000000         1.8253494656         1.0953682772         1.4237994285        -6.3202850410        -6.9813170080
        1.2254200000      -400.0000000000         1.8253494656         1.0902636235         1.4008325314        -6.4532596894        -6.9813170080
        1.2304324000      -400.0000000000         1.8253494656         1.0902636235         1.3804175117        -6.4532596894        -6.9813170080
        1.2354149000      -400.0000000000         1.8253494656         1.0928159503         1.3523468597        -6.3867723652        -6.9813170080
        1.2403953000      -400.0000000000         1.8253494656         1.0953682772         1.3319318400        -6.3202850410        -6.9813170080
        1.2454205000      -400.0000000000         1.8253494656         1.1004729309         1.3115168203        -6.1873103925        -6.9813170080
        1.2504186000      -400.0000000000         1.8253494656         1.0877112966         1.2783424134        -6.5197470137        -6.9813170080
        1.2554437000      -400.0000000000         1.8253494656         1.0902636235         1.2553755162        -6.4532596894        -6.9813170080
        1.2607234000      -400.0000000000         1.8253494656         1.0902636235         1.2349604965        -6.4532596894        -6.9813170080
        1.2654273000      -400.0000000000         1.8253494656         1.0851589698         1.2068898445        -6.5862343379        -6.9813170080
