% Static Verify Step 24/51  Vcmd=+1.2000V
% Vg_offset=1.337814V  K_gimbal=26.049690  K_lin=8.298800
% omega_avg(last 2.0s)=9.414771 rad/s  omega_target=9.958560 rad/s

Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Omega_target[rad/s] 
        1.9054509000         1.2000000000         3.3641808108         1.7002697422         3.4142638465         9.4418649134         9.9585600000
        1.9104596000         1.2000000000         3.3641808108         1.6849557810         3.4397826211         9.0429409681         9.9585600000
        1.9161654000         1.2000000000         3.3641808108         1.6875081079         3.4857164154         9.1094282923         9.9585600000
        1.9204855000         1.2000000000         3.3641808108         1.7002697422         3.5112351900         9.4418649134         9.9585600000
        1.9255213000         1.2000000000         3.3641808108         1.6926127616         3.5546171068         9.2424029408         9.9585600000
        1.9304638000         1.2000000000         3.3641808108         1.6798511273         3.5877915138         8.9099663196         9.9585600000
        1.9354618000         1.2000000000         3.3641808108         1.7053743959         3.6286215531         9.5748395619         9.9585600000
        1.9404322000         1.2000000000         3.3641808108         1.7028220690         3.6617959601         9.5083522377         9.9585600000
        1.9453883000         1.2000000000         3.3641808108         1.7002697422         3.7026259994         9.4418649134         9.9585600000
        1.9503841000         1.2000000000         3.3641808108         1.7028220690         3.7332485289         9.5083522377         9.9585600000
        1.9554533000         1.2000000000         3.3641808108         1.7079267227         3.7715266908         9.6413268861         9.9585600000
        1.9604507000         1.2000000000         3.3641808108         1.6926127616         3.8123567301         9.2424029408         9.9585600000
        1.9654490000         1.2000000000         3.3641808108         1.6951650884         3.8378755047         9.3088902650         9.9585600000
        1.9703923000         1.2000000000         3.3641808108         1.7002697422         3.8787055441         9.4418649134         9.9585600000
        1.9754163000         1.2000000000         3.3641808108         1.7002697422         3.9169837060         9.4418649134         9.9585600000
        1.9804301000         1.2000000000         3.3641808108         1.6875081079         3.9425024806         9.1094282923         9.9585600000
        1.9854913000         1.2000000000         3.3641808108         1.6951650884         3.9807806424         9.3088902650         9.9585600000
        1.9904184000         1.2000000000         3.3641808108         1.6900604347         4.0216106818         9.1759156165         9.9585600000
        1.9954104000         1.2000000000         3.3641808108         1.7104790496         4.0598888437         9.7078142103         9.9585600000
        2.0003870000         1.2000000000         3.3641808108         1.6900604347         4.0879594957         9.1759156165         9.9585600000
        2.0054821000         1.2000000000         3.3641808108         1.7002697422         4.1236857801         9.4418649134         9.9585600000
        2.0104727000         1.2000000000         3.3641808108         1.6824034542         4.1645158195         8.9764536438         9.9585600000
        2.0153855000         1.2000000000         3.3641808108         1.7104790496         4.2104496138         9.7078142103         9.9585600000
        2.0205260000         1.2000000000         3.3641808108         1.6849557810         4.2385202658         9.0429409681         9.9585600000
        2.0253828000         1.2000000000         3.3641808108         1.7079267227         4.2767984277         9.6413268861         9.9585600000
        2.0304671000         1.2000000000         3.3641808108         1.6798511273         4.3125247121         8.9099663196         9.9585600000
        2.0354181000         1.2000000000         3.3641808108         1.7028220690         4.3508028740         9.5083522377         9.9585600000
        2.0403994000         1.2000000000         3.3641808108         1.6772988005         4.3788735260         8.8434789954         9.9585600000
        2.0454414000         1.2000000000         3.3641808108         1.7130313764         4.4222554428         9.7743015346         9.9585600000
        2.0503843000         1.2000000000         3.3641808108         1.6772988005         4.4503260949         8.8434789954         9.9585600000
        2.0554863000         1.2000000000         3.3641808108         1.7155837033         4.5039155215         9.8407888588         9.9585600000
        2.0604447000         1.2000000000         3.3641808108         1.6926127616         4.5370899285         9.2424029408         9.9585600000
        2.0653852000         1.2000000000         3.3641808108         1.6977174153         4.5651605806         9.3753775892         9.9585600000
        2.0704483000         1.2000000000         3.3641808108         1.6951650884         4.6136462523         9.3088902650         9.9585600000
        2.0754193000         1.2000000000         3.3641808108         1.6926127616         4.6442687818         9.2424029408         9.9585600000
        2.0804178000         1.2000000000         3.3641808108         1.6926127616         4.6876506986         9.2424029408         9.9585600000
        2.0854654000         1.2000000000         3.3641808108         1.7053743959         4.7208251056         9.5748395619         9.9585600000
        2.0904266000         1.2000000000         3.3641808108         1.7002697422         4.7591032674         9.4418649134         9.9585600000
        2.0954442000         1.2000000000         3.3641808108         1.7002697422         4.7999333068         9.4418649134         9.9585600000
        2.1004642000         1.2000000000         3.3641808108         1.7104790496         4.8331077137         9.7078142103         9.9585600000
        2.1054891000         1.2000000000         3.3641808108         1.7053743959         4.8764896306         9.5748395619         9.9585600000
        2.1104586000         1.2000000000         3.3641808108         1.6849557810         4.9045602826         9.0429409681         9.9585600000
        2.1154210000         1.2000000000         3.3641808108         1.7104790496         4.9555978318         9.7078142103         9.9585600000
        2.1204328000         1.2000000000         3.3641808108         1.7028220690         4.9862203613         9.5083522377         9.9585600000
        2.1253951000         1.2000000000         3.3641808108         1.6977174153         5.0066353810         9.3753775892         9.9585600000
        2.1304196000         1.2000000000         3.3641808108         1.6977174153         5.0015316260         9.3753775892         9.9585600000
        2.1354220000         1.2000000000         3.3641808108         1.7028220690         5.0040835035         9.5083522377         9.9585600000
        2.1405011000         1.2000000000         3.3641808108         1.6951650884         1.1124703785         9.3088902650         9.9585600000
        2.1455027000         1.2000000000         3.3641808108         1.7028220690         1.1175741334         9.5083522377         9.9585600000
        2.1504193000         1.2000000000         3.3641808108         1.7130313764         0.0024036839         9.7743015346         9.9585600000
        2.1554402000         1.2000000000         3.3641808108         1.6951650884        -0.0052519485         9.3088902650         9.9585600000
        2.1604183000         1.2000000000         3.3641808108         1.7002697422         0.0024036839         9.4418649134         9.9585600000
        2.1654158000         1.2000000000         3.3641808108         1.7155837033         0.0177149486         9.8407888588         9.9585600000
        2.1704601000         1.2000000000         3.3641808108         1.7053743959         0.0559931105         9.5748395619         9.9585600000
        2.1754220000         1.2000000000         3.3641808108         1.6977174153         0.0917193949         9.3753775892         9.9585600000
        2.1804629000         1.2000000000         3.3641808108         1.7028220690         0.1223419244         9.5083522377         9.9585600000
        2.1854235000         1.2000000000         3.3641808108         1.7079267227         0.1682757187         9.6413268861         9.9585600000
        2.1904349000         1.2000000000         3.3641808108         1.6926127616         0.1988982482         9.2424029408         9.9585600000
        2.1955840000         1.2000000000         3.3641808108         1.6977174153         0.2346245326         9.3753775892         9.9585600000
        2.2004966000         1.2000000000         3.3641808108         1.6951650884         0.2754545720         9.3088902650         9.9585600000
        2.2054784000         1.2000000000         3.3641808108         1.6977174153         0.3086289789         9.3753775892         9.9585600000
        2.2104222000         1.2000000000         3.3641808108         1.7104790496         0.3520108957         9.7078142103         9.9585600000
        2.2154302000         1.2000000000         3.3641808108         1.7079267227         0.3902890576         9.6413268861         9.9585600000
        2.2204555000         1.2000000000         3.3641808108         1.7155837033         0.4234634646         9.8407888588         9.9585600000
        2.2254566000         1.2000000000         3.3641808108         1.7028220690         0.4591897490         9.5083522377         9.9585600000
        2.2304207000         1.2000000000         3.3641808108         1.6977174153         0.5000197884         9.3753775892         9.9585600000
        2.2354358000         1.2000000000         3.3641808108         1.6849557810         0.5280904404         9.0429409681         9.9585600000
        2.2404553000         1.2000000000         3.3641808108         1.6875081079         0.5638167248         9.1094282923         9.9585600000
        2.2454226000         1.2000000000         3.3641808108         1.7053743959         0.6123023966         9.5748395619         9.9585600000
        2.2504234000         1.2000000000         3.3641808108         1.7002697422         0.6480286810         9.4418649134         9.9585600000
        2.2554667000         1.2000000000         3.3641808108         1.7028220690         0.6863068429         9.5083522377         9.9585600000
        2.2604449000         1.2000000000         3.3641808108         1.6926127616         0.7092737400         9.2424029408         9.9585600000
        2.2654121000         1.2000000000         3.3641808108         1.7104790496         0.7475519019         9.7078142103         9.9585600000
        2.2704561000         1.2000000000         3.3641808108         1.6926127616         0.7934856961         9.2424029408         9.9585600000
        2.2754167000         1.2000000000         3.3641808108         1.6875081079         0.8215563482         9.1094282923         9.9585600000
        2.2804558000         1.2000000000         3.3641808108         1.7130313764         0.8649382650         9.7743015346         9.9585600000
        2.2854292000         1.2000000000         3.3641808108         1.6926127616         0.8879051621         9.2424029408         9.9585600000
        2.2903928000         1.2000000000         3.3641808108         1.6926127616         0.9338389564         9.2424029408         9.9585600000
        2.2954644000         1.2000000000         3.3641808108         1.6875081079         0.9619096084         9.1094282923         9.9585600000
        2.3004195000         1.2000000000         3.3641808108         1.7028220690         1.0052915252         9.5083522377         9.9585600000
        2.3054296000         1.2000000000         3.3641808108         1.6951650884         1.0435696871         9.3088902650         9.9585600000
        2.3104171000         1.2000000000         3.3641808108         1.7002697422         1.0792959716         9.4418649134         9.9585600000
        2.3156755000         1.2000000000         3.3641808108         1.6926127616         1.1175741334         9.2424029408         9.9585600000
        2.3204616000         1.2000000000         3.3641808108         1.7028220690         1.1481966629         9.5083522377         9.9585600000
        2.3254773000         1.2000000000         3.3641808108         1.6951650884         1.1864748248         9.3088902650         9.9585600000
        2.3304881000         1.2000000000         3.3641808108         1.7130313764         1.2247529867         9.7743015346         9.9585600000
        2.3354210000         1.2000000000         3.3641808108         1.6977174153         1.2630311486         9.3753775892         9.9585600000
        2.3404645000         1.2000000000         3.3641808108         1.6849557810         1.2911018006         9.0429409681         9.9585600000
        2.3454206000         1.2000000000         3.3641808108         1.6900604347         1.3242762076         9.1759156165         9.9585600000
        2.3504117000         1.2000000000         3.3641808108         1.6977174153         1.3625543695         9.3753775892         9.9585600000
        2.3553856000         1.2000000000         3.3641808108         1.7002697422         1.4033844088         9.4418649134         9.9585600000
        2.3604168000         1.2000000000         3.3641808108         1.6900604347         1.4263513060         9.1759156165         9.9585600000
        2.3654148000         1.2000000000         3.3641808108         1.6977174153         1.4748369777         9.3753775892         9.9585600000
        2.3704835000         1.2000000000         3.3641808108         1.7130313764         1.5003557523         9.7743015346         9.9585600000
        2.3753846000         1.2000000000         3.3641808108         1.6900604347         1.5335301593         9.1759156165         9.9585600000
        2.3804557000         1.2000000000         3.3641808108         1.6900604347         1.5743601986         9.1759156165         9.9585600000
        2.3854378000         1.2000000000         3.3641808108         1.7104790496         1.6151902379         9.7078142103         9.9585600000
        2.3904569000         1.2000000000         3.3641808108         1.7002697422         1.6432608900         9.4418649134         9.9585600000
        2.3954155000         1.2000000000         3.3641808108         1.6900604347         1.6764352970         9.1759156165         9.9585600000
        2.4004268000         1.2000000000         3.3641808108         1.7002697422         1.7147134588         9.4418649134         9.9585600000
        2.4054179000         1.2000000000         3.3641808108         1.7028220690         1.7529916207         9.5083522377         9.9585600000
        2.4104140000         1.2000000000         3.3641808108         1.6977174153         1.7810622728         9.3753775892         9.9585600000
        2.4154157000         1.2000000000         3.3641808108         1.6926127616         1.8116848023         9.2424029408         9.9585600000
        2.4203937000         1.2000000000         3.3641808108         1.6951650884         1.8525148416         9.3088902650         9.9585600000
        2.4253841000         1.2000000000         3.3641808108         1.6977174153         1.8958967584         9.3753775892         9.9585600000
        2.4304149000         1.2000000000         3.3641808108         1.7053743959         1.9214155330         9.5748395619         9.9585600000
        2.4354249000         1.2000000000         3.3641808108         1.6875081079         1.9622455724         9.1094282923         9.9585600000
        2.4404476000         1.2000000000         3.3641808108         1.7155837033         1.9928681019         9.8407888588         9.9585600000
        2.4454198000         1.2000000000         3.3641808108         1.6977174153         2.0285943863         9.3753775892         9.9585600000
        2.4503868000         1.2000000000         3.3641808108         1.6900604347         2.0668725482         9.1759156165         9.9585600000
        2.4559875000         1.2000000000         3.3641808108         1.7053743959         2.1102544650         9.5748395619         9.9585600000
        2.4604994000         1.2000000000         3.3641808108         1.7053743959         2.1383251170         9.5748395619         9.9585600000
        2.4653897000         1.2000000000         3.3641808108         1.6824034542         2.1714995240         8.9764536438         9.9585600000
        2.4704556000         1.2000000000         3.3641808108         1.6926127616         2.1995701761         9.2424029408         9.9585600000
        2.4754235000         1.2000000000         3.3641808108         1.6900604347         2.2378483379         9.1759156165         9.9585600000
        2.4804904000         1.2000000000         3.3641808108         1.6926127616         2.2786783773         9.2424029408         9.9585600000
        2.4854536000         1.2000000000         3.3641808108         1.6824034542         2.3093009068         8.9764536438         9.9585600000
        2.4904221000         1.2000000000         3.3641808108         1.7002697422         2.3450271912         9.4418649134         9.9585600000
        2.4954217000         1.2000000000         3.3641808108         1.6977174153         2.3909609855         9.3753775892         9.9585600000
        2.5004203000         1.2000000000         3.3641808108         1.6849557810         2.4164797601         9.0429409681         9.9585600000
        2.5054177000         1.2000000000         3.3641808108         1.6849557810         2.4522060445         9.0429409681         9.9585600000
        2.5104280000         1.2000000000         3.3641808108         1.6951650884         2.4904842064         9.3088902650         9.9585600000
        2.5155278000         1.2000000000         3.3641808108         1.6926127616         2.5313142457         9.2424029408         9.9585600000
        2.5204341000         1.2000000000         3.3641808108         1.7028220690         2.5568330203         9.5083522377         9.9585600000
        2.5254161000         1.2000000000         3.3641808108         1.7002697422         2.6078705695         9.4418649134         9.9585600000
        2.5304214000         1.2000000000         3.3641808108         1.6696418199         2.6257337117         8.6440170227         9.9585600000
        2.5354239000         1.2000000000         3.3641808108         1.6926127616         2.6691156285         9.2424029408         9.9585600000
        2.5404324000         1.2000000000         3.3641808108         1.6747464736         2.6971862806         8.7769916712         9.9585600000
        2.5454247000         1.2000000000         3.3641808108         1.6951650884         2.7380163199         9.3088902650         9.9585600000
        2.5504588000         1.2000000000         3.3641808108         1.6798511273         2.7711907269         8.9099663196         9.9585600000
        2.5554569000         1.2000000000         3.3641808108         1.7002697422         2.8069170113         9.4418649134         9.9585600000
        2.5604863000         1.2000000000         3.3641808108         1.6772988005         2.8451951732         8.8434789954         9.9585600000
        2.5654550000         1.2000000000         3.3641808108         1.6926127616         2.8758177027         9.2424029408         9.9585600000
        2.5708496000         1.2000000000         3.3641808108         1.6926127616         2.9140958646         9.2424029408         9.9585600000
        2.5754186000         1.2000000000         3.3641808108         1.7002697422         2.9600296588         9.4418649134         9.9585600000
        2.5804687000         1.2000000000         3.3641808108         1.6824034542         2.9829965560         8.9764536438         9.9585600000
        2.5854573000         1.2000000000         3.3641808108         1.7002697422         3.0161709629         9.4418649134         9.9585600000
        2.5904430000         1.2000000000         3.3641808108         1.6926127616         3.0621047572         9.2424029408         9.9585600000
        2.5954336000         1.2000000000         3.3641808108         1.7104790496         3.1003829191         9.7078142103         9.9585600000
        2.6004460000         1.2000000000         3.3641808108         1.6875081079         3.1207979388         9.1094282923         9.9585600000
        2.6054482000         1.2000000000         3.3641808108         1.6977174153         3.1590761006         9.3753775892         9.9585600000
        2.6104147000         1.2000000000         3.3641808108         1.6721941467         3.1948023851         8.7105043469         9.9585600000
        2.6154204000         1.2000000000         3.3641808108         1.7155837033         3.2407361793         9.8407888588         9.9585600000
        2.6205478000         1.2000000000         3.3641808108         1.6900604347         3.2764624638         9.1759156165         9.9585600000
        2.6254198000         1.2000000000         3.3641808108         1.7002697422         3.3070849933         9.4418649134         9.9585600000
        2.6303900000         1.2000000000         3.3641808108         1.6798511273         3.3402594002         8.9099663196         9.9585600000
