% Position Control  theta_d=+30.0000 deg (0.523599 rad)
% Kp=72.950000  Kd=2.695000
% Vg_offset=1.338733V  K_gimbal=26.049690  samples=233

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Theta[rad]          
        0.3406007000     -2059.6122840818         0.0000000000         1.6262522633         3.1335573261         7.4897970741         0.7396647462
        0.3455576000     -2073.4066408439         0.0000000000         1.5981766679         3.1590761006         6.7584365076         0.7699837821
        0.3505643000     -1096.9721519176         0.7226566683         1.3837812120         3.1361092035         1.1735012726         0.7426966498
        0.3555626000       -13.0610111067         2.3533027766         1.1489671412         3.1080385515        -4.9433325563         0.7093457103
        0.3605807000       934.3380844494         3.8284511409         0.9575426269         3.0723122670        -9.9298818733         0.6668990600
        0.3655206000      1073.7359106563         4.1311236146         0.9575426269         3.0442416150        -9.9298818733         0.6335481205
        0.3706007000      1214.8976907084         4.5383454418         0.9728565881         3.0034115756        -9.5309579279         0.5850376630
        0.3755284000      1313.2297206282         4.8987169343         0.9830658955         2.9753409236        -9.2650086310         0.5516867235
        0.3805187000      1485.1908478956         5.0000000000         0.9907228761         2.9345108842        -9.0655466583         0.5031762660
        0.3855156000      1646.8855260912         5.0000000000         1.0009321835         2.8936808449        -8.7995973614         0.4546658086
        0.3906003000      1722.2785772840         5.0000000000         1.0136938178         2.8681620703        -8.4671607403         0.4243467726
        0.3956098000      1446.8484061910         5.0000000000         1.0979206040         2.8554026830        -6.2730790408         0.4091872547
        0.4006343000       183.5954699930         2.9098306519         1.3710195777         2.8885770900         0.8410646515         0.4486020014
        0.4057647000      -810.3237097552         1.3086826819         1.5803103799         2.9191996195         6.2930252381         0.4849848445
        0.4105252000     -1478.1225997898         0.0000000000         1.7053743959         2.9523740265         9.5509041252         0.5243995912
        0.4157688000     -1481.6505074801         0.0000000000         1.6747464736         2.9778928011         8.7530562344         0.5547186271
        0.4206130000     -1674.1445328911         0.0000000000         1.6721941467         3.0187228404         8.6865689102         0.6032290846
        0.4257590000     -1708.4717877968         0.0000000000         1.6492232050         3.0442416150         8.0881829922         0.6335481205
        0.4305812000     -1817.0702667883         0.0000000000         1.6415662245         3.0723122670         7.8887210195         0.6668990600
        0.4356497000     -1859.2578901824         0.0000000000         1.6236999365         3.0952791642         7.4233097499         0.6941861923
        0.4406274000     -1906.2576747433         0.0000000000         1.6007289948         3.1233498162         6.8249238319         0.7275371319
        0.4456320000     -1080.7717145721         0.7633474174         1.4144091342         3.1080385515         1.9713491633         0.7093457103
        0.4506062000        64.7381206695         2.7727785298         1.1642811023         3.0799678994        -4.5444086109         0.6759947708
        0.4557105000       979.5739151651         3.9175938910         0.9651996075         3.0570010023        -9.7304199006         0.6487076385
        0.4606985000      1067.6394960131         4.1160336216         0.9779612418         3.0289303502        -9.3979832794         0.6153566989
        0.4656449000      1208.8012760651         4.5182480801         0.9932752029         2.9881003109        -8.9990593341         0.5668462415
        0.4708101000      1355.4173440222         5.0000000000         1.0009321835         2.9523740265        -8.7995973614         0.5243995912
        0.4755784000      1535.2388397780         5.0000000000         1.0034845104         2.9140958646        -8.7331100372         0.4789210373
        0.4806554000      1590.0989928273         5.0000000000         1.0213507983         2.8885770900        -8.2676987676         0.4486020014
