% Position Control  theta_d=+5.0000 deg (0.087266 rad)
% Kp=72.950000  Kd=2.695000
% Vg_offset=1.337890V  K_gimbal=26.049690  samples=140

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Theta[rad]          
        0.3203970000    -11895.3507326716         0.0000000000         1.7487639524         0.3749777929        10.7031294540         2.5378230368
        0.3254121000    -10486.4411292540         0.0000000000         1.4016475000         0.3775296703         1.6608533592         2.5347911332
        0.3304232000     -9634.3258562960         0.0000000000         1.1898043709         0.3775296703        -3.8575945516         2.5347911332
        0.3354414000     -9695.2824239885         0.0000000000         1.1923566977         0.3673221605        -3.7911072274         2.5469187476
        0.3404432000     -9814.1473520519         0.0000000000         1.1872520440         0.3392515084        -3.9240818759         2.5802696871
        0.3454453000     -9849.7588604340         0.0000000000         1.1898043709         0.3341477535        -3.8575945516         2.5863334942
        0.3504112000     -9694.4778708808         0.0000000000         1.1259961995         0.3137327338        -5.5197776573         2.6105887230
        0.3554013000     -9531.3365128392         0.0000000000         1.0570833743         0.2907658367        -7.3149354114         2.6378758553
        0.3603989000     -9528.7680058863         0.0000000000         1.0060368372         0.2499357974        -8.6446818960         2.6863863128
        0.3653967000     -9629.5061163895         0.0000000000         0.9932752029         0.2193132679        -8.9771185171         2.7227691559
        0.3703858000     -9555.7145926723         0.0000000000         0.9371240121         0.1886907384       -10.4398396501         2.7591519990
        0.3754684000     -9603.1940776019         0.0000000000         0.8733158407         0.1274456793       -12.1020227557         2.8319176852
        0.3804384000     -9713.5565104386         0.0000000000         0.8503448990         0.0866156400       -12.7004086738         2.8804281427
        0.3853979000     -9832.9011388707         0.0000000000         0.8044030155         0.0253705810       -13.8971805099         2.9531938289
        0.3904244000     -9757.3456613084         0.0000000000         0.7635657858         0.0075074388       -14.9609776975         2.9744171540
        0.3954279000     -9676.9780225793         0.0000000000         0.7278332099        -0.0052519485       -15.8918002367         2.9895766720
        0.4004663000     -3947.0682382266         0.0000000000         0.6895483070         1.1175741334       -16.8891101001         1.6555390915
        0.4054680000     15463.7192858074         5.0000000000         0.6589203847         5.0015316260       -17.6869579908        -2.9590181756
        0.4104108000     15545.2087516434         5.0000000000         0.6512634042         5.0117391359       -17.8864199635        -2.9711457900
        0.4154300000     15218.1290611923         5.0000000000         0.6538157310         4.9479421994       -17.8199326392        -2.8953482002
        0.4204280000     14842.1232059657         5.0000000000         0.6716820190         4.8866971404       -17.3545213696        -2.8225825140
        0.4253931000     14469.8076847989         5.0000000000         0.6665773653         4.8075889392       -17.4874960181        -2.7285935026
        0.4303922000     14042.4695842134         5.0000000000         0.6972052876         4.7463438801       -16.6896481274        -2.6558278164
        0.4354049000     13621.2278982711         5.0000000000         0.7074145950         4.6697875564       -16.4236988305        -2.5648707086
        0.4404106000     12900.3328090324         5.0000000000         0.8299262841         4.6238537621       -13.2323072676        -2.5102964440
        0.4453969000     11455.1695704945         5.0000000000         1.1923566977         4.6264056396        -3.7911072274        -2.5133283476
        0.4503966000     10276.9340078228         5.0000000000         1.4884266131         4.6289575170         3.9214223829        -2.5163602512
        0.4553839000     10098.7140395427         5.0000000000         1.5547871113         4.6468206592         5.6500928128        -2.5375835763
        0.4604035000     10246.6143609762         5.0000000000         1.5369208233         4.6621319240         5.1846815432        -2.5557749979
        0.4654001000     10393.2304289333         5.0000000000         1.5445778039         4.6978582084         5.3841435159        -2.5982216481
        0.4703976000     10462.0473651141         5.0000000000         1.5369208233         4.7055138408         5.1846815432        -2.6073173589
        0.4753877000     10439.5880867559         5.0000000000         1.5803103799         4.7361363703         6.3149660551        -2.6437002020
        0.4803846000     10301.7917880247         5.0000000000         1.6492232050         4.7642070224         8.1101238092        -2.6770511415
        0.4853764000     10198.9648709373         5.0000000000         1.7283453376         4.8075889392        10.1712308602        -2.7285935026
        0.4903950000     10278.5279565587         5.0000000000         1.7589732599         4.8484189785        10.9690787509        -2.7771039601
        0.4953864000     10403.3268728958         5.0000000000         1.7972581627         4.9045602826        11.9663886143        -2.8438058391
        0.5004135000     10431.5577131582         5.0000000000         1.8406477193         4.9453903219        13.0966731262        -2.8923162966
        0.5054031000     10561.1687906621         5.0000000000         1.8840372758         5.0066353810        14.2269576380        -2.9650819828
        0.5105936000     10422.2506648239         5.0000000000         1.9248745055         5.0117391359        15.2907548257        -2.9711457900
        0.5153864000     10202.4851998879         5.0000000000         1.9606070815         4.9964278711        16.2215773648        -2.9529543684
        0.5204129000     -9249.3681204332         0.0000000000         2.0014443112         1.1124703785        17.2853745525         1.6616028987
        0.5253807000    -14787.9057064819         0.0000000000         2.0142059455         0.0075074388        17.6178111736         2.9744171540
        0.5303977000    -14690.6955036690         0.0000000000         1.9963396575         0.0126111937        17.1523999040         2.9683533468
        0.5353964000    -14320.7860630857         0.0000000000         1.9988919844         0.0891675175        17.2188872282         2.8773962391
        0.5404205000    -13939.3259199540         0.0000000000         1.9733687158         0.1453088216        16.5540139860         2.8106943601
        0.5454090000    -13559.1500302989         0.0000000000         1.9733687158         0.2218651453        16.5540139860         2.7197372523
        0.5504155000    -13149.2966205353         0.0000000000         1.9376361398         0.2754545720        15.6231914468         2.6560672769
        0.5553994000    -12385.5717811643         0.0000000000         1.8202291044         0.3341477535        12.5647745324         2.5863334942
        0.5604137000    -10907.2031148276         0.0000000000         1.4526940371         0.3341477535         2.9905998437         2.5863334942
        0.5653875000     -9772.4394290265         0.0000000000         1.1642811023         0.3290439986        -4.5224677939         2.5923973014
        0.5704055000     -9771.1551755501         0.0000000000         1.1387578337         0.3086289789        -5.1873410362         2.6166525302
        0.5754005000     -9921.4615775670         0.0000000000         1.1540717949         0.2907658367        -4.7884170908         2.6378758553
        0.5804502000    -10022.8418148083         0.0000000000         1.1540717949         0.2703508170        -4.7884170908         2.6621310840
        0.5853935000    -10008.2429049385         0.0000000000         1.1157868920         0.2422801650        -5.7857269542         2.6954820236
        0.5905538000     -9847.5076274803         0.0000000000         1.0443217401         0.2167613904        -7.6473720326         2.7258010595
        0.5954032000     -9757.9953667864         0.0000000000         0.9779612418         0.1810351060        -9.3760424624         2.7682477098
        0.6004266000     -9823.1219689074         0.0000000000         0.9626472806         0.1555163314        -9.7749664078         2.7985667457
        0.6053914000     -9899.6368472071         0.0000000000         0.9218100509         0.1070306597       -10.8387635954         2.8561729139
        0.6103872000     -9878.9415226941         0.0000000000         0.8631065332         0.0636487429       -12.3679720526         2.9077152750
        0.6153849000    -10006.7886463527         0.0000000000         0.8350309378         0.0151630711       -13.0993326191         2.9653214433
        0.6204770000     -9877.4948428481         0.0000000000         0.7839844007        -0.0001481936       -14.4290791037         2.9835128648
        0.6253954000     -9744.6731316532         0.0000000000         0.7635657858         0.0100593162       -14.9609776975         2.9713852504
        0.6305688000     -4051.4966827896         0.0000000000         0.6997576144         1.1048147461       -16.6231608032         1.6706986095
        0.6354057000     15394.2602228883         5.0000000000         0.6793389996         5.0040835035       -17.1550593970        -2.9620500792
        0.6404166000     15468.5314469742         5.0000000000         0.6640250384         5.0066353810       -17.5539833423        -2.9650819828
        0.6454179000     15108.2463287243         5.0000000000         0.6716820190         4.9402865670       -17.3545213696        -2.8862524894
        0.6503929000     14717.1618632592         5.0000000000         0.6869959802         4.8739377531       -16.9555974243        -2.8074229960
        0.6554085000     14318.8591560438         5.0000000000         0.6946529607         4.7999333068       -16.7561354516        -2.7194977918
        0.6604023000     13919.2721953520         5.0000000000         0.7278332099         4.7463438801       -15.8918002367        -2.6558278164
        0.6654002000     13515.5152002316         5.0000000000         0.7431471710         4.6774431887       -15.4928762913        -2.5739664194
        0.6703969000     12890.0663599606         5.0000000000         0.8324786110         4.6238537621       -13.1658199434        -2.5102964440
        0.6754117000     11493.8292861982         5.0000000000         1.1795950634         4.6238537621        -4.1235438485        -2.5102964440
        0.6804024000     10256.4011096793         5.0000000000         1.4935312668         4.6289575170         4.0543970313        -2.5163602512
        0.6854004000     10080.5872219825         5.0000000000         1.5624440919         4.6493725367         5.8495547855        -2.5406154799
        0.6903951000     10249.0204415596         5.0000000000         1.5394731502         4.6646838015         5.2511688674        -2.5588069014
        0.6954086000     10375.7457381113         5.0000000000         1.5394731502         4.6902025760         5.2511688674        -2.5891259374
