% Potentiometer Recording  5.0 s
% Vg_offset=1.395394V  K_gimbal=26.049690
% Fs=200 Hz  samples=1001

Time[s]              Vg[V]                Pot[V]               Omega[rad/s]        
        0.3704018000         1.3965428462         3.3453631551         0.0299192959
        0.3753916000         1.4016475000         3.3504669101         0.1628939444
        0.3803928000         1.3863335388         3.3402594002        -0.2360300010
        0.3854028000         1.3965428462         3.3453631551         0.0299192959
        0.3904106000         1.3965428462         3.3453631551         0.0299192959
        0.3953962000         1.3965428462         3.3453631551         0.0299192959
        0.4004076000         1.3863335388         3.3402594002        -0.2360300010
        0.4054093000         1.4041998268         3.3453631551         0.2293812686
        0.4103961000         1.4016475000         3.3530187875         0.1628939444
        0.4154036000         1.3888858657         3.3402594002        -0.1695426768
        0.4203878000         1.3965428462         3.3453631551         0.0299192959
        0.4253875000         1.3965428462         3.3453631551         0.0299192959
        0.4304070000         1.3939905194         3.3453631551        -0.0365680283
        0.4353862000         1.4016475000         3.3530187875         0.1628939444
        0.4403991000         1.3888858657         3.3402594002        -0.1695426768
        0.4453762000         1.4041998268         3.3530187875         0.2293812686
        0.4503923000         1.3965428462         3.3453631551         0.0299192959
        0.4553905000         1.3914381925         3.3377075228        -0.1030553526
        0.4604000000         1.4016475000         3.3504669101         0.1628939444
        0.4654205000         1.3939905194         3.3453631551        -0.0365680283
        0.4704302000         1.3888858657         3.3428112777        -0.1695426768
        0.4754321000         1.3939905194         3.3453631551        -0.0365680283
        0.4804119000         1.3965428462         3.3453631551         0.0299192959
        0.4854208000         1.3888858657         3.3402594002        -0.1695426768
        0.4904109000         1.4041998268         3.3453631551         0.2293812686
        0.4953923000         1.3965428462         3.3453631551         0.0299192959
        0.5003825000         1.3965428462         3.3428112777         0.0299192959
        0.5053865000         1.4041998268         3.3530187875         0.2293812686
        0.5103966000         1.3888858657         3.3402594002        -0.1695426768
        0.5153983000         1.4016475000         3.3530187875         0.1628939444
        0.5204037000         1.3888858657         3.3428112777        -0.1695426768
        0.5253984000         1.3965428462         3.3479150326         0.0299192959
        0.5304015000         1.3939905194         3.3453631551        -0.0365680283
        0.5353844000         1.4041998268         3.3504669101         0.2293812686
        0.5404485000         1.3965428462         3.3453631551         0.0299192959
        0.5453958000         1.3888858657         3.3402594002        -0.1695426768
        0.5504178000         1.3888858657         3.3402594002        -0.1695426768
        0.5553974000         1.3965428462         3.3479150326         0.0299192959
        0.5603863000         1.4041998268         3.3530187875         0.2293812686
        0.5653878000         1.3888858657         3.3402594002        -0.1695426768
        0.5703964000         1.3965428462         3.3453631551         0.0299192959
        0.5753860000         1.4016475000         3.3504669101         0.1628939444
        0.5803871000         1.3914381925         3.3402594002        -0.1030553526
        0.5856524000         1.4016475000         3.3504669101         0.1628939444
        0.5903869000         1.3888858657         3.3402594002        -0.1695426768
        0.5953928000         1.3965428462         3.3530187875         0.0299192959
        0.6003971000         1.3888858657         3.3402594002        -0.1695426768
        0.6053802000         1.4016475000         3.3530187875         0.1628939444
        0.6103889000         1.3888858657         3.3402594002        -0.1695426768
        0.6154011000         1.4016475000         3.3530187875         0.1628939444
        0.6203743000         1.4016475000         3.3530187875         0.1628939444
        0.6254875000         1.3965428462         3.3428112777         0.0299192959
        0.6303801000         1.3965428462         3.3453631551         0.0299192959
        0.6354119000         1.3888858657         3.3428112777        -0.1695426768
        0.6404001000         1.3990951731         3.3530187875         0.0964066201
        0.6454017000         1.3965428462         3.3479150326         0.0299192959
        0.6504093000         1.4016475000         3.3530187875         0.1628939444
        0.6553700000         1.3914381925         3.3402594002        -0.1030553526
        0.6604028000         1.3965428462         3.3428112777         0.0299192959
        0.6653887000         1.3914381925         3.3402594002        -0.1030553526
        0.6704018000         1.4016475000         3.3530187875         0.1628939444
        0.6754006000         1.3888858657         3.3402594002        -0.1695426768
        0.6804128000         1.4016475000         3.3530187875         0.1628939444
        0.6853747000         1.3939905194         3.3453631551        -0.0365680283
        0.6904098000         1.3914381925         3.3402594002        -0.1030553526
        0.6953859000         1.3965428462         3.3453631551         0.0299192959
        0.7003908000         1.3939905194         3.3453631551        -0.0365680283
        0.7053770000         1.3914381925         3.3428112777        -0.1030553526
        0.7103874000         1.4016475000         3.3530187875         0.1628939444
        0.7153958000         1.3888858657         3.3402594002        -0.1695426768
        0.7204070000         1.4016475000         3.3530187875         0.1628939444
        0.7253906000         1.3939905194         3.3453631551        -0.0365680283
        0.7304023000         1.3939905194         3.3402594002        -0.0365680283
        0.7353889000         1.3939905194         3.3479150326        -0.0365680283
        0.7404002000         1.3914381925         3.3479150326        -0.1030553526
        0.7454021000         1.3965428462         3.3479150326         0.0299192959
        0.7504663000         1.3939905194         3.3453631551        -0.0365680283
        0.7554214000         1.3965428462         3.3428112777         0.0299192959
        0.7604042000         1.3965428462         3.3453631551         0.0299192959
        0.7653895000         1.3965428462         3.3453631551         0.0299192959
        0.7704426000         1.3965428462         3.3453631551         0.0299192959
        0.7754015000         1.3965428462         3.3428112777         0.0299192959
        0.7803837000         1.3939905194         3.3479150326        -0.0365680283
        0.7853891000         1.3888858657         3.3402594002        -0.1695426768
        0.7903961000         1.4016475000         3.3530187875         0.1628939444
        0.7953848000         1.3914381925         3.3377075228        -0.1030553526
        0.8003693000         1.3990951731         3.3530187875         0.0964066201
        0.8054016000         1.4016475000         3.3530187875         0.1628939444
        0.8103856000         1.3888858657         3.3402594002        -0.1695426768
        0.8153947000         1.3965428462         3.3479150326         0.0299192959
        0.8204019000         1.3939905194         3.3453631551        -0.0365680283
        0.8253870000         1.4041998268         3.3530187875         0.2293812686
        0.8303781000         1.3888858657         3.3402594002        -0.1695426768
        0.8354105000         1.3965428462         3.3479150326         0.0299192959
        0.8403839000         1.3888858657         3.3402594002        -0.1695426768
        0.8454025000         1.3965428462         3.3479150326         0.0299192959
        0.8503811000         1.4041998268         3.3453631551         0.2293812686
        0.8554160000         1.3965428462         3.3453631551         0.0299192959
        0.8604295000         1.3939905194         3.3453631551        -0.0365680283
        0.8653904000         1.4016475000         3.3530187875         0.1628939444
        0.8704572000         1.3965428462         3.3453631551         0.0299192959
        0.8754054000         1.3965428462         3.3453631551         0.0299192959
        0.8804043000         1.3965428462         3.3453631551         0.0299192959
        0.8853890000         1.3888858657         3.3402594002        -0.1695426768
        0.8903990000         1.3965428462         3.3453631551         0.0299192959
