% Potentiometer Recording  5.0 s
% Vg_offset=1.338069V  K_gimbal=26.049690
% Fs=200 Hz  samples=1001

Time[s]              Vg[V]                Pot[V]               Omega[rad/s]        
        0.3403882000         1.3403916554         2.4624135543         0.0605034650
        0.3454212000         1.3429439823         2.4700691867         0.1269907893
        0.3503792000         1.3429439823         2.4700691867         0.1269907893
        0.3553890000         1.3301823480         2.4573097994        -0.2054458319
        0.3603742000         1.3327346748         2.4573097994        -0.1389585076
        0.3653882000         1.3378393285         2.4649654318        -0.0059838592
        0.3704230000         1.3429439823         2.4726210642         0.1269907893
        0.3753998000         1.3378393285         2.4649654318        -0.0059838592
        0.3804168000         1.3352870017         2.4624135543        -0.0724711834
        0.3854191000         1.3327346748         2.4598616769        -0.1389585076
        0.3904105000         1.3327346748         2.4598616769        -0.1389585076
        0.3953859000         1.3378393285         2.4649654318        -0.0059838592
        0.4004229000         1.3454963091         2.4700691867         0.1934781135
        0.4054359000         1.3429439823         2.4726210642         0.1269907893
        0.4104165000         1.3378393285         2.4649654318        -0.0059838592
        0.4154239000         1.3327346748         2.4598616769        -0.1389585076
        0.4204115000         1.3429439823         2.4700691867         0.1269907893
        0.4253888000         1.3352870017         2.4649654318        -0.0724711834
        0.4304249000         1.3301823480         2.4624135543        -0.2054458319
        0.4353871000         1.3327346748         2.4598616769        -0.1389585076
        0.4404191000         1.3378393285         2.4649654318        -0.0059838592
        0.4454018000         1.3378393285         2.4649654318        -0.0059838592
        0.4503879000         1.3327346748         2.4598616769        -0.1389585076
        0.4553960000         1.3429439823         2.4700691867         0.1269907893
        0.4603975000         1.3327346748         2.4573097994        -0.1389585076
        0.4653872000         1.3378393285         2.4649654318        -0.0059838592
        0.4703917000         1.3403916554         2.4624135543         0.0605034650
        0.4754056000         1.3378393285         2.4649654318        -0.0059838592
        0.4803890000         1.3454963091         2.4726210642         0.1934781135
        0.4853892000         1.3327346748         2.4598616769        -0.1389585076
        0.4904695000         1.3378393285         2.4649654318        -0.0059838592
        0.4953985000         1.3327346748         2.4649654318        -0.1389585076
        0.5003934000         1.3352870017         2.4649654318        -0.0724711834
        0.5054061000         1.3403916554         2.4649654318         0.0605034650
        0.5104151000         1.3327346748         2.4573097994        -0.1389585076
        0.5154220000         1.3378393285         2.4675173092        -0.0059838592
        0.5203858000         1.3352870017         2.4649654318        -0.0724711834
        0.5253839000         1.3429439823         2.4700691867         0.1269907893
        0.5303913000         1.3301823480         2.4649654318        -0.2054458319
        0.5353773000         1.3378393285         2.4649654318        -0.0059838592
        0.5403871000         1.3327346748         2.4598616769        -0.1389585076
        0.5453965000         1.3352870017         2.4649654318        -0.0724711834
        0.5503814000         1.3352870017         2.4649654318        -0.0724711834
        0.5553948000         1.3480486360         2.4700691867         0.2599654377
        0.5604012000         1.3327346748         2.4649654318        -0.1389585076
        0.5653981000         1.3327346748         2.4598616769        -0.1389585076
        0.5703883000         1.3301823480         2.4598616769        -0.2054458319
        0.5753962000         1.3403916554         2.4649654318         0.0605034650
        0.5803774000         1.3403916554         2.4649654318         0.0605034650
        0.5854614000         1.3429439823         2.4700691867         0.1269907893
        0.5904033000         1.3378393285         2.4649654318        -0.0059838592
        0.5954351000         1.3327346748         2.4598616769        -0.1389585076
        0.6004236000         1.3327346748         2.4598616769        -0.1389585076
        0.6054350000         1.3378393285         2.4649654318        -0.0059838592
        0.6104079000         1.3378393285         2.4726210642        -0.0059838592
        0.6154005000         1.3352870017         2.4624135543        -0.0724711834
        0.6205343000         1.3352870017         2.4649654318        -0.0724711834
        0.6254067000         1.3301823480         2.4598616769        -0.2054458319
        0.6303966000         1.3557056165         2.4649654318         0.4594274104
        0.6354062000         1.3352870017         2.4649654318        -0.0724711834
        0.6403869000         1.3352870017         2.4649654318        -0.0724711834
        0.6453964000         1.3327346748         2.4598616769        -0.1389585076
        0.6503957000         1.3301823480         2.4624135543        -0.2054458319
        0.6554118000         1.3429439823         2.4700691867         0.1269907893
        0.6604062000         1.3352870017         2.4649654318        -0.0724711834
        0.6653878000         1.3327346748         2.4624135543        -0.1389585076
        0.6704795000         1.3403916554         2.4649654318         0.0605034650
        0.6754056000         1.3301823480         2.4598616769        -0.2054458319
        0.6804116000         1.3454963091         2.4751729416         0.1934781135
        0.6853902000         1.3378393285         2.4624135543        -0.0059838592
        0.6903973000         1.3352870017         2.4649654318        -0.0724711834
        0.6953911000         1.3454963091         2.4700691867         0.1934781135
        0.7003867000         1.3454963091         2.4598616769         0.1934781135
        0.7053982000         1.3378393285         2.4649654318        -0.0059838592
        0.7104093000         1.3429439823         2.4726210642         0.1269907893
        0.7153971000         1.3429439823         2.4700691867         0.1269907893
        0.7203744000         1.3454963091         2.4700691867         0.1934781135
        0.7253923000         1.3378393285         2.4649654318        -0.0059838592
        0.7303898000         1.3378393285         2.4649654318        -0.0059838592
        0.7354080000         1.3403916554         2.4675173092         0.0605034650
        0.7403850000         1.3454963091         2.4726210642         0.1934781135
        0.7453923000         1.3378393285         2.4624135543        -0.0059838592
        0.7503838000         1.3378393285         2.4649654318        -0.0059838592
        0.7553853000         1.3327346748         2.4598616769        -0.1389585076
        0.7604097000         1.3378393285         2.4649654318        -0.0059838592
        0.7654533000         1.3429439823         2.4700691867         0.1269907893
        0.7704413000         1.3429439823         2.4675173092         0.1269907893
        0.7754205000         1.3352870017         2.4649654318        -0.0724711834
        0.7804414000         1.3327346748         2.4598616769        -0.1389585076
        0.7855723000         1.3327346748         2.4573097994        -0.1389585076
        0.7904430000         1.3378393285         2.4649654318        -0.0059838592
        0.7954776000         1.3454963091         2.4675173092         0.1934781135
        0.8004185000         1.3429439823         2.4700691867         0.1269907893
        0.8053993000         1.3403916554         2.4649654318         0.0605034650
        0.8103881000         1.3378393285         2.4649654318        -0.0059838592
        0.8153891000         1.3327346748         2.4649654318        -0.1389585076
        0.8204012000         1.3378393285         2.4649654318        -0.0059838592
        0.8254204000         1.3327346748         2.4573097994        -0.1389585076
        0.8304149000         1.3378393285         2.4649654318        -0.0059838592
        0.8354038000         1.3378393285         2.4649654318        -0.0059838592
        0.8403866000         1.3378393285         2.4675173092        -0.0059838592
        0.8454013000         1.3454963091         2.4700691867         0.1934781135
        0.8504035000         1.3454963091         2.4700691867         0.1934781135
        0.8553952000         1.3378393285         2.4649654318        -0.0059838592
        0.8604265000         1.3327346748         2.4598616769        -0.1389585076
        0.8654270000         1.3378393285         2.4649654318        -0.0059838592
        0.8704110000         1.3378393285         2.4649654318        -0.0059838592
        0.8754228000         1.3480486360         2.4700691867         0.2599654377
        0.8804030000         1.3429439823         2.4726210642         0.1269907893
        0.8854109000         1.3378393285         2.4649654318        -0.0059838592
        0.8904199000         1.3301823480         2.4598616769        -0.2054458319
