% Stabilization Loop  omega_cmd=0 rad/s
% Kp_stab=1.3387  Ki_stab=39.0406  (Tustin integrator)
% LPF=OFF  fc=20.0 Hz
% Vg_offset=1.338950V  K_gimbal=26.049690  samples=601

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[deg/s]         omega_LPF[deg/s]       Error[deg/s]           disturbance[V]      
        0.7054444000       502.8068683762         3.3041018871         1.6772988005         2.2404002154       504.9988204827       489.1846494323        -4.9988204827         1.3993761929
        0.7104613000       523.7171188000         3.3312228181         1.6670894930         2.2786783773       489.7610482055       493.1029335477        10.2389517945         1.3968249959
        0.7154422000       492.8867401395         3.2914176017         1.6824034542         2.3195084166       512.6177066213       496.9691791865       -12.6177066213         1.4019273900
        0.7204739000       561.5533402838         3.3817052818         1.6492232050         2.3424753138       463.0949467203       492.6121927434        36.9050532797         1.3968249959
        0.7254801000       492.1561942746         3.2904879949         1.6849557810         2.3833053531       516.4271496906       491.2490193487       -16.4271496906         1.3917226017
        0.7304698000       521.7786181412         3.3286860422         1.6696418199         2.4164797601       493.5704912748       497.8229979173         6.4295087252         1.4044785871
        0.7354749000       523.0336775329         3.3303279133         1.6696418199         2.4547579220       493.5704912748       495.7898130546         6.4295087252         1.3968249959
        0.7405399000       485.9881753623         3.2826634966         1.6875081079         2.4853804515       520.2365927599       501.1034474342       -20.2365927599         1.3993761929
        0.7455091000       531.2815108973         3.3411669090         1.6645371662         2.5160029810       485.9516051362       502.0552066824        14.0483948638         1.3968249959
        0.7505028000       550.4383261037         3.3666794801         1.6568801856         2.5466255105       474.5232759282       491.6238174799        25.4767240718         1.4019273900
        0.7554652000       533.5254238943         3.3441306932         1.6670894930         2.5772480400       489.7610482055       487.0905010433        10.2389517945         1.3917226017
        0.7605420000       513.6380628230         3.3180837937         1.6772988005         2.6180780793       504.9988204827       492.0100277581        -4.9988204827         1.3917226017
        0.7654603000       534.5483132467         3.3454838744         1.6670894930         2.6487006088       489.7610482055       494.5774576771        10.2389517945         1.4044785871
        0.7704857000       525.6039697647         3.3336965116         1.6721941467         2.6895306482       497.3799343441       494.0960124923         2.6200656559         1.3891714046
        0.7754815000       504.2293792625         3.3059302087         1.6824034542         2.7176013002       512.6177066213       499.3088025078       -12.6177066213         1.3942737988
        0.7804683000       529.1239090499         3.3383231740         1.6696418199         2.7507757072       493.5704912748       501.1186074229         6.4295087252         1.3968249959
        0.7854815000       519.4359508524         3.3256265930         1.6747464736         2.7839501142       501.1893774134       499.3310938105        -1.1893774134         1.4044785871
