% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.339728V  K_gimbal=26.049690  samples=2001

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[deg/s]         omega_LPF[deg/s]       Error[deg/s]           disturbance[V]      
        0.1754524000       536.9439800186         3.3486583689         1.7002697422         3.7919417105       538.1219279703       536.7388814274       -36.7388814274         1.4070297842
        0.1804483000       527.7798338380         3.3365546562         1.7079267227         3.8353236273       549.5502571782       540.1321606117       -40.1321606117         1.4044785871
        0.1854393000       516.8913349062         3.3223110841         1.7079267227         3.8633942793       549.5502571782       544.6350886455       -44.6350886455         1.3917226017
        0.1904440000       511.7284459172         3.3156084458         1.6977174153         3.9042243187       534.3124849010       543.3424021969       -43.3424021969         1.3866202076
        0.1954873000       512.0995595730         3.3160891572         1.6926127616         3.9322949707       526.6935987624       537.2037185132       -37.2037185132         1.3917226017
        0.2004447000       512.1488478923         3.3161530140         1.6926127616         3.9705731326       526.6935987624       532.1786784183       -32.1786784183         1.3968249959
        0.2054503000       505.2702385076         3.3072695201         1.7053743959         4.0114031719       545.7408141089       534.1095570089       -34.1095570089         1.4044785871
        0.2104313000       491.0916420767         3.2891344633         1.7130313764         4.0471294564       557.1691433169       542.4026537187       -42.4026537187         1.4019273900
        0.2154504000       475.0402844693         3.2688800806         1.7181360302         4.0854076183       564.7880294555       551.2840754976       -51.2840754976         1.3968249959
        0.2204311000       473.4052479215         3.2668328307         1.6849557810         4.1211339027       515.2652695545       545.9017374920       -45.9017374920         1.3866202076
        0.2254854000       475.7519137775         3.2697720249         1.7028220690         4.1568601871       541.9313710396       537.6287237448       -37.6287237448         1.4070297842
        0.2304460000       474.9584096082         3.2687774952         1.6849557810         4.1900345941       515.2652695545       533.3111573922       -33.3111573922         1.3942737988
        0.2354568000       478.5507609278         3.2732854039         1.6875081079         4.2257608785       519.0747126238       525.5938325877       -25.5938325877         1.3942737988
        0.2404486000       481.2220854978         3.2766467145         1.6798511273         4.2614871629       507.6463834159       519.7449224988       -19.7449224988         1.3866202076
        0.2454588000       486.6939059003         3.2835565792         1.6747464736         4.2895578150       500.0274972773       512.1390864057       -12.1390864057         1.3968249959
        0.2504371000       487.2705738445         3.2842867525         1.6849557810         4.3303878543       515.2652695545       509.9910601992        -9.9910601992         1.4044785871
        0.2554295000       485.0236984844         3.2814438813         1.6798511273         4.3635622613       507.6463834159       510.6913861223       -10.6913861223         1.4095809812
