% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.338069V  K_gimbal=26.049690  samples=6753

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[rad/s]         Error[rad/s]           disturbance[V]      
        7.8454446000         6.1442029182         2.5822758138         1.3378393285         4.5345380510        -0.0059838592         0.0059838592         1.4682585140
        7.8504613000        -6.4060762817         2.4333649733         1.3454963091         4.5421936834         0.1934781135        -0.1934781135         1.4657073169
        7.8554888000         0.3582799113         2.5136250177         1.3403916554         4.5319861736         0.0605034650        -0.0605034650         1.4759121052
        7.8605590000        12.4474899120         2.6570652068         1.3327346748         4.5268824187        -0.1389585076         0.1389585076         1.4657073169
        7.8655076000         1.0217697345         2.5214974185         1.3403916554         4.5396418060         0.0605034650        -0.0605034650         1.4657073169
        7.8706597000        13.1109797353         2.6649376075         1.3327346748         4.5268824187        -0.1389585076         0.1389585076         1.4682585140
        7.8757368000         5.8855543431         2.5792069118         1.3378393285         4.5319861736        -0.0059838592         0.0059838592         1.4606049228
        7.8806424000        10.1364542844         2.6296444417         1.3352870017         4.5268824187        -0.0724711834         0.0724711834         1.4682585140
        7.8855250000         6.5490441663         2.5870793125         1.3378393285         4.5345380510        -0.0059838592         0.0059838592         1.4733609081
        7.8908068000         6.5996493223         2.5876797499         1.3378393285         4.5294342961        -0.0059838592         0.0059838592         1.4657073169
        7.8957863000        -1.7503350923         2.4886060020         1.3429439823         4.5243305412         0.1269907893        -0.1269907893         1.4657073169
        7.9006055000        -7.0245837440         2.4260262947         1.3454963091         4.5421936834         0.1934781135        -0.1934781135         1.4631561198
        7.9054872000        -8.6608171216         2.4066121539         1.3454963091         4.5421936834         0.1934781135        -0.1934781135         1.4682585140
        7.9108203000        -1.8964609286         2.4868721983         1.3403916554         4.5345380510         0.0605034650        -0.0605034650         1.4657073169
        7.9158772000       -19.2093144249         2.2814527392         1.3506009628         4.5421936834         0.3264527620        -0.3264527620         1.4631561198
        7.9209258000       -17.7698120396         2.2985326389         1.3480486360         4.5345380510         0.2599654377        -0.2599654377         1.4555025286
        7.9257427000        -7.3674405725         2.4219582499         1.3403916554         4.5294342961         0.0605034650        -0.0605034650         1.4580537257
        7.9309387000       -12.0794097130         2.3660500686         1.3429439823         4.5294342961         0.1269907893        -0.1269907893         1.4631561198
        7.9363664000       -29.9545427205         2.2544893672         1.3531532897         4.5345380510         0.3929400862        -0.3929400862         1.4606049228
        7.9413922000       -29.0773198464         2.2560206403         1.3506009628         4.5345380510         0.3264527620        -0.3264527620         1.4529513315
        7.9456442000       -52.8395861729         2.2157188582         1.3633625971         4.5421936834         0.6588893831        -0.6588893831         1.4504001345
        7.9513300000       -50.0111865582         2.2203915246         1.3582579434         4.5370899285         0.5259147346        -0.5259147346         1.4504001345
        7.9559074000       -75.4602914182         2.1794742595         1.3710195777         4.5345380510         0.8583513558        -0.8583513558         1.4350929520
        7.9609771000       -78.5190251225         2.1747200756         1.3684672508         4.5396418060         0.7918640315        -0.7918640315         1.4376441491
        7.9655583000        -5.4101731801         2.4451815047         1.3199730405         4.5319861736        -0.4713951288         0.4713951288         1.4223369666
        7.9712858000        -1.4236114457         2.4924826244         1.3199730405         4.5166749088        -0.4713951288         0.4713951288         1.4274393608
        7.9755254000       -47.8405871350         2.2239996264         1.3506009628         4.5217786637         0.3264527620        -0.3264527620         1.4172345725
        7.9805035000       -46.4010847496         2.2264031709         1.3480486360         4.5243305412         0.2599654377        -0.2599654377         1.4223369666
        7.9854858000       -44.3993028531         2.2297598838         1.3454963091         4.5115711539         0.1934781135        -0.1934781135         1.4146833754
        7.9905333000       -58.6364205866         2.2062425828         1.3531532897         4.5192267863         0.3929400862        -0.3929400862         1.4146833754
        7.9955086000       -40.9580185712         2.2355698101         1.3403916554         4.5064673990         0.0605034650        -0.0605034650         1.4172345725
        8.0005367000       -54.0705772823         2.2136953014         1.3480486360         4.4988117666         0.2599654377        -0.2599654377         1.4248881637
        8.0054994000       -64.6696797417         2.1965198872         1.3531532897         4.4962598892         0.3929400862        -0.3929400862         1.4197857695
        8.0107793000       -38.5906881557         2.2395958189         1.3352870017         4.4911561342        -0.0724711834         0.0724711834         1.4197857695
        8.0157290000       -54.7789826297         2.2125335518         1.3454963091         4.4860523793         0.1934781135        -0.1934781135         1.4095809812
        8.0209514000       -56.4152160073         2.2098578688         1.3454963091         4.4783967469         0.1934781135        -0.1934781135         1.4044785871
        8.0259855000       -53.8511545996         2.2140555518         1.3429439823         4.4783967469         0.1269907893        -0.1269907893         1.4019273900
        8.0305929000       -67.5259928219         2.1919655702         1.3506009628         4.4707411146         0.3264527620        -0.3264527620         1.4070297842
        8.0355407000       -61.8861956512         2.2009880185         1.3454963091         4.4579817273         0.1934781135        -0.1934781135         1.3891714046
        8.0407764000       -63.5224290288         2.1983578851         1.3454963091         4.4477742174         0.1934781135        -0.1934781135         1.3942737988
        8.0457336000       -69.3589571917         2.1890591512         1.3480486360         4.4477742174         0.2599654377        -0.2599654377         1.3840690105
        8.0506350000       -71.5574700805         2.1855896178         1.3480486360         4.4401185851         0.2599654377        -0.2599654377         1.3942737988
        8.0559027000       -77.9562777545         2.1755922358         1.3506009628         4.4324629527         0.3264527620        -0.3264527620         1.3789666163
        8.0609272000       -97.5182492957         2.1459160708         1.3608102703         4.4350148301         0.5924020589        -0.5924020589         1.3840690105
        8.0657172000       -68.9258014580         2.1897448451         1.3403916554         4.4197035654         0.0605034650        -0.0605034650         1.3866202076
        8.0706387000       -94.6392445250         2.1502030157         1.3557056165         4.4094960556         0.4594274104        -0.4594274104         1.3815178134
        8.0757399000      -111.1254803033         2.1260090670         1.3633625971         4.4043923006         0.6588893831        -0.6588893831         1.3713130251
        8.0806386000       -87.2956067621         2.1612618721         1.3454963091         4.3916329133         0.1934781135        -0.1934781135         1.4070297842
        8.0864205000       -97.3324297103         2.1461919518         1.3506009628         4.3814254035         0.3264527620        -0.3264527620         1.3815178134
        8.0908459000      -108.4938116808         2.1298146177         1.3557056165         4.3814254035         0.4594274104        -0.4594274104         1.3789666163
        8.0956819000      -112.3791631032         2.1242034643         1.3557056165         4.3737697711         0.4594274104        -0.4594274104         1.3636594339
        8.1006664000      -107.8639249549         2.1307285762         1.3506009628         4.3635622613         0.3264527620        -0.3264527620         1.3738642222
        8.1059376000      -123.2256017108         2.1087731415         1.3582579434         4.3559066289         0.5259147346        -0.5259147346         1.3764154192
        8.1107932000      -119.2726430738         2.1143576283         1.3531532897         4.3533547515         0.3929400862        -0.3929400862         1.3636594339
        8.1155952000      -130.9963045555         2.0979210089         1.3582579434         4.3380434867         0.5259147346        -0.5259147346         1.3687618280
        8.1213392000      -106.0418719920         2.1333791707         1.3403916554         4.3227322219         0.0605034650        -0.0605034650         1.3611082368
        8.1256997000      -127.5550202737         2.1027066832         1.3531532897         4.3227322219         0.3929400862        -0.3929400862         1.3687618280
        8.1314596000      -118.2772078289         2.1157708937         1.3454963091         4.3150765896         0.1934781135        -0.1934781135         1.3611082368
