% Stabilization Loop  omega_cmd=0 rad/s
% Kp_stab=1.3387  Ki_stab=39.0406  (Tustin integrator)
% LPF=ON  fc=20.0 Hz
% Vg_offset=1.338873V  K_gimbal=26.049690  samples=601

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[deg/s]         omega_LPF[deg/s]       Error[deg/s]           disturbance[V]      
        0.9854545000       475.6638377642         3.2696616021         1.6645371662         3.8123567301       486.0658884282       502.9112740221        -2.9112740221         1.3866202076
        0.9905211000       476.1995229277         3.2703333326         1.6849557810         3.8531867695       516.5414329827       502.1426508699        -2.1426508699         1.3917226017
        0.9954533000       475.0494157359         3.2688915221         1.6670894930         3.8812574215       489.8753314975       502.6521924349        -2.6521924349         1.3993761929
        1.0006820000       485.9217884135         3.2825795145         1.6619848393         3.9144318285       482.2564453589       494.7220408633         5.2779591367         1.3993761929
        1.0055042000       496.8203956590         3.2964336564         1.6594325125         3.9476062355       478.4470022896       487.8513846758        12.1486153242         1.3993761929
        1.0104723000       496.4939604417         3.2960167182         1.6772988005         3.9807806424       505.1131037748       489.7297377753        10.2702622247         1.3968249959
        1.0154554000       493.1667500221         3.2917740714         1.6670894930         4.0114031719       489.8753314975       493.4420477720         6.5579522280         1.3993761929
        1.0204534000       502.1282196848         3.3032304767         1.6568801856         4.0522332113       474.6375592203       488.0940496574        11.9059503426         1.4095809812
        1.0254515000       500.6130538800         3.3012869025         1.6824034542         4.0828557408       512.7319899134       490.7670560071         9.2329439929         1.3942737988
        1.0304444000       496.4876956714         3.2960087178         1.6645371662         4.1109263928       486.0658884282       494.8940840544         5.1059159456         1.3917226017
