% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.338745V  K_gimbal=26.049690  samples=4545

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[deg/s]         Error[deg/s]           disturbance[V]      
        0.4004323000        42.0976720146         2.7730267685         1.3812288851         3.5520652293        63.4081798886       -13.4081798886         1.4019273900
        0.4054242000        52.7194889067         2.7855297749         1.3735719045         3.5571689842        51.9798506807        -1.9798506807         1.3917226017
        0.4104374000        39.8263756205         2.7703400504         1.3812288851         3.5622727392        63.4081798886       -13.4081798886         1.3917226017
        0.4154678000        42.0476029420         2.7729675928         1.3786765582         3.5673764941        59.5987368193        -9.5987368193         1.4070297842
        0.4204386000        40.6308149894         2.7712921662         1.3786765582         3.5673764941        59.5987368193        -9.5987368193         1.3917226017
        0.4254350000        35.0137322514         2.7646312740         1.3812288851         3.5750321265        63.4081798886       -13.4081798886         1.3917226017
        0.4304239000        24.6340752170         2.7522427120         1.3863335388         3.5852396363        71.0270660272       -21.0270660272         1.3993761929
        0.4354303000        25.7307435161         2.7535566879         1.3837812120         3.5877915138        67.2176229579       -17.2176229579         1.3993761929
        0.4404444000        35.7902808970         2.7655538995         1.3761242314         3.5928952687        55.7892937500        -5.7892937500         1.3968249959
        0.4454606000        34.9357724555         2.7645386174         1.3761242314         3.5877915138        55.7892937500        -5.7892937500         1.4019273900
        0.4504397000        29.8809692288         2.7585183696         1.3786765582         3.5928952687        59.5987368193        -9.5987368193         1.3942737988
        0.4554520000        15.8632969203         2.6975942408         1.3863335388         3.6056546560        71.0270660272       -21.0270660272         1.3993761929
        0.4604348000        33.7611443605         2.7631418462         1.3735719045         3.5928952687        51.9798506807        -1.9798506807         1.3968249959
        0.4654498000        25.0683258597         2.7527631561         1.3786765582         3.6082065334        59.5987368193        -9.5987368193         1.3917226017
        0.4704503000        23.6515379071         2.7510644454         1.3786765582         3.6107584109        59.5987368193        -9.5987368193         1.3993761929
        0.4755983000        39.0359290956         2.7694039115         1.3684672508         3.6082065334        44.3609645421         5.6390354579         1.3968249959
