% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.338516V  K_gimbal=26.049690  samples=2001

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[deg/s]         omega_LPF[deg/s]       Error[deg/s]           disturbance[V]      
        0.4254376000       491.5268219317         3.2896876191         1.6747464736         4.2181052461       501.8369827352        -1.0095024134        -1.8369827352         1.3917226017
        0.4304487000       508.0568596657         3.3108615129         1.6645371662         4.2436240207       486.5992104579        -1.0095024134        13.4007895421         1.4044785871
        0.4354315000       510.0348363033         3.3134167899         1.6645371662         4.2819021826       486.5992104579        -1.0095024134        13.4007895421         1.4044785871
        0.4404447000       491.0113390144         3.2890324139         1.6772988005         4.3227322219       505.6464258045        -1.0095024134        -5.6464258045         1.3993761929
        0.4454212000       481.7773285254         3.2773463615         1.6824034542         4.3584585064       513.2653119431        -1.0095024134       -13.2653119431         1.4019273900
        0.4504622000       517.6220016523         3.3232622914         1.6594325125         4.3763216486       478.9803243193        -1.0095024134        21.0196756807         1.3993761929
        0.4554419000       529.1251268829         3.3383247775         1.6543278587         4.4120479330       471.3614381807        -1.0095024134        28.6385618193         1.4095809812
        0.4604524000       478.7483893564         3.2735338096         1.6875081079         4.4579817273       520.8841980817        -1.0095024134       -20.8841980817         1.4019273900
        0.4654292000       505.0679138903         3.3070090810         1.6696418199         4.4911561342       494.2180965966        -1.0095024134         5.7819034034         1.3917226017
        0.4704536000       510.1216262908         3.3135290185         1.6670894930         4.5166749088       490.4086535272        -1.0095024134         9.5913464728         1.3866202076
        0.4754365000       511.5373234172         3.3153609458         1.6670894930         4.5524011933       490.4086535272        -1.0095024134         9.5913464728         1.3917226017
        0.4804656000       496.1518414024         3.2955798804         1.6772988005         4.5855756002       505.6464258045        -1.0095024134        -5.6464258045         1.3993761929
        0.4854265000       512.1195996253         3.3161151203         1.6670894930         4.6136462523       490.4086535272        -1.0095024134         9.5913464728         1.3993761929
        0.4904390000       526.1361811076         3.3343950569         1.6594325125         4.6519244142       478.9803243193        -1.0095024134        21.0196756807         1.4019273900
        0.4954232000       516.6378324116         3.3219812189         1.6670894930         4.6902025760       490.4086535272        -1.0095024134         9.5913464728         1.3942737988
        0.5004671000       501.2523503968         3.3021066292         1.6772988005         4.7233769830       505.6464258045        -1.0095024134        -5.6464258045         1.3942737988
        0.5054443000       513.0198138343         3.3172819019         1.6696418199         4.7667588998       494.2180965966        -1.0095024134         5.7819034034         1.4019273900
        0.5104524000       513.8732314495         3.3183889381         1.6696418199         4.7999333068       494.2180965966        -1.0095024134         5.7819034034         1.4044785871
        0.5154330000       502.1257647088         3.3032273254         1.6772988005         4.8331077137       505.6464258045        -1.0095024134        -5.6464258045         1.3917226017
