% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.339600V  K_gimbal=26.049690  samples=2001

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[deg/s]         Error[deg/s]           disturbance[V]      
        0.5004292000       106.5307912761         2.8475300516         1.3965428462         4.5983349875        84.9886748762        15.0113251238         1.3993761929
        0.5054595000       100.3458958108         2.8405020262         1.4016475000         4.6034387424        92.6075610149         7.3924389851         1.4044785871
        0.5104280000       101.4370308936         2.8417435093         1.4016475000         4.6059906199        92.6075610149         7.3924389851         1.3840690105
        0.5154417000       110.9287555471         2.8525145187         1.3965428462         4.6136462523        84.9886748762        15.0113251238         1.3840690105
        0.5204182000       121.5450392230         2.8645049653         1.3914381925         4.6289575170        77.3697887376        22.6302112624         1.3968249959
        0.5254303000        95.4832288535         2.8349606877         1.4093044805         4.6340612719       104.0358902228        -4.0358902228         1.3968249959
        0.5304392000        99.0878201881         2.8390697271         1.4067521537         4.6315093945       100.2264471535        -0.2264471535         1.3942737988
        0.5354248000       107.4549858192         2.8485783731         1.4016475000         4.6468206592        92.6075610149         7.3924389851         1.3993761929
        0.5404291000        95.9452365461         2.8354877937         1.4093044805         4.6493725367       104.0358902228        -4.0358902228         1.4019273900
        0.5454493000       116.3510070219         2.8586457255         1.3965428462         4.6595800465        84.9886748762        15.0113251238         1.3993761929
        0.5504249000       105.9658167713         2.8468889625         1.4041998268         4.6621319240        96.4170040842         3.5829959158         1.4044785871
        0.5554406000       114.8952619135         2.8570011334         1.3990951731         4.6672356789        88.7981179455        11.2018820545         1.4044785871
        0.5604411000       120.7489712929         2.8636077962         1.3965428462         4.6723394338        84.9886748762        15.0113251238         1.4044785871
        0.5654364000       127.1649601834         2.8708301854         1.3939905194         4.6697875564        81.1792318069        18.8207681931         1.3866202076
        0.5704374000       134.1432285852         2.8786646999         1.3914381925         4.6799950662        77.3697887376        22.6302112624         1.3891714046
        0.5754591000       124.8825973569         2.8682631404         1.3990951731         4.6927544535        88.7981179455        11.2018820545         1.3942737988
        0.5804411000       155.9380754481         2.9030134003         1.3812288851         4.6953063310        62.1320164604        37.8679835396         1.4044785871
        0.5854520000       115.3242039822         2.8574858321         1.4093044805         4.7106175957       104.0358902228        -4.0358902228         1.3993761929
        0.5904296000       127.3293848874         2.8710150285         1.4016475000         4.7106175957        92.6075610149         7.3924389851         1.3993761929
        0.5954400000       111.6193408291         2.8532962506         1.4118568074         4.7157213506       107.8453332921        -7.8453332921         1.3942737988
        0.6004232000       114.6616526524         2.8567371186         1.4093044805         4.7259288605       104.0358902228        -4.0358902228         1.3917226017
        0.6054626000       122.4665387723         2.8655431191         1.4041998268         4.7310326154        96.4170040842         3.5829959158         1.3993761929
        0.6104455000       114.5948047734         2.8566615649         1.4093044805         4.7386882478       104.0358902228        -4.0358902228         1.4070297842
        0.6154567000       118.1993961080         2.8607323604         1.4067521537         4.7463438801       100.2264471535        -0.2264471535         1.4044785871
        0.6204740000       113.9656773832         2.8559503919         1.4093044805         4.7539995125       104.0358902228        -4.0358902228         1.3917226017
        0.6254864000       100.7690895765         2.8409836150         1.4169614611         4.7616551449       115.4642194307       -15.4642194307         1.3942737988
        0.6304329000       111.0874319481         2.8526941604         1.4093044805         4.7718626547       104.0358902228        -4.0358902228         1.3942737988
        0.6354449000       110.4917284974         2.8520196796         1.4093044805         4.7718626547       104.0358902228        -4.0358902228         1.3993761929
        0.6404468000       114.0963198320         2.8560980884         1.4067521537         4.7795182871       100.2264471535        -0.2264471535         1.3993761929
        0.6454420000       118.2631906778         2.8608043473         1.4041998268         4.7922776744        96.4170040842         3.5829959158         1.3942737988
        0.6504513000       106.1911618936         2.8471446880         1.4118568074         4.8024851842       107.8453332921        -7.8453332921         1.3942737988
        0.6554522000       109.2334737169         2.8505944041         1.4093044805         4.8075889392       104.0358902228        -4.0358902228         1.3917226017
        0.6604472000       100.2371806956         2.8403782928         1.4144091342         4.8229002039       111.6547763614       -11.6547763614         1.3815178134
        0.6654200000        98.5169182225         2.8384194532         1.4144091342         4.8280039588       111.6547763614       -11.6547763614         1.3993761929
        0.6705631000       100.9969505347         2.8412428741         1.4118568074         4.8305558363       107.8453332921        -7.8453332921         1.3942737988
        0.6754441000        95.6386727875         2.8351380488         1.4144091342         4.8458671010       111.6547763614       -11.6547763614         1.3968249959
        0.6804331000       106.5192946703         2.8475170080         1.4067521537         4.8407633461       100.2264471535        -0.2264471535         1.4044785871
        0.6854356000       119.0867550867         2.8617334925         1.3990951731         4.8484189785        88.7981179455        11.2018820545         1.3968249959
        0.6904533000       108.1392853248         2.8493542757         1.4067521537         4.8535227334       100.2264471535        -0.2264471535         1.3968249959
        0.6954331000        99.7052718147         2.8397728033         1.4118568074         4.8688339982       107.8453332921        -7.8453332921         1.3942737988
        0.7005006000       111.1481732087         2.8527629236         1.4041998268         4.8764896306        96.4170040842         3.5829959158         1.3942737988
        0.7054915000       107.4767339951         2.8486030365         1.4067521537         4.8841452629       100.2264471535        -0.2264471535         1.4019273900
        0.7104485000       103.2430152702         2.8437968160         1.4093044805         4.8969046502       104.0358902228        -4.0358902228         1.3917226017
        0.7154478000        90.0464274636         2.8287477904         1.4169614611         4.9045602826       115.4642194307       -15.4642194307         1.3840690105
        0.7204318000        91.9641802646         2.8309414354         1.4144091342         4.9096640375       111.6547763614       -11.6547763614         1.3968249959
        0.7254498000        90.2439177915         2.8289738012         1.4144091342         4.9173196699       111.6547763614       -11.6547763614         1.3993761929
        0.7304337000        96.9242448890         2.8366043151         1.4093044805         4.9198715474       104.0358902228        -4.0358902228         1.4044785871
        0.7354322000        87.9279518677         2.8263217813         1.4144091342         4.9249753023       111.6547763614       -11.6547763614         1.4044785871
        0.7404450000       103.0088685358         2.8435307102         1.4041998268         4.9300790572        96.4170040842         3.5829959158         1.4044785871
        0.7454266000        99.3374293222         2.8393539779         1.4067521537         4.9402865670       100.2264471535        -0.2264471535         1.3993761929
        0.7504454000       111.9048897385         2.8536194137         1.3990951731         4.9453903219        88.7981179455        11.2018820545         1.4019273900
        0.7554331000       100.9574199767         2.8411978986         1.4067521537         4.9555978318       100.2264471535        -0.2264471535         1.3840690105
        0.7604815000       109.3245856078         2.8506976388         1.4016475000         4.9581497092        92.6075610149         7.3924389851         1.4019273900
        0.7654543000        97.8148363347         2.8376194933         1.4093044805         4.9683572191       104.0358902228        -4.0358902228         1.3840690105
        0.7704729000       101.4194276693         2.8417234861         1.4067521537         4.9785647289       100.2264471535        -0.2264471535         1.3840690105
        0.7754570000        84.5848245886         2.8224873142         1.4169614611         4.9913241162       115.4642194307       -15.4642194307         1.3942737988
        0.7804933000        82.3022826043         2.8198649771         1.4169614611         4.9964278711       115.4642194307       -15.4642194307         1.3993761929
        0.7854603000        67.4188562641         2.8026749307         1.4246184417         4.9913241162       126.8925486386       -26.8925486386         1.4044785871
        0.7904881000        46.6482966050         2.7783955743         1.4348277491         5.0066353810       142.1303209159       -42.1303209159         1.4044785871
        0.7954698000        57.2309771835         2.7908107188         1.4246184417         5.0091872584       126.8925486386       -26.8925486386         1.4044785871
        0.8004698000        65.8624810216         2.8008677962         1.4169614611         5.0040835035       115.4642194307       -15.4642194307         1.4019273900
        0.8054714000        92.9820025344         2.8321047315         1.3990951731         5.0015316260        88.7981179455        11.2018820545         1.3993761929
        0.8104726000        90.4351223431         2.8291925946         1.4016475000         5.0091872584        92.6075610149         7.3924389851         1.4019273900
        0.8154710000        78.9253730701         2.8159787553         1.4093044805         5.0142910133       104.0358902228        -4.0358902228         1.3840690105
        0.8205372000        74.1293748341         2.8104454970         1.4118568074         5.0117391359       107.8453332921        -7.8453332921         1.3891714046
        0.8254941000        89.7725710134         2.8284343433         1.4016475000         5.0066353810        92.6075610149         7.3924389851         1.3942737988
        0.8304655000        90.8637060962         2.8296829329         1.4016475000         5.0015316260        92.6075610149         7.3924389851         1.3968249959
        0.8354641000        83.5542516085         2.8213037632         1.4067521537         5.0066353810       100.2264471535        -0.2264471535         1.3917226017
        0.8404610000        83.5208276690         2.8212653657         1.4067521537         5.0117391359       100.2264471535        -0.2264471535         1.3942737988
        0.8454453000        75.0868141588         2.8115514472         1.4118568074         5.0040835035       107.8453332921        -7.8453332921         1.3917226017
