% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.336563V  K_gimbal=26.049690  samples=2001

Time[s]              OmegaU[deg/s]        Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Error[rad/s]        
        8.3256250000        17.7370069260         2.7198260754         1.3403916554         4.8331077137         0.0997309863        -0.0997309863
        8.3305549000        12.6932928740         2.6599816937         1.3429439823         4.8356595912         0.1662183106        -0.1662183106
        8.3356312000        32.2890680225         2.7613894976         1.3301823480         4.8305558363        -0.1662183106         0.1662183106
        8.3408053000        46.2956511563         2.7779801896         1.3225253674         4.8305558363        -0.3656802832         0.3656802832
        8.3455867000        36.7873041120         2.7667376326         1.3301823480         4.8254520814        -0.1662183106         0.1662183106
        8.3505826000        38.1930028900         2.7684049781         1.3301823480         4.8254520814        -0.1662183106         0.1662183106
        8.3555951000        39.5987016680         2.7700704719         1.3301823480         4.8280039588        -0.1662183106         0.1662183106
        8.3606434000        24.2032213048         2.7517261495         1.3403916554         4.8331077137         0.0997309863        -0.0997309863
        8.3656493000        27.5600968233         2.7557458356         1.3378393285         4.8382114687         0.0332436621        -0.0332436621
        8.3706005000        31.4792518530         2.7604246024         1.3352870017         4.8356595912        -0.0332436621         0.0332436621
        8.3755698000        27.5600968233         2.7557458356         1.3378393285         4.8356595912         0.0332436621        -0.0332436621
        8.3806490000        31.4792518530         2.7604246024         1.3352870017         4.8305558363        -0.0332436621         0.0332436621
        8.3856384000        40.1609811792         2.7707361546         1.3301823480         4.8305558363        -0.1662183106         0.1662183106
        8.3904545000        41.5666799572         2.7723990827         1.3301823480         4.8331077137        -0.1662183106         0.1662183106
        8.3954612000        30.3714943793         2.7591036736         1.3378393285         4.8356595912         0.0332436621        -0.0332436621
        8.4004999000        38.4909441943         2.7687581377         1.3327346748         4.8331077137        -0.0997309863         0.0997309863
