% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.338197V  K_gimbal=26.049690  samples=12001

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[rad/s]         Error[rad/s]           disturbance[V]      
       11.7406107000         5.5304781729         2.5749938827         1.3378393285         3.4372307437        -0.0093082254         0.0093082254         1.4733609081
       11.7457602000         1.4089025191         2.5260908038         1.3403916554         3.4372307437         0.0571790988        -0.0571790988         1.4682585140
       11.7505054000        17.7265212807         2.7197016617         1.3301823480         3.4372307437        -0.2087701981         0.2087701981         1.4733609081
       11.7556324000        -1.5093949806         2.4914647906         1.3429439823         3.4423344986         0.1236664231        -0.1236664231         1.4682585140
       11.7604707000        14.2459442697         2.6784041225         1.3327346748         3.4295751113        -0.1422828738         0.1422828738         1.4657073169
       11.7655503000        15.4492224237         2.6926811882         1.3327346748         3.4321269888        -0.1422828738         0.1422828738         1.4657073169
       11.7706765000         8.2519110071         2.6072840688         1.3378393285         3.4372307437        -0.0093082254         0.0093082254         1.4631561198
       11.7754672000         4.1303353533         2.5583809898         1.3403916554         3.4346788662         0.0571790988        -0.0571790988         1.4708097111
       11.7805060000         7.8470697590         2.6024805700         1.3378393285         3.4372307437        -0.0093082254         0.0093082254         1.4631561198
       11.7857359000        20.5266732465         2.7473105030         1.3301823480         3.4372307437        -0.2087701981         0.2087701981         1.4733609081
       11.7913901000         9.6913465557         2.6243631755         1.3378393285         3.4372307437        -0.0093082254         0.0093082254         1.4606049228
       11.7955881000        -2.8308186686         2.4757859113         1.3454963091         3.4372307437         0.1901537473        -0.1901537473         1.4606049228
       11.8005152000         8.1619462853         2.6062166246         1.3378393285         3.4321269888        -0.0093082254         0.0093082254         1.4657073169
       11.8055114000         8.2406654168         2.6071506383         1.3378393285         3.4397826211        -0.0093082254         0.0093082254         1.4529513315
       11.8104826000         8.3193845484         2.6080846519         1.3378393285         3.4372307437        -0.0093082254         0.0093082254         1.4657073169
       11.8155192000         8.3981036800         2.6090186656         1.3378393285         3.4397826211        -0.0093082254         0.0093082254         1.4657073169
       11.8206823000        21.0777071674         2.7479731995         1.3301823480         3.4295751113        -0.2087701981         0.2087701981         1.4657073169
       11.8255511000        10.2423804767         2.6309012710         1.3378393285         3.4372307437        -0.0093082254         0.0093082254         1.4708097111
       11.8305348000         1.9205100376         2.5321610995         1.3429439823         3.4372307437         0.1236664231        -0.1236664231         1.4606049228
       11.8357931000        17.6758492880         2.7191004314         1.3327346748         3.4295751113        -0.1422828738         0.1422828738         1.4682585140
       11.8407876000        10.4785378714         2.6337033119         1.3378393285         3.4397826211        -0.0093082254         0.0093082254         1.4657073169
       11.8455275000        -2.0436273530         2.4851260478         1.3454963091         3.4448863760         0.1901537473        -0.1901537473         1.4580537257
       11.8509209000         8.9491376009         2.6155567611         1.3378393285         3.4423344986        -0.0093082254         0.0093082254         1.4657073169
       11.8555072000        -3.5730276234         2.4669794970         1.3454963091         3.4423344986         0.1901537473        -0.1901537473         1.4631561198
       11.8605027000        -0.9808522401         2.4977360251         1.3429439823         3.4448863760         0.1236664231        -0.1236664231         1.4682585140
       11.8654654000         6.3738974397         2.5850011718         1.3378393285         3.4346788662        -0.0093082254         0.0093082254         1.4606049228
       11.8705143000        19.0535009271         2.7354464632         1.3301823480         3.4346788662        -0.2087701981         0.2087701981         1.4682585140
       11.8757670000         4.0178794511         2.5570466846         1.3403916554         3.4448863760         0.0571790988        -0.0571790988         1.4657073169
       11.8806064000         3.5343190714         2.5513091722         1.3403916554         3.4397826211         0.0571790988        -0.0571790988         1.4657073169
       11.8857885000         7.2510534771         2.5954087524         1.3378393285         3.4448863760        -0.0093082254         0.0093082254         1.4708097111
       11.8906319000         7.3297726087         2.5963427661         1.3378393285         3.4448863760        -0.0093082254         0.0093082254         1.4682585140
       11.8959773000        20.0093760962         2.7466880926         1.3301823480         3.4321269888        -0.2087701981         0.2087701981         1.4708097111
