% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.339141V  K_gimbal=26.049690  samples=2001

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[deg/s]         omega_LPF[deg/s]       Error[deg/s]           disturbance[V]      
        0.1904440000       126.5533160516         2.8701424809         1.4144091342         4.7106175957       112.3404761139       108.3894218964        -8.3894218964         1.3968249959
        0.1954267000       122.0132432333         2.8650324904         1.4169614611         4.7259288605       116.1499191832       111.3839614542       -11.3839614542         1.3942737988
        0.2004605000       119.9259946720         2.8626799808         1.4144091342         4.7335844928       112.3404761139       111.7530513308       -11.7530513308         1.4070297842
        0.2055607000       122.8035984027         2.8659227474         1.4067521537         4.7335844928       100.9121469059       107.5698764720        -7.5698764720         1.3993761929
        0.2104292000       126.1396370716         2.8696772639         1.4041998268         4.7412401252        97.1027038366       103.5309133287        -3.5309133287         1.4044785871
        0.2154517000       125.1118836225         2.8685211328         1.4093044805         4.7591032674       104.7215899753       103.9903591847        -3.9903591847         1.3993761929
        0.2204653000       119.3494936185         2.8620298440         1.4169614611         4.7642070224       116.1499191832       108.6823630699        -8.6823630699         1.3942737988
        0.2254321000       116.5115828479         2.8588270664         1.4144091342         4.7718626547       112.3404761139       110.0939174861       -10.0939174861         1.3840690105
        0.2304454000       120.5489478927         2.8633823220         1.4041998268         4.7744145322        97.1027038366       105.0810037849        -5.0810037849         1.3942737988
        0.2354365000       115.0896028157         2.8572207476         1.4169614611         4.7897257969       116.1499191832       109.3521611343        -9.3521611343         1.4044785871
        0.2404393000       110.8170353258         2.8523880293         1.4169614611         4.7999333068       116.1499191832       111.9752089403       -11.9752089403         1.3968249959
        0.2454583000        97.5487090671         2.8373161873         1.4322754222         4.8075889392       139.0065775990       122.4057908679       -22.4057908679         1.3993761929
        0.2504522000       103.3862675573         2.8439596055         1.4067521537         4.8024851842       100.9121469059       114.1120482499       -14.1120482499         1.3968249959
        0.2554464000       103.6778070748         2.8442908698         1.4118568074         4.8126926941       108.5310330446       111.9585044514       -11.9585044514         1.3993761929
