% Designation Loop  psi_cmd=+20.000deg  (absolute, NEUTRAL ref)
% Kp=53.8007  Kd=1.7520  K_pot=68.073520deg/V
% Vg_offset=1.338707V  K_gimbal=26.049690  samples=1001

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[deg/s]         Psi[deg]            
        0.5704387000       -25.5068863893         2.2622889383         1.3454963091         2.8069170113        10.1331185644        20.1441125869
        0.5754555000        35.9024281794         2.7656870954         1.3327346748         2.7992613789        -8.9140967822        19.6229667432
        0.5804158000        -2.8123626287         2.4760048949         1.3403916554         2.8043651338         2.5142324257        19.9703973057
        0.5854494000         3.8618940847         2.5551958962         1.3378393285         2.8043651338        -1.2952106436        19.9703973057
        0.5904320000        -5.4841162494         2.4443041597         1.3378393285         2.8069170113        -1.2952106436        20.1441125869
        0.5954746000        13.2079044187         2.6660876326         1.3378393285         2.8018132564        -1.2952106436        19.7966820244
        0.6004468000        -2.8123626287         2.4760048949         1.3403916554         2.8043651338         2.5142324257        19.9703973057
        0.6054360000       -22.8351327686         2.2670174645         1.3480486360         2.8043651338        13.9425616337        19.9703973057
        0.6104481000        13.2079044187         2.6660876326         1.3378393285         2.8018132564        -1.2952106436        19.7966820244
        0.6154405000       -12.1583729627         2.3651131584         1.3403916554         2.8069170113         2.5142324257        20.1441125869
        0.6204417000        35.9024281794         2.7656870954         1.3327346748         2.7992613789        -8.9140967822        19.6229667432
        0.6254453000        10.5361507980         2.6343868975         1.3352870017         2.8043651338        -5.1046537129        19.9703973057
        0.6304309000        35.9024281794         2.7656870954         1.3327346748         2.7992613789        -8.9140967822        19.6229667432
        0.6354511000        45.2484385134         2.7767460131         1.3327346748         2.7967095015        -8.9140967822        19.4492514619
        0.6404321000         3.8618940847         2.5551958962         1.3378393285         2.8043651338        -1.2952106436        19.9703973057
        0.6454441000        10.5361507980         2.6343868975         1.3352870017         2.8043651338        -5.1046537129        19.9703973057
        0.6504460000        15.8796580394         2.6977883678         1.3403916554         2.7992613789         2.5142324257        19.6229667432
        0.6554565000        42.5766848927         2.7735927883         1.3301823480         2.7992613789       -12.7235398515        19.6229667432
        0.6604366000       -42.8579029085         2.2323560445         1.3557056165         2.8043651338        25.3708908416        19.9703973057
        0.6654490000       -44.1989070574         2.2300968429         1.3454963091         2.8120207662        10.1331185644        20.4915431494
        0.6704416000        13.2079044187         2.6660876326         1.3378393285         2.8018132564        -1.2952106436        19.7966820244
        0.6754506000       -34.8528967234         2.2460017266         1.3454963091         2.8094688888        10.1331185644        20.3178278682
