% Designation Loop (PD + Notch)  psi_cmd=+30.000deg
% Kp=72.9511  Kd=2.6949  K_pot=68.073520deg/V
% Notch f=8.44Hz  zeta=0.100
% Vg_offset=1.395445V  K_gimbal=26.049690  samples=1001

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Psi[deg]            
        0.9206199000       -15.6210850847         2.3250566256         1.4016475000         2.9498221490         0.1615641979        29.8721683365
        0.9256194000         4.9110511702         2.5515945400         1.3965428462         2.9498221490         0.0285895494        29.8721683365
        0.9306324000        83.9934862407         2.7957716266         1.3863335388         2.9421665166        -0.2373597475        29.3510224928
        0.9355952000        53.1952818582         2.7588380290         1.3939905194         2.9421665166        -0.0378977748        29.3510224928
        0.9406162000        35.7092555526         2.7374914537         1.3888858657         2.9498221490        -0.1708724233        29.8721683365
        0.9456262000       122.6511060245         2.8409759823         1.3735719045         2.9447183941        -0.5697963686        29.5247377740
        0.9505514000         7.3177038963         2.5781479430         1.3990951731         2.9472702715         0.0950768736        29.6984530553
        0.9555449000         2.5043984442         2.5250411370         1.3939905194         2.9523740265        -0.0378977748        30.0458836178
        0.9604772000        48.3819764061         2.7529896449         1.3888858657         2.9472702715        -0.1708724233        29.6984530553
        0.9654682000       -40.9665267917         2.2464858853         1.4016475000         2.9549259039         0.1615641979        30.2195988990
        0.9704712000        35.7092555526         2.7374914537         1.3888858657         2.9498221490        -0.1708724233        29.8721683365
        0.9754698000       -20.4343905368         2.2761056636         1.3965428462         2.9549259039         0.0285895494        30.2195988990
        0.9805187000       -20.4343905368         2.2761056636         1.3965428462         2.9549259039         0.0285895494        30.2195988990
        0.9855028000        97.3056643175         2.8114800748         1.3735719045         2.9498221490        -0.5697963686        29.8721683365
        0.9905208000       -76.5780366262         2.1972414907         1.4041998268         2.9600296588         0.2280515221        30.5670294615
        0.9955083000         2.5043984442         2.5250411370         1.3939905194         2.9523740265        -0.0378977748        30.0458836178
        1.0004682000       -66.3119684987         2.2111739538         1.4016475000         2.9600296588         0.1615641979        30.5670294615
        1.0055169000      -109.7828937347         2.1535300637         1.4093044805         2.9625815363         0.3610261706        30.7407447427
        1.0104832000       -43.3731795177         2.2430748766         1.3990951731         2.9574777814         0.0950768736        30.3933141803
        1.0154728000       -45.7798322438         2.2396763043         1.3965428462         2.9600296588         0.0285895494        30.5670294615
        1.0204786000         0.0977457182         2.4984877339         1.3914381925         2.9549259039        -0.1043850990        30.2195988990
        1.0255174000        -7.7616696833         2.4117721798         1.3965428462         2.9523740265         0.0285895494        30.0458836178
        1.0304712000       -20.4343905368         2.2761056636         1.3965428462         2.9549259039         0.0285895494        30.2195988990
        1.0355132000       -20.4343905368         2.2761056636         1.3965428462         2.9549259039         0.0285895494        30.2195988990
        1.0404763000        -4.7155597339         2.4453809279         1.3863335388         2.9600296588        -0.2373597475        30.5670294615
        1.0454675000        71.3207653872         2.7806755289         1.3863335388         2.9447183941        -0.2373597475        29.5247377740
        1.0504694000        30.2564928772         2.7307779220         1.3965428462         2.9447183941         0.0285895494        29.5247377740
        1.0555131000        76.7735280626         2.7871881799         1.3786765582         2.9498221490        -0.4368217202        29.8721683365
        1.0605168000       -61.4986630467         2.2177781586         1.4067521537         2.9549259039         0.2945388463        30.2195988990
        1.0655125000       -61.4986630467         2.2177781586         1.4067521537         2.9549259039         0.2945388463        30.2195988990
        1.0705142000       -15.6210850847         2.3250566256         1.4016475000         2.9498221490         0.1615641979        29.8721683365
        1.0754636000       -18.0277378107         2.2985032226         1.3990951731         2.9523740265         0.0950768736        30.0458836178
        1.0805229000        17.5837720237         2.6914169002         1.3965428462         2.9472702715         0.0285895494        29.6984530553
        1.0855084000         4.9110511702         2.5515945400         1.3965428462         2.9498221490         0.0285895494        29.8721683365
        1.0905109000        15.1771192977         2.6648634972         1.3939905194         2.9498221490        -0.0378977748        29.8721683365
        1.0955154000        15.1771192977         2.6648634972         1.3939905194         2.9498221490        -0.0378977748        29.8721683365
        1.1005252000        50.7886291322         2.7559164445         1.3914381925         2.9447183941        -0.1043850990        29.5247377740
        1.1055020000        53.8347390816         2.7596134304         1.3812288851         2.9523740265        -0.3703343959        30.0458836178
        1.1105178000       -18.0277378107         2.2985032226         1.3990951731         2.9523740265         0.0950768736        30.0458836178
        1.1155117000        -5.3550169572         2.4383255828         1.3990951731         2.9498221490         0.0950768736        29.8721683365
        1.1204677000         4.9110511702         2.5515945400         1.3965428462         2.9498221490         0.0285895494        29.8721683365
        1.1254668000        73.7274181132         2.7835531898         1.3888858657         2.9421665166        -0.1708724233        29.3510224928
        1.1305155000        55.6019345842         2.7617544117         1.3965428462         2.9396146392         0.0285895494        29.1773072116
        1.1355055000        63.4613499857         2.7712423887         1.3914381925         2.9421665166        -0.1043850990        29.3510224928
        1.1404751000        66.5074599351         2.7749049142         1.3812288851         2.9498221490        -0.3703343959        29.8721683365
        1.1455050000        -7.7616696833         2.4117721798         1.3965428462         2.9523740265         0.0285895494        30.0458836178
        1.1505097000        -7.7616696833         2.4117721798         1.3965428462         2.9523740265         0.0285895494        30.0458836178
        1.1555048000        17.5837720237         2.6914169002         1.3965428462         2.9472702715         0.0285895494        29.6984530553
        1.1604896000        97.3056643175         2.8114800748         1.3735719045         2.9498221490        -0.5697963686        29.8721683365
        1.1654584000        40.5225610047         2.7433951046         1.3939905194         2.9447183941        -0.0378977748        29.5247377740
        1.1704771000        -5.3550169572         2.4383255828         1.3990951731         2.9498221490         0.0950768736        29.8721683365
        1.1755138000        81.5868335146         2.7929155056         1.3837812120         2.9447183941        -0.3038470717        29.5247377740
        1.1804816000        27.8498401512         2.7278061410         1.3939905194         2.9472702715        -0.0378977748        29.6984530553
        1.1854708000        15.1771192977         2.6648634972         1.3939905194         2.9498221490        -0.0378977748        29.8721683365
        1.1904738000       -27.6543487148         2.2655824819         1.3888858657         2.9625815363        -0.1708724233        30.7407447427
        1.1955004000        15.1771192977         2.6648634972         1.3939905194         2.9498221490        -0.0378977748        29.8721683365
        1.2005118000       -43.3731795177         2.2430748766         1.3990951731         2.9574777814         0.0950768736        30.3933141803
        1.2054678000       -53.6392476452         2.2286630487         1.4016475000         2.9574777814         0.1615641979        30.3933141803
        1.2110305000       -60.8592058233         2.2186590551         1.3939905194         2.9651334138        -0.0378977748        30.9144600240
        1.2155118000        12.7704665717         2.6383100942         1.3914381925         2.9523740265        -0.1043850990        30.0458836178
        1.2205114000       -20.4343905368         2.2761056636         1.3965428462         2.9549259039         0.0285895494        30.2195988990
        1.2254644000       105.1650797190         2.8206835937         1.3684672508         2.9523740265        -0.7027710171        30.0458836178
        1.2304657000       -20.4343905368         2.2761056636         1.3965428462         2.9549259039         0.0285895494        30.2195988990
        1.2355084000       -33.1071113903         2.2577130025         1.3965428462         2.9574777814         0.0285895494        30.3933141803
        1.2404677000        12.7704665717         2.6383100942         1.3914381925         2.9523740265        -0.1043850990        30.0458836178
        1.2454935000       -20.4343905368         2.2761056636         1.3965428462         2.9549259039         0.0285895494        30.2195988990
        1.2504804000        69.5535698845         2.7785592323         1.3710195777         2.9574777814        -0.6362836928        30.3933141803
        1.2554632000       -43.3731795177         2.2430748766         1.3990951731         2.9574777814         0.0950768736        30.3933141803
        1.2605114000       -20.4343905368         2.2761056636         1.3965428462         2.9549259039         0.0285895494        30.2195988990
        1.2655093000        -9.5288651859         2.3922741218         1.3812288851         2.9651334138        -0.3703343959        30.9144600240
        1.2705100000       -20.4343905368         2.2761056636         1.3965428462         2.9549259039         0.0285895494        30.2195988990
        1.2755166000       -56.0459003712         2.2253164727         1.3990951731         2.9600296588         0.0950768736        30.5670294615
        1.2805108000        15.1771192977         2.6648634972         1.3939905194         2.9498221490        -0.0378977748        29.8721683365
        1.2854656000       -30.7004586642         2.2611781175         1.3990951731         2.9549259039         0.0950768736        30.2195988990
        1.2904785000        15.1771192977         2.6648634972         1.3939905194         2.9498221490        -0.0378977748        29.8721683365
        1.2955176000        20.6298819731         2.7188588123         1.3863335388         2.9549259039        -0.2373597475        30.2195988990
        1.3004650000        25.4431874252         2.7248290355         1.3914381925         2.9498221490        -0.1043850990        29.8721683365
        1.3055157000       -20.4343905368         2.2761056636         1.3965428462         2.9549259039         0.0285895494        30.2195988990
        1.3105124000       -18.0277378107         2.2985032226         1.3990951731         2.9523740265         0.0950768736        30.0458836178
        1.3162902000        15.1771192977         2.6648634972         1.3939905194         2.9498221490        -0.0378977748        29.8721683365
