% Designation Loop (PD + Notch)  psi_cmd=+20.000deg
% Kp=56.9305  Kd=1.8754  K_pot=68.073520deg/V
% Notch f=8.44Hz  zeta=0.100
% Vg_offset=1.338835V  K_gimbal=26.049690  samples=1001

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Psi[deg]            
        1.0104687000       247.3569694288         2.9791374540         1.1030252578         2.7890538691        -6.1427638853        18.9281056182
        1.0154169000       349.6214341243         3.0861408585         1.1208915457         2.7660869720        -5.6773526157        17.3646680870
        1.0207246000       582.7852107871         3.3302782022         1.1132345652         2.7329125650        -5.8768145884        15.1063694309
        1.0257167000       629.8201470847         3.3835698669         1.1387578337         2.7278088101        -5.2119413461        14.7589388684
        1.0305374000       844.7632971975         3.6732329170         1.1464148143         2.6946344031        -5.0124793734        12.5006402122
        1.0356559000       980.9222023641         3.9203750396         1.1642811023         2.6742193834        -4.5470681039        11.1109179623
        1.0406514000       976.6597406817         3.9116081548         1.2102229857         2.6691156285        -3.3502962678        10.7634873998
        1.0456832000       686.8931372496         3.4520052357         1.3480486360         2.6716675060         0.2400192405        10.9372026810
        1.0506645000      -155.1949926151         2.0967422423         1.6747464736         2.6844268933         8.7503967415        11.8057790872
        1.0555488000      -235.3174181198         2.0032372758         1.6875081079         2.7278088101         9.0828333626        14.7589388684
        1.0607180000      -126.7490069733         2.1319359512         1.6568801856         2.7456719523         8.2849854719        15.9749458371
        1.0656531000      -166.6746200688         2.0828699438         1.6441185513         2.7788463592         7.9525488508        18.2332444932
        1.0705438000      -214.0365851104         2.0273812744         1.6236999365         2.8094688888         7.4206502569        20.3178278682
        1.0756936000      -370.6243131153         1.8565693014         1.6185952828         2.8477470506         7.2876756085        22.9235570868
        1.0806202000      -525.4447245806         1.6887707931         1.6083859753         2.8809214576         7.0217263116        25.1818557430
        1.0855733000      -611.1331601069         1.5881174560         1.5803103799         2.9013364773         6.2903657451        26.5715779929
        1.0906658000      -750.1858596961         1.4015027164         1.5624440919         2.9217514970         5.8249544755        27.9613002429
        1.0956575000      -876.6948114173         1.1957259279         1.5343684965         2.9421665166         5.0935939090        29.3510224928
        1.1006361000      -209.9907353934         2.0320219918         1.2587171960         2.9294071293        -2.0870371075        28.4824460866
        1.1056009000       299.3872355671         3.0340654744         1.0341124326         2.9115439871        -7.9379216394        27.2664391179
        1.1104902000        63.9642311864         2.7718476007         1.0800543160         2.8911289674        -6.7411498033        25.8767168679
        1.1155850000        36.2544932661         2.7381612638         1.0800543160         2.8579545605        -6.7411498033        23.6184182118
        1.1205858000       -37.5240207008         2.2513868392         1.0953682772         2.8349876633        -6.3422258580        22.0549806806
        1.1255153000       -90.0921780342         2.1792090103         1.1157868920         2.8145726437        -5.8103272642        20.6652584306
        1.1305366000       -77.2972704781         2.1962730781         1.1336531800         2.7916057465        -5.3449159946        19.1018208995
        1.1355475000       -48.8786698038         2.2353184227         1.1489671412         2.7788463592        -4.9459920492        18.2332444932
        1.1407687000        69.9757055883         2.7790650088         1.1617287755         2.7558794621        -4.6135554281        16.6698069620
        1.1456497000       215.0337346467         2.9443162781         1.1744904097         2.7354644424        -4.2811188070        15.2800847121
        1.1505565000       311.6372842875         3.0468345087         1.1974613514         2.7278088101        -3.6827328889        14.7589388684
        1.1556141000       566.4338533547         3.3122772879         1.1949090246         2.7022900355        -3.7492202131        13.0217860559
        1.1606208000       579.9543201164         3.3271442564         1.2536125423         2.6971862806        -2.2200117559        12.6743554935
        1.1655901000       854.9758462291         3.6896530855         1.2357462543         2.6793231383        -2.6854230255        11.4583485248
        1.1704720000       910.7589592429         3.7850123880         1.2663741766         2.6793231383        -1.8875751348        11.4583485248
        1.1755922000       926.1000213934         3.8130493962         1.3123160600         2.6742193834        -0.6908032987        11.1109179623
        1.1806040000       462.4596059804         3.2021292224         1.5037405742         2.6844268933         4.2957460183        11.8057790872
