% Designation Loop (PD + Notch)  psi_cmd=-10.000deg
% Kp=72.9511  Kd=2.6949  K_pot=68.073520deg/V
% Notch f=8.44Hz  zeta=0.100
% Vg_offset=1.395445V  K_gimbal=26.049690  samples=1001

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Psi[deg]            
        0.4955847000       -59.3641040662         2.2207219027         1.3990951731         2.3730978433         0.0950768736        -9.3874852244
        0.5006986000        91.5808078966         2.8047432828         1.3710195777         2.3654422109        -0.6362836928        -9.9086310682
        0.5055275000       106.6601814761         2.8224285213         1.3735719045         2.3603384560        -0.5697963686       -10.2560616306
        0.5105234000       -11.0798733782         2.3751613306         1.3965428462         2.3654422109         0.0285895494        -9.9086310682
        0.5154606000       -11.0798733782         2.3751613306         1.3965428462         2.3654422109         0.0285895494        -9.9086310682
        0.5204974000       -51.5046886648         2.2316413332         1.3939905194         2.3756497207        -0.0378977748        -9.2137699432
        0.5254886000        45.0637727112         2.7489457062         1.3888858657         2.3603384560        -0.1708724233       -10.2560616306
        0.5304690000       -79.8962403212         2.1927819536         1.4041998268         2.3730978433         0.2280515221        -9.3874852244
        0.5355214000        14.2655683288         2.6548060510         1.3965428462         2.3603384560         0.0285895494       -10.2560616306
        0.5405218000        57.7364935647         2.7643367289         1.3888858657         2.3577865785        -0.1708724233       -10.4297769119
        0.5455419000        -0.8138052507         2.4884302878         1.3939905194         2.3654422109        -0.0378977748        -9.9086310682
        0.5505888000        11.8589156028         2.6282526480         1.3939905194         2.3628903334        -0.0378977748       -10.0823463494
        0.5555682000       -56.9574513402         2.2240520371         1.4016475000         2.3705459658         0.1615641979        -9.5612005057
        0.5606018000       116.9262496036         2.8343599666         1.3710195777         2.3603384560        -0.6362836928       -10.2560616306
        0.5655992000       -31.6120096332         2.2598641439         1.4016475000         2.3654422109         0.1615641979        -9.9086310682
        0.5705531000         1.5928474753         2.5149836908         1.3965428462         2.3628903334         0.0285895494       -10.0823463494
        0.5754906000        11.8589156028         2.6282526480         1.3939905194         2.3628903334        -0.0378977748       -10.0823463494
