% Designation Loop  psi_cmd=+0.000deg  (absolute, NEUTRAL ref)
% Kp=16.6052  Kd=0.5122  K_pot=68.073520deg/V
% Vg_offset=1.338784V  K_gimbal=26.049690  samples=1001

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[deg/s]         Psi[deg]            
        0.5454349000       -22.3249326993         2.2679241584         1.3454963091         2.5262104908        10.0188352723         1.0354316502
        0.5504739000        -1.0311004023         2.4971398235         1.3327346748         2.5160029810        -9.0283800743         0.3405705252
        0.5554348000       -20.3738231125         2.2714026590         1.3429439823         2.5262104908         6.2093922030         1.0354316502
        0.5604360000        -3.9998580719         2.4619150932         1.3403916554         2.5134511035         2.3999491337         0.1668552439
        0.5654457000         2.8711187712         2.5434402067         1.3276300211         2.5160029810       -16.6472662129         0.3405705252
        0.5705038000       -13.6712194270         2.3471630208         1.3454963091         2.5185548584        10.0188352723         0.5142858064
        0.5754669000       -16.5557905178         2.3129371762         1.3454963091         2.5211067359        10.0188352723         0.6880010877
        0.5804803000        -2.9822099891         2.4739896319         1.3352870017         2.5160029810        -5.2189370049         0.3405705252
        0.5854462000        -8.7513521706         2.4055379427         1.3352870017         2.5211067359        -5.2189370049         0.6880010877
        0.5904713000       -14.5204943521         2.3370862535         1.3352870017         2.5262104908        -5.2189370049         1.0354316502
        0.5954552000       -10.7024617574         2.3823877511         1.3378393285         2.5211067359        -1.4094939356         0.6880010877
        0.6005004000       -13.5870328482         2.3481619065         1.3378393285         2.5236586133        -1.4094939356         0.8617163689
        0.6054456000       -10.7024617574         2.3823877511         1.3378393285         2.5211067359        -1.4094939356         0.6880010877
        0.6104536000       -22.3249326993         2.2679241584         1.3454963091         2.5262104908        10.0188352723         1.0354316502
        0.6154655000       -22.3249326993         2.2679241584         1.3454963091         2.5262104908        10.0188352723         1.0354316502
        0.6204844000         2.8711187712         2.5434402067         1.3276300211         2.5160029810       -16.6472662129         0.3405705252
        0.6254466000        -8.7513521706         2.4055379427         1.3352870017         2.5211067359        -5.2189370049         0.6880010877
        0.6304498000         1.8534706884         2.5313656681         1.3327346748         2.5134511035        -9.0283800743         0.1668552439
        0.6354336000        -5.9509676587         2.4387649016         1.3429439823         2.5134511035         6.2093922030         0.1668552439
        0.6404616000       -32.0804806332         2.2507925964         1.3582579434         2.5262104908        29.0660506188         1.0354316502
        0.6454554000       -12.6535713442         2.3592375595         1.3403916554         2.5211067359         2.3999491337         0.6880010877
        0.6504440000         0.9200091845         2.5202900151         1.3301823480         2.5160029810       -12.8378231436         0.3405705252
        0.6554443000         0.8358226056         2.5192911294         1.3378393285         2.5108992261        -1.4094939356        -0.0068600373
        0.6604592000       -11.7201098402         2.3703132124         1.3429439823         2.5185548584         6.2093922030         0.5142858064
        0.6654442000        -0.0976388984         2.5082154765         1.3352870017         2.5134511035        -5.2189370049         0.1668552439
        0.6704809000       -22.3249326993         2.2679241584         1.3454963091         2.5262104908        10.0188352723         1.0354316502
        0.6754352000       -20.3738231125         2.2714026590         1.3429439823         2.5262104908         6.2093922030         1.0354316502
        0.6804466000        -3.9156714931         2.4629139789         1.3327346748         2.5185548584        -9.0283800743         0.5142858064
        0.6854450000         8.6402609528         2.6118918959         1.3276300211         2.5108992261       -16.6472662129        -0.0068600373
        0.6904478000         2.7869321924         2.5424413211         1.3352870017         2.5108992261        -5.2189370049        -0.0068600373
        0.6954728000        -9.7690002535         2.3934634041         1.3403916554         2.5185548584         2.3999491337         0.5142858064
        0.7004565000       -22.3249326993         2.2679241584         1.3454963091         2.5262104908        10.0188352723         1.0354316502
        0.7054444000       -19.4403616085         2.2787113317         1.3454963091         2.5236586133        10.0188352723         0.8617163689
        0.7104584000         6.6891513660         2.5887417043         1.3301823480         2.5108992261       -12.8378231436        -0.0068600373
        0.7154598000       -15.5381424350         2.3250117149         1.3403916554         2.5236586133         2.3999491337         0.8617163689
        0.7204652000        -6.8844291627         2.4276892487         1.3403916554         2.5160029810         2.3999491337         0.3405705252
        0.7254615000        -2.9822099891         2.4739896319         1.3352870017         2.5160029810        -5.2189370049         0.3405705252
        0.7304640000       -17.4892520217         2.3018615233         1.3429439823         2.5236586133         6.2093922030         0.8617163689
        0.7354298000       -17.4892520217         2.3018615233         1.3429439823         2.5236586133         6.2093922030         0.8617163689
        0.7404432000        -3.9156714931         2.4629139789         1.3327346748         2.5185548584        -9.0283800743         0.5142858064
        0.7455132000       -16.5557905178         2.3129371762         1.3454963091         2.5211067359        10.0188352723         0.6880010877
        0.7504550000        -9.7690002535         2.3934634041         1.3403916554         2.5185548584         2.3999491337         0.5142858064
        0.7554840000       -37.9338093936         2.2407172072         1.3659149240         2.5262104908        40.4943798267         1.0354316502
        0.7604686000       -14.6046809310         2.3360873679         1.3429439823         2.5211067359         6.2093922030         0.6880010877
        0.7655461000         0.9200091845         2.5202900151         1.3301823480         2.5160029810       -12.8378231436         0.3405705252
        0.7705482000       -13.5870328482         2.3481619065         1.3378393285         2.5236586133        -1.4094939356         0.8617163689
        0.7754731000         0.8358226056         2.5192911294         1.3378393285         2.5108992261        -1.4094939356        -0.0068600373
        0.7804666000        -1.0311004023         2.4971398235         1.3327346748         2.5160029810        -9.0283800743         0.3405705252
        0.7854679000       -10.7866483363         2.3813888654         1.3454963091         2.5160029810        10.0188352723         0.3405705252
        0.7904632000         3.7203936964         2.5535169740         1.3378393285         2.5083473486        -1.4094939356        -0.1805753185
        0.7954699000        -5.8667810799         2.4397637873         1.3352870017         2.5185548584        -5.2189370049         0.5142858064
        0.8004220000       -16.5557905178         2.3129371762         1.3454963091         2.5211067359        10.0188352723         0.6880010877
        0.8054463000        -2.9822099891         2.4739896319         1.3352870017         2.5160029810        -5.2189370049         0.3405705252
        0.8104229000        -8.7513521706         2.4055379427         1.3352870017         2.5211067359        -5.2189370049         0.6880010877
        0.8154359000         1.8534706884         2.5313656681         1.3327346748         2.5134511035        -9.0283800743         0.1668552439
        0.8204162000        -1.0311004023         2.4971398235         1.3327346748         2.5160029810        -9.0283800743         0.3405705252
        0.8254296000        -8.8355387495         2.4045390570         1.3429439823         2.5160029810         6.2093922030         0.3405705252
        0.8304318000        -4.9333195759         2.4508394403         1.3378393285         2.5160029810        -1.4094939356         0.3405705252
        0.8357375000        -3.9156714931         2.4629139789         1.3327346748         2.5185548584        -9.0283800743         0.5142858064
        0.8404609000        -8.8355387495         2.4045390570         1.3429439823         2.5160029810         6.2093922030         0.3405705252
        0.8454733000        -1.0311004023         2.4971398235         1.3327346748         2.5160029810        -9.0283800743         0.3405705252
        0.8504496000        -7.8178906667         2.4166135957         1.3378393285         2.5185548584        -1.4094939356         0.5142858064
        0.8554617000       -13.5870328482         2.3481619065         1.3378393285         2.5236586133        -1.4094939356         0.8617163689
        0.8604448000       -19.4403616085         2.2787113317         1.3454963091         2.5236586133        10.0188352723         0.8617163689
        0.8654518000        -4.9333195759         2.4508394403         1.3378393285         2.5160029810        -1.4094939356         0.3405705252
        0.8704360000        -2.9822099891         2.4739896319         1.3352870017         2.5160029810        -5.2189370049         0.3405705252
        0.8754594000         7.6226128699         2.5998173573         1.3327346748         2.5083473486        -9.0283800743        -0.1805753185
        0.8804629000         2.7869321924         2.5424413211         1.3352870017         2.5108992261        -5.2189370049        -0.0068600373
        0.8854622000         4.7380417792         2.5655915127         1.3327346748         2.5108992261        -9.0283800743        -0.0068600373
        0.8904245000        -4.9333195759         2.4508394403         1.3378393285         2.5160029810        -1.4094939356         0.3405705252
        0.8954566000         0.8358226056         2.5192911294         1.3378393285         2.5108992261        -1.4094939356        -0.0068600373
        0.9004422000         4.7380417792         2.5655915127         1.3327346748         2.5108992261        -9.0283800743        -0.0068600373
        0.9054310000        -4.9333195759         2.4508394403         1.3378393285         2.5160029810        -1.4094939356         0.3405705252
        0.9104556000        -4.9333195759         2.4508394403         1.3378393285         2.5160029810        -1.4094939356         0.3405705252
        0.9154645000         6.6891513660         2.5887417043         1.3301823480         2.5108992261       -12.8378231436        -0.0068600373
        0.9204574000         7.6226128699         2.5998173573         1.3327346748         2.5083473486        -9.0283800743        -0.1805753185
        0.9254580000        -1.0311004023         2.4971398235         1.3327346748         2.5160029810        -9.0283800743         0.3405705252
        0.9304499000        -4.9333195759         2.4508394403         1.3378393285         2.5160029810        -1.4094939356         0.3405705252
        0.9354404000         7.6226128699         2.5998173573         1.3327346748         2.5083473486        -9.0283800743        -0.1805753185
        0.9406560000       -16.5557905178         2.3129371762         1.3454963091         2.5211067359        10.0188352723         0.6880010877
        0.9454286000         4.7380417792         2.5655915127         1.3327346748         2.5108992261        -9.0283800743        -0.0068600373
        0.9504497000         9.5737224567         2.6229675489         1.3301823480         2.5083473486       -12.8378231436        -0.1805753185
        0.9554233000        -4.9333195759         2.4508394403         1.3378393285         2.5160029810        -1.4094939356         0.3405705252
        0.9604627000        -2.9822099891         2.4739896319         1.3352870017         2.5160029810        -5.2189370049         0.3405705252
        0.9654432000        -4.9333195759         2.4508394403         1.3378393285         2.5160029810        -1.4094939356         0.3405705252
        0.9704662000        -4.9333195759         2.4508394403         1.3378393285         2.5160029810        -1.4094939356         0.3405705252
        0.9754351000        -4.9333195759         2.4508394403         1.3378393285         2.5160029810        -1.4094939356         0.3405705252
        0.9804468000        -4.9333195759         2.4508394403         1.3378393285         2.5160029810        -1.4094939356         0.3405705252
        0.9854680000        -4.9333195759         2.4508394403         1.3378393285         2.5160029810        -1.4094939356         0.3405705252
        0.9904714000        -7.8178906667         2.4166135957         1.3378393285         2.5185548584        -1.4094939356         0.5142858064
        0.9954354000         0.8358226056         2.5192911294         1.3378393285         2.5108992261        -1.4094939356        -0.0068600373
        1.0004394000        -4.9333195759         2.4508394403         1.3378393285         2.5160029810        -1.4094939356         0.3405705252
        1.0054295000        -2.9822099891         2.4739896319         1.3352870017         2.5160029810        -5.2189370049         0.3405705252
        1.0104927000       -11.7201098402         2.3703132124         1.3429439823         2.5185548584         6.2093922030         0.5142858064
        1.0154862000         7.6226128699         2.5998173573         1.3327346748         2.5083473486        -9.0283800743        -0.1805753185
        1.0204613000        -2.9822099891         2.4739896319         1.3352870017         2.5160029810        -5.2189370049         0.3405705252
        1.0254332000       -14.6046809310         2.3360873679         1.3429439823         2.5211067359         6.2093922030         0.6880010877
        1.0304592000       -16.5557905178         2.3129371762         1.3454963091         2.5211067359        10.0188352723         0.6880010877
        1.0354338000        -2.9822099891         2.4739896319         1.3352870017         2.5160029810        -5.2189370049         0.3405705252
        1.0404666000       -14.6046809310         2.3360873679         1.3429439823         2.5211067359         6.2093922030         0.6880010877
        1.0454273000         9.5737224567         2.6229675489         1.3301823480         2.5083473486       -12.8378231436        -0.1805753185
        1.0504517000         3.7203936964         2.5535169740         1.3378393285         2.5083473486        -1.4094939356        -0.1805753185
        1.0554398000         0.8358226056         2.5192911294         1.3378393285         2.5108992261        -1.4094939356        -0.0068600373
        1.0604463000        -8.8355387495         2.4045390570         1.3429439823         2.5160029810         6.2093922030         0.3405705252
        1.0654436000        -2.0487484852         2.4850652849         1.3378393285         2.5134511035        -1.4094939356         0.1668552439
        1.0704353000       -16.5557905178         2.3129371762         1.3454963091         2.5211067359        10.0188352723         0.6880010877
        1.0754337000       -19.4403616085         2.2787113317         1.3454963091         2.5236586133        10.0188352723         0.8617163689
        1.0804421000       -19.4403616085         2.2787113317         1.3454963091         2.5236586133        10.0188352723         0.8617163689
