% Designation Loop (PD + Notch)  psi_cmd=-20.000deg
% Kp=72.9511  Kd=2.1545  K_pot=68.073520deg/V
% Notch f=8.44Hz  zeta=0.100
% Vg_offset=1.395420V  K_gimbal=26.049690  samples=1001

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Psi[deg]            
        0.3254734000        41.4556772321         2.7445371560         1.3939905194         2.2097776859        -0.0372329016       -20.5052632240
        0.3304687000        -4.7699304213         2.4447810379         1.3965428462         2.2174333183         0.0292544227       -19.9841173803
        0.3354112000       -33.8575414604         2.2566351582         1.4016475000         2.2199851957         0.1622290711       -19.8104020990
        0.3404095000       -42.0649865532         2.2449274622         1.4041998268         2.2199851957         0.2287163953       -19.8104020990
        0.3454407000         7.9027904322         2.5846033981         1.3965428462         2.2148814408         0.0292544227       -20.1578326615
        0.3504748000       -21.1848206069         2.2750063573         1.4016475000         2.2174333183         0.1622290711       -19.9841173803
        0.3554408000        -8.5120997534         2.4034924343         1.4016475000         2.2148814408         0.1622290711       -20.1578326615
        0.3604359000        -4.7699304213         2.4447810379         1.3965428462         2.2174333183         0.0292544227       -19.9841173803
        0.3654236000       -46.5302623139         2.2386191077         1.4016475000         2.2225370732         0.1622290711       -19.6366868178
        0.3704303000       -54.7377074067         2.2271340957         1.4041998268         2.2225370732         0.2287163953       -19.6366868178
        0.3755021000         7.9027904322         2.5846033981         1.3965428462         2.2148814408         0.0292544227       -20.1578326615
        0.3804433000       -42.0649865532         2.2449274622         1.4041998268         2.2199851957         0.2287163953       -19.8104020990
        0.3854076000       -54.7377074067         2.2271340957         1.4041998268         2.2225370732         0.2287163953       -19.6366868178
        0.3904267000       -50.2724316460         2.2333649999         1.4067521537         2.2199851957         0.2952037196       -19.8104020990
        0.3954166000       -24.9269899390         2.2695436998         1.4067521537         2.2148814408         0.2952037196       -20.1578326615
        0.4003984000        12.3680661929         2.6338702764         1.3990951731         2.2123295633         0.0957417469       -20.3315479428
        0.4055883000        66.8011189391         2.7752575643         1.3939905194         2.2046739310        -0.0372329016       -20.8526937865
        0.4105023000       -29.3922656997         2.2630670819         1.4041998268         2.2174333183         0.2287163953       -19.9841173803
        0.4154951000        25.0407870464         2.7243307332         1.3990951731         2.2097776859         0.0957417469       -20.5052632240
        0.4204078000        16.8333419536         2.6831371547         1.4016475000         2.2097776859         0.1622290711       -20.5052632240
        0.4254952000        66.8011189391         2.7752575643         1.3939905194         2.2046739310        -0.0372329016       -20.8526937865
        0.4304572000        62.3358431784         2.7698870400         1.3914381925         2.2072258084        -0.1037202258       -20.6789785052
        0.4354344000       124.2532345888         2.8428227471         1.3761242314         2.2046739310        -0.5026441712       -20.8526937865
        0.4404302000        12.3680661929         2.6338702764         1.3990951731         2.2123295633         0.0957417469       -20.3315479428
        0.4454043000        33.2482321392         2.7344647709         1.3965428462         2.2097776859         0.0292544227       -20.5052632240
        0.4504551000       107.1152379746         2.8229592460         1.3735719045         2.2097776859        -0.5691314954       -20.5052632240
        0.4556731000        62.3358431784         2.7698870400         1.3914381925         2.2072258084        -0.1037202258       -20.6789785052
        0.4604597000        66.8011189391         2.7752575643         1.3939905194         2.2046739310        -0.0372329016       -20.8526937865
        0.4654711000        44.4747401357         2.7482268032         1.3812288851         2.2174333183        -0.3696695227       -19.9841173803
        0.4704043000       -54.7377074067         2.2271340957         1.4041998268         2.2225370732         0.2287163953       -19.6366868178
        0.4754432000       -75.6178733530         2.1985358548         1.4067521537         2.2250889506         0.2952037196       -19.4629715365
        0.4804154000       -30.1153721283         2.2620224796         1.3965428462         2.2225370732         0.0292544227       -19.6366868178
        0.4854350000       -67.4104282602         2.2096732855         1.4041998268         2.2250889506         0.2287163953       -19.4629715365
        0.4904799000        49.6631223249         2.7545483332         1.3914381925         2.2097776859        -0.1037202258       -20.5052632240
        0.4954097000       -25.6500963676         2.2684918189         1.3990951731         2.2199851957         0.0957417469       -19.8104020990
        0.5004828000        -9.2352061819         2.3955141596         1.3939905194         2.2199851957        -0.0372329016       -19.8104020990
        0.5054473000       -17.4426512748         2.3049586777         1.3965428462         2.2199851957         0.0292544227       -19.8104020990
        0.5104522000        24.3176806179         2.7234349179         1.3914381925         2.2148814408        -0.1037202258       -20.1578326615
        0.5154372000       -68.1335346887         2.2086867171         1.3965428462         2.2301927056         0.0292544227       -19.1155409741
        0.5204735000        16.1102355251         2.6751588801         1.3939905194         2.2148814408        -0.0372329016       -20.1578326615
        0.5254242000        40.7325708035         2.7436522069         1.3863335388         2.2148814408        -0.2366948742       -20.1578326615
        0.5304760000         3.4375146716         2.5353365198         1.3939905194         2.2174333183        -0.0372329016       -19.9841173803
        0.5356253000       -17.4426512748         2.3049586777         1.3965428462         2.2199851957         0.0292544227       -19.8104020990
        0.5404424000       -17.4426512748         2.3049586777         1.3965428462         2.2199851957         0.0292544227       -19.8104020990
        0.5454390000       -80.0831491137         2.1925313808         1.4041998268         2.2276408281         0.2287163953       -19.2892562553
        0.5504522000       -50.9955380746         2.2323531412         1.3990951731         2.2250889506         0.0957417469       -19.4629715365
        0.5554357000        14.6640226680         2.6592023308         1.3786765582         2.2250889506        -0.4361568469       -19.4629715365
        0.5604460000       -17.4426512748         2.3049586777         1.3965428462         2.2199851957         0.0292544227       -19.8104020990
        0.5653986000        24.3176806179         2.7234349179         1.3914381925         2.2148814408        -0.1037202258       -20.1578326615
        0.5705159000        14.6640226680         2.6592023308         1.3786765582         2.2250889506        -0.4361568469       -19.4629715365
        0.5755886000       -17.4426512748         2.3049586777         1.3965428462         2.2199851957         0.0292544227       -19.8104020990
        0.5804800000       -17.4426512748         2.3049586777         1.3965428462         2.2199851957         0.0292544227       -19.8104020990
        0.5855149000        11.6449597644         2.6258920018         1.3914381925         2.2174333183        -0.1037202258       -19.9841173803
        0.5905498000       -17.4426512748         2.3049586777         1.3965428462         2.2199851957         0.0292544227       -19.8104020990
        0.5955299000       -80.0831491137         2.1925313808         1.4041998268         2.2276408281         0.2287163953       -19.2892562553
        0.6005649000        24.3176806179         2.7234349179         1.3914381925         2.2148814408        -0.1037202258       -20.1578326615
        0.6055167000        -9.2352061819         2.3955141596         1.3939905194         2.2199851957        -0.0372329016       -19.8104020990
        0.6105362000       -59.2029831674         2.2209444790         1.4016475000         2.2250889506         0.1622290711       -19.4629715365
        0.6155664000       -21.9079270354         2.2739483012         1.3939905194         2.2225370732        -0.0372329016       -19.6366868178
        0.6205382000        85.5119655998         2.7975711220         1.3684672508         2.2174333183        -0.7021061438       -19.9841173803
        0.6255528000       -67.4104282602         2.2096732855         1.4041998268         2.2250889506         0.2287163953       -19.4629715365
        0.6305124000        -4.7699304213         2.4447810379         1.3965428462         2.2174333183         0.0292544227       -19.9841173803
        0.6355153000        45.1978465642         2.7491092968         1.3888858657         2.2123295633        -0.1702075500       -20.3315479428
        0.6405486000       -67.4104282602         2.2096732855         1.4041998268         2.2250889506         0.2287163953       -19.4629715365
        0.6455669000        -4.7699304213         2.4447810379         1.3965428462         2.2174333183         0.0292544227       -19.9841173803
        0.6505822000        45.1978465642         2.7491092968         1.3888858657         2.2123295633        -0.1702075500       -20.3315479428
        0.6555012000       -42.0649865532         2.2449274622         1.4041998268         2.2199851957         0.2287163953       -19.8104020990
        0.6605772000       -12.9773755141         2.3542255560         1.3990951731         2.2174333183         0.0957417469       -19.9841173803
        0.6655950000        28.7829563786         2.7289590023         1.3939905194         2.2123295633        -0.0372329016       -20.3315479428
        0.6705285000        -9.9583126104         2.3875358850         1.3863335388         2.2250889506        -0.2366948742       -19.4629715365
        0.6756095000       -12.9773755141         2.3542255560         1.3990951731         2.2174333183         0.0957417469       -19.9841173803
        0.6806126000        49.6631223249         2.7545483332         1.3914381925         2.2097776859        -0.1037202258       -20.5052632240
        0.6856489000         2.7144082430         2.5273582452         1.3863335388         2.2225370732        -0.2366948742       -19.6366868178
        0.6906096000        -9.2352061819         2.3955141596         1.3939905194         2.2199851957        -0.0372329016       -19.8104020990
        0.6956145000        16.1102355251         2.6751588801         1.3939905194         2.2148814408        -0.0372329016       -20.1578326615
        0.7005928000       -25.6500963676         2.2684918189         1.3990951731         2.2199851957         0.0957417469       -19.8104020990
        0.7055381000       -25.6500963676         2.2684918189         1.3990951731         2.2199851957         0.0957417469       -19.8104020990
        0.7106289000       -17.4426512748         2.3049586777         1.3965428462         2.2199851957         0.0292544227       -19.8104020990
        0.7155938000        49.6631223249         2.7545483332         1.3914381925         2.2097776859        -0.1037202258       -20.5052632240
        0.7206322000        49.6631223249         2.7545483332         1.3914381925         2.2097776859        -0.1037202258       -20.5052632240
        0.7256800000       -17.4426512748         2.3049586777         1.3965428462         2.2199851957         0.0292544227       -19.8104020990
        0.7305927000       -12.9773755141         2.3542255560         1.3990951731         2.2174333183         0.0957417469       -19.9841173803
        0.7356223000       -46.5302623139         2.2386191077         1.4016475000         2.2225370732         0.1622290711       -19.6366868178
        0.7405761000        49.6631223249         2.7545483332         1.3914381925         2.2097776859        -0.1037202258       -20.5052632240
        0.7455490000       -38.3228172211         2.2502473267         1.3990951731         2.2225370732         0.0957417469       -19.6366868178
        0.7505298000       -12.9773755141         2.3542255560         1.3990951731         2.2174333183         0.0957417469       -19.9841173803
        0.7554752000        57.8705674177         2.7644987909         1.3888858657         2.2097776859        -0.1702075500       -20.5052632240
        0.7606290000        57.8705674177         2.7644987909         1.3888858657         2.2097776859        -0.1702075500       -20.5052632240
        0.7656538000       -80.0831491137         2.1925313808         1.4041998268         2.2276408281         0.2287163953       -19.2892562553
        0.7707419000       -12.9773755141         2.3542255560         1.3990951731         2.2174333183         0.0957417469       -19.9841173803
        0.7756052000        36.9904014714         2.7390648772         1.3914381925         2.2123295633        -0.1037202258       -20.3315479428
        0.7806247000        24.3176806179         2.7234349179         1.3914381925         2.2148814408        -0.1037202258       -20.1578326615
        0.7855317000        20.5755112857         2.7187912510         1.3965428462         2.2123295633         0.0292544227       -20.3315479428
        0.7906818000        11.6449597644         2.6258920018         1.3914381925         2.2174333183        -0.1037202258       -19.9841173803
        0.7955499000       -67.4104282602         2.2096732855         1.4041998268         2.2250889506         0.2287163953       -19.4629715365
        0.8005460000       -21.1848206069         2.2750063573         1.4016475000         2.2174333183         0.1622290711       -19.9841173803
        0.8056225000         7.9027904322         2.5846033981         1.3965428462         2.2148814408         0.0292544227       -20.1578326615
