% Designation Loop  psi_cmd=+20.000deg  (absolute, NEUTRAL ref)
% Kp=85.3137  Kd=2.4753  K_pot=68.073520deg/V
% Vg_offset=1.339537V  K_gimbal=26.049690  samples=1001

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[deg/s]         Psi[deg]            
        0.5404505000       -15.4536289189         2.3260144797         1.3403916554         2.8069170113         1.2761634282        20.1441125869
        0.5454541000         3.4052228220         2.5497774270         1.3352870017         2.8069170113        -6.3427227104        20.1441125869
        0.5504421000        38.4366526971         2.7686937904         1.3378393285         2.7992613789        -2.5332796411        19.6229667432
        0.5554364000         3.4052228220         2.5497774270         1.3352870017         2.8069170113        -6.3427227104        20.1441125869
        0.5604337000        -0.6333436704         2.5018592635         1.3403916554         2.8043651338         1.2761634282        19.9703973057
        0.5654345000       -76.0687506339         2.1785258524         1.3608102703         2.8043651338        31.7517079827        19.9703973057
        0.5704577000        -0.6333436704         2.5018592635         1.3403916554         2.8043651338         1.2761634282        19.9703973057
        0.5754425000       -18.1399025256         2.2941414629         1.3531532897         2.7992613789        20.3233787748        19.6229667432
        0.5804455000       -73.3824770272         2.1827230744         1.3480486360         2.8120207662        12.7044926361        20.4915431494
        0.5854358000       104.4426337902         2.8451596799         1.3199730405         2.7992613789       -29.1993811262        19.6229667432
        0.5904398000       113.8720596607         2.8558445478         1.3174207137         2.7992613789       -33.0088241955        19.6229667432
        0.5954307000         0.7189492153         2.5179044101         1.3480486360         2.7992613789        12.7044926361        19.6229667432
        0.6004390000       -49.1327659082         2.2218493577         1.3454963091         2.8094688888         8.8950495668        20.3178278682
        0.6054480000        51.9046450599         2.7845741170         1.3301823480         2.8018132564       -13.9616088490        19.7966820244
        0.6104326000        43.8275120751         2.7750698283         1.3403916554         2.7967095015         1.2761634282        19.4492514619
        0.6154414000         8.7960822001         2.6137407371         1.3378393285         2.8043651338        -2.5332796411        19.9703973057
        0.6204485000       -39.7033400378         2.2377005941         1.3429439823         2.8094688888         5.0856064975        20.3178278682
        0.6254354000       -28.9216212817         2.2562927869         1.3480486360         2.8043651338        12.7044926361        19.9703973057
        0.6304501000        27.6549339410         2.7558592337         1.3327346748         2.8043651338       -10.1521657797        19.9703973057
        0.6354251000       -49.1327659082         2.2218493577         1.3454963091         2.8094688888         8.8950495668        20.3178278682
        0.6404395000        57.2955044380         2.7908861279         1.3327346748         2.7992613789       -10.1521657797        19.6229667432
        0.6454200000        18.2255080705         2.7256222107         1.3352870017         2.8043651338        -6.3427227104        19.9703973057
        0.6504442000        -4.6719101628         2.4539411000         1.3454963091         2.8018132564         8.8950495668        19.7966820244
        0.6554407000        23.6163674486         2.7510222504         1.3378393285         2.8018132564        -2.5332796411        19.7966820244
        0.6604342000       -43.7419065302         2.2308659055         1.3480486360         2.8069170113        12.7044926361        20.1441125869
        0.6654352000       -49.1327659082         2.2218493577         1.3454963091         2.8094688888         8.8950495668        20.3178278682
        0.6704514000       124.6537784167         2.8680056499         1.3225253674         2.7941576240       -25.3899380569        19.2755361807
        0.6754302000         8.7960822001         2.6137407371         1.3378393285         2.8043651338        -2.5332796411        19.9703973057
        0.6804382000        14.1869415781         2.6777040472         1.3403916554         2.8018132564         1.2761634282        19.7966820244
        0.6854312000        33.0457933190         2.7622905593         1.3352870017         2.8018132564        -6.3427227104        19.7966820244
        0.6904370000        14.1869415781         2.6777040472         1.3403916554         2.8018132564         1.2761634282        19.7966820244
        0.6954477000       -30.2739141673         2.2539327302         1.3403916554         2.8094688888         1.2761634282        20.3178278682
        0.7004357000        81.5452155569         2.8189944184         1.3301823480         2.7967095015       -13.9616088490        19.4492514619
        0.7054420000        14.1869415781         2.6777040472         1.3403916554         2.8018132564         1.2761634282        19.7966820244
        0.7104527000         8.7960822001         2.6137407371         1.3378393285         2.8043651338        -2.5332796411        19.9703973057
        0.7154371000        33.0457933190         2.7622905593         1.3352870017         2.8018132564        -6.3427227104        19.7966820244
        0.7204614000       -19.4921954112         2.2780963163         1.3454963091         2.8043651338         8.8950495668        19.9703973057
        0.7254545000        62.6863638160         2.7971740644         1.3352870017         2.7967095015        -6.3427227104        19.4492514619
        0.7304702000         8.7960822001         2.6137407371         1.3378393285         2.8043651338        -2.5332796411        19.9703973057
        0.7354484000        14.1869415781         2.6777040472         1.3403916554         2.8018132564         1.2761634282        19.7966820244
        0.7404287000        62.6863638160         2.7971740644         1.3352870017         2.7967095015        -6.3427227104        19.4492514619
        0.7454431000       -73.3824770272         2.1827230744         1.3480486360         2.8120207662        12.7044926361        20.4915431494
        0.7504447000         0.7189492153         2.5179044101         1.3480486360         2.7992613789        12.7044926361        19.6229667432
        0.7554393000        27.6549339410         2.7558592337         1.3327346748         2.8043651338       -10.1521657797        19.9703973057
        0.7604179000       -85.4981765044         2.1639963410         1.3633625971         2.8043651338        35.5611510520        19.9703973057
        0.7656330000        68.0772231941         2.8034388084         1.3378393285         2.7941576240        -2.5332796411        19.2755361807
        0.7704533000        10.1483750857         2.6297858837         1.3454963091         2.7992613789         8.8950495668        19.6229667432
        0.7754564000       -45.0941994159         2.2285927411         1.3403916554         2.8120207662         1.2761634282        20.4915431494
        0.7804595000        14.1869415781         2.6777040472         1.3403916554         2.8018132564         1.2761634282        19.7966820244
        0.7854707000        72.1157896865         2.8081173778         1.3327346748         2.7967095015       -10.1521657797        19.4492514619
        0.7904485000        29.0072268266         2.7574752161         1.3403916554         2.7992613789         1.2761634282        19.6229667432
        0.7954396000        23.6163674486         2.7510222504         1.3378393285         2.8018132564        -2.5332796411        19.7966820244
        0.8004295000        -0.6333436704         2.5018592635         1.3403916554         2.8043651338         1.2761634282        19.9703973057
        0.8054615000       -27.5693283961         2.2586610576         1.3557056165         2.7992613789        24.1328218441        19.6229667432
        0.8104423000        12.8346486925         2.6616589006         1.3327346748         2.8069170113       -10.1521657797        20.1441125869
        0.8154513000         3.4052228220         2.5497774270         1.3352870017         2.8069170113        -6.3427227104        20.1441125869
        0.8204409000        33.0457933190         2.7622905593         1.3352870017         2.8018132564        -6.3427227104        19.7966820244
        0.8254485000         3.4052228220         2.5497774270         1.3352870017         2.8069170113        -6.3427227104        20.1441125869
        0.8304283000       -14.1013360332         2.3420596264         1.3480486360         2.8018132564        12.7044926361        19.7966820244
        0.8354727000        42.4752191895         2.7734729101         1.3327346748         2.8018132564       -10.1521657797        19.7966820244
        0.8404642000         3.4052228220         2.5497774270         1.3352870017         2.8069170113        -6.3427227104        20.1441125869
        0.8454589000      -112.4524733946         2.1240980247         1.3506009628         2.8171245211        16.5139357054        20.8389737119
        0.8504436000       -20.8444882969         2.2705619244         1.3378393285         2.8094688888        -2.5332796411        20.3178278682
        0.8554567000         3.4052228220         2.5497774270         1.3352870017         2.8069170113        -6.3427227104        20.1441125869
        0.8604348000       -30.2739141673         2.2539327302         1.3403916554         2.8094688888         1.2761634282        20.3178278682
        0.8654440000        23.6163674486         2.7510222504         1.3378393285         2.8018132564        -2.5332796411        19.7966820244
        0.8704291000        51.9046450599         2.7845741170         1.3301823480         2.8018132564       -13.9616088490        19.7966820244
        0.8754710000       -24.8830547893         2.2633900833         1.3429439823         2.8069170113         5.0856064975        20.1441125869
        0.8804344000       -59.9144846644         2.2041711680         1.3403916554         2.8145726437         1.2761634282        20.6652584306
        0.8854351000        -6.0242030484         2.4378959533         1.3378393285         2.8069170113        -2.5332796411        20.1441125869
        0.8904273000       -15.4536289189         2.3260144797         1.3403916554         2.8069170113         1.2761634282        20.1441125869
        0.8954487000        51.9046450599         2.7845741170         1.3301823480         2.8018132564       -13.9616088490        19.7966820244
        0.9004421000       -34.3124806597         2.2469329392         1.3454963091         2.8069170113         8.8950495668        20.1441125869
        0.9054507000       -63.9530511568         2.1976673997         1.3454963091         2.8120207662         8.8950495668        20.4915431494
        0.9104332000        57.2955044380         2.7908861279         1.3327346748         2.7992613789       -10.1521657797        19.6229667432
        0.9154386000        14.1869415781         2.6777040472         1.3403916554         2.8018132564         1.2761634282        19.7966820244
        0.9204338000       -69.3439105348         2.1890829586         1.3429439823         2.8145726437         5.0856064975        20.6652584306
        0.9254349000       -20.8444882969         2.2705619244         1.3378393285         2.8094688888        -2.5332796411        20.3178278682
        0.9304463000        57.2955044380         2.7908861279         1.3327346748         2.7992613789       -10.1521657797        19.6229667432
        0.9354278000       -54.5236252863         2.2129520935         1.3429439823         2.8120207662         5.0856064975        20.4915431494
        0.9404422000        57.2955044380         2.7908861279         1.3327346748         2.7992613789       -10.1521657797        19.6229667432
        0.9454261000       -63.9530511568         2.1976673997         1.3454963091         2.8120207662         8.8950495668        20.4915431494
        0.9505934000        57.2955044380         2.7908861279         1.3327346748         2.7992613789       -10.1521657797        19.6229667432
        0.9554525000       -35.6647735454         2.2446051506         1.3378393285         2.8120207662        -2.5332796411        20.4915431494
        0.9604337000        -6.0242030484         2.4378959533         1.3378393285         2.8069170113        -2.5332796411        20.1441125869
        0.9654364000        -6.0242030484         2.4378959533         1.3378393285         2.8069170113        -2.5332796411        20.1441125869
        0.9704299000       -45.0941994159         2.2285927411         1.3403916554         2.8120207662         1.2761634282        20.4915431494
        0.9754298000        57.2955044380         2.7908861279         1.3327346748         2.7992613789       -10.1521657797        19.6229667432
        0.9804549000       -84.1641957833         2.1660329266         1.3429439823         2.8171245211         5.0856064975        20.8389737119
        0.9854300000       -78.7733364053         2.1743263077         1.3454963091         2.8145726437         8.8950495668        20.6652584306
        0.9904460000        -6.0242030484         2.4378959533         1.3378393285         2.8069170113        -2.5332796411        20.1441125869
        0.9954462000       123.3014855311         2.8664834174         1.3148683868         2.7992613789       -36.8182672649        19.6229667432
        1.0004325000        57.2955044380         2.7908861279         1.3327346748         2.7992613789       -10.1521657797        19.6229667432
        1.0054421000       -10.0627695408         2.3899777899         1.3429439823         2.8043651338         5.0856064975        19.9703973057
        1.0104556000       -54.5236252863         2.2129520935         1.3429439823         2.8120207662         5.0856064975        20.4915431494
        1.0154417000        -6.0242030484         2.4378959533         1.3378393285         2.8069170113        -2.5332796411        20.1441125869
        1.0204321000        33.0457933190         2.7622905593         1.3352870017         2.8018132564        -6.3427227104        19.7966820244
        1.0254372000         3.4052228220         2.5497774270         1.3352870017         2.8069170113        -6.3427227104        20.1441125869
        1.0304474000        -6.0242030484         2.4378959533         1.3378393285         2.8069170113        -2.5332796411        20.1441125869
        1.0354297000       -15.4536289189         2.3260144797         1.3403916554         2.8069170113         1.2761634282        20.1441125869
        1.0404519000       -54.5236252863         2.2129520935         1.3429439823         2.8120207662         5.0856064975        20.4915431494
        1.0454708000       -11.4150624265         2.3739326432         1.3352870017         2.8094688888        -6.3427227104        20.3178278682
        1.0504333000         8.7960822001         2.6137407371         1.3378393285         2.8043651338        -2.5332796411        19.9703973057
        1.0554376000        -6.0242030484         2.4378959533         1.3378393285         2.8069170113        -2.5332796411        20.1441125869
        1.0604656000        -6.0242030484         2.4378959533         1.3378393285         2.8069170113        -2.5332796411        20.1441125869
        1.0654307000       -54.5236252863         2.2129520935         1.3429439823         2.8120207662         5.0856064975        20.4915431494
        1.0704276000        18.2255080705         2.7256222107         1.3352870017         2.8043651338        -6.3427227104        19.9703973057
        1.0754311000        -1.9856365560         2.4858141168         1.3327346748         2.8094688888       -10.1521657797        20.3178278682
        1.0804391000        -0.6333436704         2.5018592635         1.3403916554         2.8043651338         1.2761634282        19.9703973057
        1.0854558000        -0.6333436704         2.5018592635         1.3403916554         2.8043651338         1.2761634282        19.9703973057
        1.0904281000       -54.5236252863         2.2129520935         1.3429439823         2.8120207662         5.0856064975        20.4915431494
        1.0954480000        47.8660785675         2.7798291639         1.3352870017         2.7992613789        -6.3427227104        19.6229667432
        1.1004280000        57.2955044380         2.7908861279         1.3327346748         2.7992613789       -10.1521657797        19.6229667432
        1.1054377000       -63.9530511568         2.1976673997         1.3454963091         2.8120207662         8.8950495668        20.4915431494
        1.1104250000        57.2955044380         2.7908861279         1.3327346748         2.7992613789       -10.1521657797        19.6229667432
        1.1154640000         8.7960822001         2.6137407371         1.3378393285         2.8043651338        -2.5332796411        19.9703973057
        1.1204353000       -10.0627695408         2.3899777899         1.3429439823         2.8043651338         5.0856064975        19.9703973057
        1.1254264000       -63.9530511568         2.1976673997         1.3454963091         2.8120207662         8.8950495668        20.4915431494
        1.1304369000         8.7960822001         2.6137407371         1.3378393285         2.8043651338        -2.5332796411        19.9703973057
        1.1354471000        57.2955044380         2.7908861279         1.3327346748         2.7992613789       -10.1521657797        19.6229667432
        1.1404272000        -6.0242030484         2.4378959533         1.3378393285         2.8069170113        -2.5332796411        20.1441125869
        1.1454427000        -6.0242030484         2.4378959533         1.3378393285         2.8069170113        -2.5332796411        20.1441125869
        1.1504244000         8.7960822001         2.6137407371         1.3378393285         2.8043651338        -2.5332796411        19.9703973057
        1.1554396000       -49.1327659082         2.2218493577         1.3454963091         2.8094688888         8.8950495668        20.3178278682
        1.1604156000        38.4366526971         2.7686937904         1.3378393285         2.7992613789        -2.5332796411        19.6229667432
