% Designation Loop  psi_cmd=+5.000deg  (absolute, NEUTRAL ref)
% Kp=29.5203  Kd=1.0288  K_pot=68.073520deg/V
% Vg_offset=1.338720V  K_gimbal=26.049690  samples=1001

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[deg/s]         Psi[deg]            
        0.5554284000        -0.7686324029         2.5002540435         1.3352870017         2.5874555498        -5.1237009282         5.2045984000
        0.5605428000        32.7101746273         2.7618909938         1.3301823480         2.5746961625       -12.7425870668         4.3360219938
        0.5655081000        31.5011357999         2.7604506855         1.3276300211         2.5772480400       -16.5520301361         4.5097372750
        0.5704220000        28.7910870711         2.7572170523         1.3327346748         2.5746961625        -8.9331439975         4.3360219938
        0.5755156000       -10.1078174166         2.3894432904         1.3480486360         2.5823517949        13.9235144183         4.8571678375
        0.5805190000        -2.2696423043         2.4824443484         1.3429439823         2.5823517949         6.3046282797         4.8571678375
        0.5855087000        31.5011357999         2.7604506855         1.3276300211         2.5772480400       -16.5520301361         4.5097372750
        0.5905014000       -12.5258950714         2.3607524565         1.3429439823         2.5874555498         6.3046282797         5.2045984000
        0.5954160000       -15.2359438002         2.3285973445         1.3480486360         2.5849036724        13.9235144183         5.0308831188
        0.6005123000        20.0358442054         2.7467199458         1.3250776943         2.5849036724       -20.3614732054         5.0308831188
        0.6054201000       -12.5258950714         2.3607524565         1.3429439823         2.5874555498         6.3046282797         5.2045984000
        0.6104291000        19.7438731314         2.7436378272         1.3352870017         2.5772480400        -5.1237009282         4.5097372750
        0.6155094000       -16.4449826276         2.3142519276         1.3454963091         2.5874555498        10.1140713490         5.2045984000
        0.6205224000        20.9529119588         2.7478231431         1.3378393285         2.5746961625        -1.3142578589         4.3360219938
        0.6254652000         0.4404064245         2.5145994604         1.3378393285         2.5849036724        -1.3142578589         5.0308831188
        0.6305144000         5.5685328081         2.5754454064         1.3378393285         2.5823517949        -1.3142578589         4.8571678375
        0.6355147000        13.4067079204         2.6684464643         1.3327346748         2.5823517949        -8.9331439975         4.8571678375
        0.6405135000       -22.7821478385         2.2671115700         1.3429439823         2.5925593047         6.3046282797         5.5520289625
        0.6455154000        10.6966591916         2.6362913523         1.3378393285         2.5797999174        -1.3142578589         4.6834525563
        0.6505225000        23.6629606875         2.7510781493         1.3327346748         2.5772480400        -8.9331439975         4.5097372750
        0.6555147000         5.5685328081         2.5754454064         1.3378393285         2.5823517949        -1.3142578589         4.8571678375
        0.6604186000         1.6494452519         2.5289448774         1.3403916554         2.5823517949         2.4951852104         4.8571678375
        0.6654262000         5.5685328081         2.5754454064         1.3378393285         2.5823517949        -1.3142578589         4.8571678375
        0.6705209000         5.5685328081         2.5754454064         1.3378393285         2.5823517949        -1.3142578589         4.8571678375
        0.6755060000        28.7910870711         2.7572170523         1.3327346748         2.5746961625        -8.9331439975         4.3360219938
        0.6805082000         5.5685328081         2.5754454064         1.3378393285         2.5823517949        -1.3142578589         4.8571678375
        0.6855060000        11.9056980190         2.6506367692         1.3403916554         2.5772480400         2.4951852104         4.5097372750
        0.6905312000        19.7438731314         2.7436378272         1.3352870017         2.5772480400        -5.1237009282         4.5097372750
        0.6955334000        23.6629606875         2.7510781493         1.3327346748         2.5772480400        -8.9331439975         4.5097372750
        0.7005301000       -17.6540214550         2.2999065106         1.3429439823         2.5900074273         6.3046282797         5.3783136812
        0.7055352000       -15.2359438002         2.3285973445         1.3480486360         2.5849036724        13.9235144183         5.0308831188
        0.7105857000        23.6629606875         2.7510781493         1.3327346748         2.5772480400        -8.9331439975         4.5097372750
        0.7155288000       -10.1078174166         2.3894432904         1.3480486360         2.5823517949        13.9235144183         4.8571678375
