% Designation Loop  psi_cmd=+8.000deg  (absolute, NEUTRAL ref)
% Kp=57.6403  Kd=1.7943  K_pot=68.073520deg/V
% Vg_offset=1.337814V  K_gimbal=26.049690  samples=1001

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Psi[deg]            
        0.2604529000      -429.8170558850         1.7935344103         1.3965428462         2.6869787707         1.5298733305        12.7283030885
        0.2654342000      -375.1361278492         1.8517760137         1.3761242314         2.6869787707         0.9979747366        12.7283030885
        0.2704729000      -377.3553623485         1.8494184408         1.3582579434         2.6997381580         0.5325634671        13.5968794947
        0.2753953000      -156.4124157061         2.0952624718         1.2944497720         2.6869787707        -1.1296196386        12.7283030885
        0.2804066000       264.9681295652         2.9978699085         1.1744904097         2.6614599961        -4.2545238773        10.9911502760
        0.2853853000       468.1042920947         3.2079751916         1.1285485263         2.6410449765        -5.4512957133         9.6014280261
        0.2904204000       426.6142666667         3.1651893516         1.1515194680         2.6359412215        -4.8529097953         9.2539974636
        0.2953983000       503.0611184128         3.2444424342         1.1566241217         2.6129743244        -4.7199351469         7.6905599324
        0.3003613000       538.9766035333         3.2825508298         1.1693857560         2.5951111822        -4.3874985257         6.4745529637
        0.3054078000       541.1958380326         3.2849324030         1.1872520440         2.5823517949        -3.9220872561         5.6059765575
        0.3103827000       573.9334298515         3.3205035342         1.1974613514         2.5670405302        -3.6561379592         4.5636848701
        0.3153968000       552.4694230357         3.2970858612         1.2204322931         2.5568330203        -3.0577520412         3.8688237451
        0.3203937000       618.9032654758         3.3709795202         1.2255369469         2.5364180006        -2.9247773927         2.4791014951
        0.3253867000       651.6408572946         3.4091887802         1.2357462543         2.5211067359        -2.6588280958         1.4368098077
        0.3303823000       603.7950452633         3.3537846297         1.2536125423         2.5211067359        -2.1934168262         1.4368098077
        0.3353976000       528.1294398130         3.2709583916         1.2893451183         2.5160029810        -1.2625942871         1.0893792452
        0.3403928000       310.8437158734         3.0460088927         1.3480486360         2.5313142457         0.2666141701         2.1316709326
        0.3453702000       -53.1573374617         2.2293346133         1.4577986908         2.5491773879         3.1255691119         3.3476779013
        0.3503847000      -378.8462586704         1.8478346020         1.5420254771         2.5746961625         5.3196508114         5.0848307138
        0.3561126000      -394.7357251787         1.8309487645         1.5292638428         2.5874555498         4.9872141902         5.9534071200
        0.3603946000      -390.1198436735         1.8358558664         1.5088452279         2.6002149371         4.4553155964         6.8219835262
        0.3655297000      -483.4148207303         1.7355160861         1.5062929011         2.6257337117         4.3888282722         8.5591363386
        0.3703881000      -536.1784311614         1.6765973191         1.4960835936         2.6461487314         4.1228789753         9.9488585886
        0.3754541000      -484.6753964273         1.7341328525         1.4731126519         2.6487006088         3.5244930573        10.1225738698
        0.3803981000      -516.9336588449         1.6983499796         1.4552463639         2.6691156285         3.0590817877        11.5122961198
        0.3853938000      -532.8231253532         1.6804141854         1.4424847297         2.6818750158         2.7266451665        12.3808725260
        0.3904428000      -454.4589560024         1.7670314623         1.4169614611         2.6793231383         2.0617719243        12.2071572448
        0.3954037000      -477.1835385151         1.7423388713         1.4067521537         2.6920825256         1.7958226274        13.0757336510
        0.4003947000      -493.0730050233         1.7248911059         1.3939905194         2.7048419129         1.4633860062        13.9443100572
        0.4053938000      -391.0255943574         1.8348931274         1.3633625971         2.6997381580         0.6655381155        13.5968794947
        0.4104654000       -98.5535943687         2.1680901739         1.2765834840         2.6844268933        -1.5950309082        12.5545878072
        0.4154086000       241.7642176513         2.9731548419         1.1719380829         2.6691156285        -4.3210112015        11.5122961198
        0.4205339000       411.2041295596         3.1493711588         1.1311008532         2.6538043638        -5.3848083891        10.4700044323
        0.4254736000       517.6900092241         3.2598724588         1.1362055069         2.6231818342        -5.2518337407         8.3854210574
        0.4304754000       536.7573690340         3.2801726856         1.1515194680         2.6078705695        -4.8529097953         7.3431293699
        0.4354747000       508.4582462138         3.2501217658         1.1770427366         2.5976630597        -4.1880365530         6.6482682450
        0.4404510000       578.0699819555         3.3250623524         1.1846997172         2.5746961625        -3.9885745804         5.0848307138
        0.4453935000       637.6687083910         3.3927127620         1.1923566977         2.5542811429        -3.7891126077         3.6951084638
        0.4503972000       599.3565762647         3.3487809525         1.2178799663         2.5466255105        -3.1242393654         3.1739626201
        0.4553819000       561.5237735395         3.3069176158         1.2357462543         2.5440736330        -2.6588280958         3.0002473389
        0.4604166000       621.1224999751         3.3735273334         1.2434032349         2.5236586133        -2.4593661231         1.6105250889
        0.4654766000       576.4545812455         3.3232801931         1.2638218497         2.5211067359        -1.9274675293         1.4368098077
        0.4704639000       504.4461984979         3.2458985118         1.2944497720         2.5185548584        -1.1296196386         1.2630945264
        0.4753935000       273.9695719506         3.0073858664         1.3506009628         2.5389698781         0.3331014944         2.6528167764
        0.4804485000       -22.6389801422         2.2728798359         1.4501417102         2.5466255105         2.9261071392         3.1739626201
        0.4853975000      -290.9484094146         1.9418625998         1.5241591891         2.5644886527         4.8542395418         4.3899695888
        0.4905492000      -381.0654931697         1.8454769618         1.5241591891         2.5874555498         4.8542395418         5.9534071200
        0.4954606000      -440.6642196053         1.7818975543         1.5165022085         2.6078705695         4.6547775691         7.3431293699
        0.5003803000      -490.2499367348         1.7280033027         1.5088452279         2.6257337117         4.4553155964         8.5591363386
        0.5054598000      -451.9378046084         1.7697546558         1.4833219594         2.6333893441         3.7904423542         9.0802821824
        0.5103935000      -454.6363685089         1.7668397203         1.4731126519         2.6410449765         3.5244930573         9.6014280261
        0.5153844000      -433.1723616932         1.7899392549         1.4501417102         2.6512524863         2.9261071392        10.2962891511
        0.5205193000      -448.5824988002         1.7733743672         1.4297230954         2.6691156285         2.3942085454        11.5122961198
