% Designation Loop  psi_cmd=-20.000deg  (absolute, NEUTRAL ref)
% Kp=85.3137  Kd=2.4753  K_pot=68.073520deg/V
% Vg_offset=1.339537V  K_gimbal=26.049690  samples=1001

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[deg/s]         Psi[deg]            
        0.8204423000        14.3449897635         2.6795793113         1.3352870017         2.2174333183        -6.3427227104       -19.9841173803
        0.8254576000       -67.8335694638         2.1914769854         1.3454963091         2.2250889506         8.8950495668       -19.4629715365
        0.8304440000        58.8058455090         2.7926501899         1.3352870017         2.2097776859        -6.3427227104       -20.5052632240
        0.8354780000        42.6332673748         2.7736596345         1.3276300211         2.2174333183       -17.7710519183       -19.9841173803
        0.8404640000       -47.6224248372         2.2243633417         1.3480486360         2.2199851957        12.7044926361       -19.8104020990
        0.8454483000       -75.9107024486         2.1787720741         1.3557056165         2.2199851957        24.1328218441       -19.8104020990
        0.8504528000        23.7744156339         2.7512118551         1.3327346748         2.2174333183       -10.1521657797       -19.9841173803
        0.8554535000       -58.4041435933         2.2066197319         1.3429439823         2.2250889506         5.0856064975       -19.4629715365
        0.8604407000        58.8058455090         2.7926501899         1.3352870017         2.2097776859        -6.3427227104       -20.5052632240
        0.8654410000        -9.9047213554         2.3918530540         1.3378393285         2.2199851957        -2.5332796411       -19.8104020990
        0.8704467000       -40.8792725735         2.2357033446         1.3582579434         2.2123295633        27.9422649134       -20.3315479428
        0.8754237000         4.9155638931         2.5676978377         1.3378393285         2.2174333183        -2.5332796411       -19.9841173803
        0.8804428000        49.3764196385         2.7816053426         1.3378393285         2.2097776859        -2.5332796411       -20.5052632240
        0.8854440000       -53.0132842153         2.2154329561         1.3454963091         2.2225370732         8.8950495668       -19.6366868178
        0.8905844000       -58.4041435933         2.2066197319         1.3429439823         2.2250889506         5.0856064975       -19.4629715365
        0.8954327000         4.9155638931         2.5676978377         1.3378393285         2.2174333183        -2.5332796411       -19.9841173803
        0.9004592000         4.9155638931         2.5676978377         1.3378393285         2.2174333183        -2.5332796411       -19.9841173803
        0.9054275000       -67.8335694638         2.1914769854         1.3454963091         2.2250889506         8.8950495668       -19.4629715365
        0.9104458000        81.7032637423         2.8191761923         1.3250776943         2.2123295633       -21.5804949876       -20.3315479428
        0.9154271000        -9.9047213554         2.3918530540         1.3378393285         2.2199851957        -2.5332796411       -19.8104020990
        0.9204417000        -0.4752954850         2.5037345276         1.3352870017         2.2199851957        -6.3427227104       -19.8104020990
        0.9254270000       -43.5838583448         2.2311320810         1.3429439823         2.2225370732         5.0856064975       -19.6366868178
        0.9304388000        53.4149861309         2.7863450131         1.3327346748         2.2123295633       -10.1521657797       -20.3315479428
