% K_lin=7.278100  p_cw=[-2.838900 33.414700 -70.041400]  p_ccw=[2.963600 3.934100 -23.977500]
Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]             Omega[rad/s]           Omega_target
        0.2750110000         0.3387509260         2.8694398415         1.4067521537         2.5134511035         1.7948253175         2.4654631146
        0.2800137000         0.3446590843         2.8719521995         1.4016475000         2.5185548584         1.6618506690         2.5084632814
        0.2850112000         0.3505475015         2.8744582488         1.4067521537         2.5262104908         1.7948253175         2.5513197705
        0.2900170000         0.3564318385         2.8769646472         1.4016475000         2.5313142457         1.6618506690         2.5941465641
        0.2950099000         0.3622869623         2.8794606769         1.4041998268         2.5338661232         1.7283379933         2.6367607403
        0.3000166000         0.3681439479         2.8819595758         1.4169614611         2.5517292654         2.0607746144         2.6793884672
        0.3050076000         0.3739680632         2.8844465140         1.4118568074         2.5542811429         1.9277999660         2.7217769610
        0.3100187000         0.3798008339         2.8869392156         1.4067521537         2.5542811429         1.7948253175         2.7642284493
        0.3150102000         0.3855958188         2.8894178230         1.4093044805         2.5670405302         1.8613126417         2.8064049287
        0.3200177000         0.3913941350         2.8918999095         1.4118568074         2.5721442851         1.9277999660         2.8486056538
        0.3250090000         0.3971582702         2.8943694059         1.4144091342         2.5797999174         1.9942872902         2.8905576061
        0.3300164000         0.4029252977         2.8968421837         1.4144091342         2.5874555498         1.9942872902         2.9325306091
        0.3350143000         0.4086654757         2.8993054825         1.4169614611         2.6027668146         2.0607746144         2.9743081984
        0.3400117000         0.4143889619         2.9017636435         1.4220661148         2.6104224470         2.1937492629         3.0159643038
        0.3450092000         0.4200962199         2.9042168530         1.4169614611         2.6129743244         2.0607746144         3.0575022978
        0.3500172000         0.4257988485         2.9066700908         1.4144091342         2.6206299568         1.9942872902         3.0990065995
        0.3550078000         0.4314648882         2.9091095911         1.4373800759         2.6435968539         2.5926732082         3.1402446026
        0.3600081000         0.4371249215         2.9115485035         1.4271707685         2.6512524863         2.3267239113         3.1814388909
        0.3650085000         0.4427678084         2.9139820204         1.4322754222         2.6538043638         2.4596985598         3.2225083864
        0.3700192000         0.4484047821         2.9164149789         1.4271707685         2.6614599961         2.3267239113         3.2635348443
        0.3750055000         0.4539966579         2.9188304444         1.4424847297         2.6767712609         2.7256478567         3.3042330760
        0.3800174000         0.4595992800         2.9212525261         1.4322754222         2.6818750158         2.4596985598         3.3450095201
        0.3850106000         0.4651628696         2.9236596939         1.4348277491         2.6920825256         2.5261858840         3.3855018815
        0.3900171000         0.4707228912         2.9260672741         1.4348277491         2.6997381580         2.5261858840         3.4259682742
        0.3950108000         0.4762501374         2.9284626053         1.4475893834         2.7176013002         2.8586225051         3.4661961252
        0.4000186000         0.4817741563         2.9308584783         1.4475893834         2.7176013002         2.8586225051         3.5064004868
        0.4050166000         0.4872683420         2.9332433409         1.4399324028         2.7354644424         2.6591605324         3.5463877201
        0.4100174000         0.4927463684         2.9356231090         1.4450370565         2.7380163199         2.7921351809         3.5862573440
        0.4150085000         0.4981943669         2.9379917382         1.4475893834         2.7533275847         2.8586225051         3.6259084214
        0.4200194000         0.5036442629         2.9403630986         1.4475893834         2.7635350945         2.8586225051         3.6655733096
        0.4250061000         0.5090480137         2.9427162673         1.4475893834         2.7762944818         2.8586225051         3.7049023488
        0.4300139000         0.5144545123         2.9450725173         1.4526940371         2.7890538691         2.9915971536         3.7442513863
        0.4350110000         0.5198291513         2.9474167555         1.4501417102         2.7992613789         2.9251098294         3.7833685457
        0.4400083000         0.5251835059         2.9497540080         1.4629033445         2.8171245211         3.2575464505         3.8223380741
        0.4450096000         0.5305214104         2.9520859336         1.4552463639         2.8196763986         3.0580844778         3.8611878771
        0.4500109000         0.5358383600         2.9544105493         1.4424847297         2.8273320310         2.7256478567         3.8998851678
        0.4550064000         0.5411280154         2.9567250630         1.4603510177         2.8400914183         3.1910591263         3.9383838088
        0.4600121000         0.5464070815         2.9590367685         1.4603510177         2.8630583154         3.1910591263         3.9768053802
        0.4650089000         0.5516551990         2.9613367332         1.4526940371         2.8681620703         2.9915971536         4.0150017037
        0.4700161000         0.5568924209         2.9636337281         1.4629033445         2.8732658252         3.2575464505         4.0531187283
        0.4750105000         0.5620942909         2.9659170071         1.4501417102         2.8885770900         2.9251098294         4.0909784584
        0.4800212000         0.5672908884         2.9681997563         1.4705603251         2.9038883547         3.4570084232         4.1287998150
        0.4850142000         0.5724467569         2.9704663811         1.4731126519         2.9268552519         3.5234957474         4.1663247416
        0.4900196000         0.5775928098         2.9727304497         1.4680079982         2.9370627617         3.3905210989         4.2037782287
        0.4950090000         0.5826996710         2.9749790168         1.4731126519         2.9498221490         3.5234957474         4.2409464754
        0.5000183000         0.5878038567         2.9772281432         1.4833219594         2.9651334138         3.7894450443         4.2780952492
        0.5050126000         0.5928695710         2.9794620387         1.4756649788         2.9804446785         3.5899830716         4.3149640249
        0.5100120000         0.5979170703         2.9816896112         1.4731126519         2.9829965560         3.5234957474         4.3517002296
        0.5150052000         0.6029347549         2.9839057210         1.4858742862         2.9957559433         3.8559323685         4.3882194395
        0.5200081000         0.6079383795         2.9861173081         1.4577986908         3.0059634531         3.1245718020         4.4246363198
        0.5250076000         0.6129146000         2.9883184571         1.4782173056         3.0263784728         3.6564703958         4.4608537499
        0.5300145000         0.6178739401         2.9905138048         1.4807696325         3.0365859826         3.7229577201         4.4969483237
        0.5350095000         0.6227971207         2.9926947937         1.4654556714         3.0467934924         3.3240337747         4.5327797239
        0.5400095000         0.6277006546         2.9948687151         1.4858742862         3.0723122670         3.8559323685         4.5684681340
