% p_cw=[-2.123276e-13 9.891086e-10 -5.800253e-07 1.225497e-03 2.722391e+00]  p_ccw=[1.174692e-12 3.376534e-09 2.532918e-06 1.886410e-03 2.308813e+00]
Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]             Omega[rad/s]           Omega_target[rad/s]
        3.6950053000       219.3467613421         2.9732400203         1.4731126519         1.6305015027         3.5055441699         3.8283231890
        3.7000065000       219.6094685491         2.9735302724         1.4833219594         1.6509165224         3.7714934668         3.8329082947
        3.7050041000       219.8718512689         2.9738201674         1.4884266131         1.6636759097         3.9044681152         3.8374877371
        3.7100024000       220.1341352118         2.9741099547         1.4807696325         1.6738834195         3.7050061425         3.8420654555
        3.7150058000       220.3965508708         2.9743998891         1.4731126519         1.6815390519         3.5055441699         3.8466454727
        3.7200028000       220.6584949910         2.9746893042         1.4858742862         1.6994021941         3.8379807910         3.8512172601
        3.7250042000       220.9205336301         2.9749788255         1.4858742862         1.7096097039         3.8379807910         3.8557906971
        3.7300032000       221.1823102722         2.9752680591         1.4833219594         1.7274728461         3.7714934668         3.8603595614
        3.7350064000       221.4441702975         2.9755573867         1.4858742862         1.7376803560         3.8379807910         3.8649298810
        3.7400036000       221.7055797659         2.9758462186         1.4833219594         1.7580953756         3.7714934668         3.8694923370
        3.7450049000       221.9670669356         2.9761351384         1.4858742862         1.7657510080         3.8379807910         3.8740561490
        3.7500048000       222.2283439727         2.9764238281         1.4858742862         1.7810622728         3.8379807910         3.8786162936
        3.7550042000       222.4894578278         2.9767123398         1.4782173056         1.7938216601         3.6385188183         3.8831735901
        3.7600029000       222.7503979403         2.9770006619         1.4858742862         1.8142366797         3.8379807910         3.8877278542
        3.7650061000       223.0114354424         2.9772890940         1.4731126519         1.8320998220         3.5055441699         3.8922838181
        3.7700032000       223.2720171934         2.9775770250         1.4858742862         1.8397554543         3.8379807910         3.8968318276
        3.7750040000       223.5326541693         2.9778650196         1.4986359205         1.8678261064         4.1704174121         3.9013808010
        3.7800037000       223.7930959292         2.9781528012         1.4909789399         1.8780336162         3.9709554394         3.9059263672
        3.7850052000       224.0534933475         2.9784405365         1.4858742862         1.8882411261         3.8379807910         3.9104711595
        3.7900046000       224.3136432304         2.9787280012         1.4858742862         1.9061042683         3.8379807910         3.9150116315
        3.7950041000       224.5736599758         2.9790153216         1.4884266131         1.9214155330         3.9044681152         3.9195497798
        3.8000049000       224.8336057795         2.9793025666         1.4935312668         1.9290711654         4.0374427637         3.9240866900
        3.8050043000       225.0933401357         2.9795895810         1.4884266131         1.9494861851         3.9044681152         3.9286199097
        3.8100025000       225.3528733799         2.9798763763         1.4935312668         1.9647974498         4.0374427637         3.9331496193
        3.8150050000       225.6124908163         2.9801632679         1.5011882474         1.9852124695         4.2369047363         3.9376807984
        3.8200030000       225.8717355933         2.9804497510         1.4935312668         1.9903162244         4.0374427637         3.9422054733
        3.8250045000       226.1310225512         2.9807362841         1.5011882474         2.0158349990         4.2369047363         3.9467308844
        3.8300028000       226.3900041752         2.9810224833         1.4935312668         2.0260425088         4.0374427637         3.9512509665
        3.8350057000       226.6490843977         2.9813087949         1.4833219594         2.0362500187         3.7714934668         3.9557727694
        3.8400036000       226.9077659310         2.9815946696         1.5011882474         2.0592169158         4.2369047363         3.9602876138
        3.8450075000       227.1666179060         2.9818807364         1.4960835936         2.0745281806         4.1039300879         3.9648054331
        3.8500061000       227.4250555921         2.9821663491         1.4935312668         2.0847356904         4.0374427637         3.9693160216
        3.8550065000       227.6834460543         2.9824519135         1.4960835936         2.1077025875         4.1039300879         3.9738257859
        3.8600043000       227.9415618056         2.9827371782         1.4960835936         2.1230138523         4.1039300879         3.9783307556
        3.8650062000       228.1997486512         2.9830225255         1.5267115159         2.1357732396         4.9017779786         3.9828369662
        3.8700031000       228.4575367458         2.9833074362         1.4935312668         2.1536363818         4.0374427637         3.9873362172
        3.8750046000       228.7154212082         2.9835924576         1.4858742862         2.1638438916         3.8379807910         3.9918371502
        3.8800048000       228.9730975291         2.9838772531         1.4884266131         2.1842589113         3.9044681152         3.9963344504
        3.8850062000       229.2306943866         2.9841619652         1.4986359205         2.2046739310         4.1704174121         4.0008303637
        3.8900034000       229.4879336192         2.9844462865         1.4960835936         2.2174333183         4.1039300879         4.0053200353
        3.8950044000       229.7452269024         2.9847306719         1.5037405742         2.2327445830         4.3033920606         4.0098106502
        3.9000103000       230.0026302979         2.9850151836         1.4756649788         2.2404002154         3.5720314941         4.0143031869
        3.9050057000       230.2593520177         2.9852989465         1.5011882474         2.2710227449         4.2369047363         4.0187838262
        3.9100045000       230.5161065514         2.9855827504         1.4884266131         2.2786783773         3.9044681152         4.0232650382
        3.9150046000       230.7727856764         2.9858664756         1.5062929011         2.3016452744         4.3698793848         4.0277449341
        3.9200030000       231.0292352448         2.9861499520         1.4986359205         2.3169565392         4.1704174121         4.0322208234
        3.9250035000       231.2856500499         2.9864333949         1.4986359205         2.3322678039         4.1704174121         4.0366961060
        3.9300022000       231.5418299334         2.9867165832         1.4858742862         2.3348196814         3.8379807910         4.0411672884
        3.9350053000       231.7980923735         2.9869998677         1.4986359205         2.3577865785         4.1704174121         4.0456399118
        3.9400034000       232.0539557628         2.9872827163         1.4909789399         2.3730978433         3.9709554394         4.0501055703
        3.9450041000       232.3098091039         2.9875655591         1.4986359205         2.3935128629         4.1704174121         4.0545710535
        3.9500044000       232.5654986590         2.9878482260         1.4833219594         2.4037203728         3.7714934668         4.0590336781
        3.9550044000       232.8210294102         2.9881307228         1.4960835936         2.4164797601         4.1039300879         4.0634935311
        3.9600038000       233.0763859073         2.9884130324         1.5011882474         2.4471022896         4.2369047363         4.0679503427
        3.9650060000       233.3317415627         2.9886953466         1.5011882474         2.4496541670         4.2369047363         4.0724071397
        3.9700032000       233.5866981334         2.9889772251         1.4986359205         2.4726210642         4.1704174121         4.0768569713
        3.9750051000       233.8417503666         2.9892592151         1.4986359205         2.4955879613         4.1704174121         4.0813084725
        3.9800036000       234.0964850224         2.9895408598         1.4909789399         2.4955879613         3.9709554394         4.0857544310
        3.9850437000       234.3531935846         2.9898246927         1.4986359205         2.5211067359         4.1704174121         4.0902348406
        3.9900055000       234.6057705907         2.9901039633         1.4909789399         2.5262104908         3.9709554394         4.0946431410
        3.9950232000       234.8610482195         2.9903862260         1.4935312668         2.5491773879         4.0374427637         4.0990985761
        4.0000095000       235.1145838209         2.9906665685         1.5011882474         2.5721442851         4.2369047363         4.1035236071
        4.0050069000       235.3685391017         2.9909473812         1.4960835936         2.5746961625         4.1039300879         4.1079559629
        4.0100057000       235.6224204295         2.9912281182         1.5062929011         2.6027668146         4.3698793848         4.1123870280
        4.0150049000       235.8761767800         2.9915087233         1.5037405742         2.6206299568         4.3033920606         4.1168159118
        4.0200041000       236.1297876783         2.9917891738         1.4986359205         2.6282855892         4.1704174121         4.1212422570
        4.0252362000       236.3950577147         2.9920825242         1.5062929011         2.6589081187         4.3698793848         4.1258720926
        4.0300057000       236.6367345888         2.9923497901         1.5037405742         2.6614599961         4.3033920606         4.1300901497
        4.0350055000       236.8899384720         2.9926298099         1.4909789399         2.6742193834         3.9709554394         4.1345093912
        4.0400051000       237.1429861198         2.9929096635         1.4960835936         2.6895306482         4.1039300879         4.1389259058
        4.0450023000       237.3957661414         2.9931892277         1.5037405742         2.7176013002         4.3033920606         4.1433377495
        4.0500063000       237.6487435654         2.9934690170         1.5062929011         2.7303606875         4.3698793848         4.1477530384
        4.0550036000       237.9012357366         2.9937482765         1.5011882474         2.7431200748         4.2369047363         4.1521598582
        4.0600054000       238.1538084846         2.9940276319         1.4986359205         2.7584313396         4.1704174121         4.1565680842
        4.0650050000       238.4061232261         2.9943067088         1.5088452279         2.7813982367         4.4363667090         4.1609718072
        4.0700051000       238.6583161429         2.9945856580         1.4986359205         2.7941576240         4.1704174121         4.1653734040
        4.0750028000       238.9102408912         2.9948643177         1.5037405742         2.8145726437         4.3033920606         4.1697703203
        4.0800058000       239.1622853342         2.9951431169         1.5037405742         2.8349876633         4.3033920606         4.1741693257
        4.0850063000       239.4140562355         2.9954216207         1.5062929011         2.8375395408         4.3698793848         4.1785635569
        4.0900039000       239.6655335419         2.9956998070         1.4986359205         2.8579545605         4.1704174121         4.1829526639
        4.0950020000       239.9168882882         2.9959778651         1.5088452279         2.8834733351         4.4363667090         4.1873396318
        4.1000067000       240.1684267767         2.9962561338         1.5062929011         2.8860252125         4.3698793848         4.1917298066
        4.1050082000       240.4196561477         2.9965340680         1.4986359205         2.9089921097         4.1704174121         4.1961145863
        4.1100061000       240.6705564545         2.9968116457         1.4935312668         2.9217514970         4.0374427637         4.2004936227
        4.1150053000       240.9213736323         2.9970891391         1.5165022085         2.9498221490         4.6358286817         4.2048712083
        4.1200038000       241.1720071580         2.9973664369         1.5088452279         2.9600296588         4.4363667090         4.2092455886
        4.1250049000       241.4226222577         2.9976437220         1.5037405742         2.9702371687         4.3033920606         4.2136196472
        4.1300037000       241.6729732143         2.9979207227         1.4986359205         2.9906521883         4.1704174121         4.2179890957
        4.1350055000       241.9233252814         2.9981977325         1.5062929011         3.0110672080         4.3698793848         4.2223585635
        4.1400031000       242.1733179765         2.9984743525         1.4960835936         3.0238265953         4.1039300879         4.2267217592
        4.1450156000       242.4239060994         2.9987516395         1.4960835936         3.0365859826         4.1039300879         4.2310953470
        4.1500056000       242.6732201088         2.9990275245         1.5037405742         3.0672085121         4.3033920606         4.2354466973
        4.1553356000       242.9393567643         2.9993220341         1.5088452279         3.0850716543         4.4363667090         4.2400916582
        4.1600085000       243.1725431252         2.9995800881         1.5011882474         3.0876235318         4.2369047363         4.2441615280
        4.1650041000       243.4216879091         2.9998558104         1.5037405742         3.1105904289         4.3033920606         4.2485099248
        4.1700033000       243.6708621842         3.0001315737         1.5088452279         3.1335573261         4.4363667090         4.2528588363
        4.1750280000       243.9211560392         3.0004085844         1.4986359205         3.1386610810         4.1704174121         4.2572272882
        4.1800051000       244.1689290066         3.0006828135         1.4909789399         3.1667317330         3.9709554394         4.2615517422
        4.1850702000       244.4209296242         3.0009617303         1.5165022085         3.1820429978         4.6358286817         4.2659499827
        4.1900085000       244.6664726841         3.0012335083         1.5088452279         3.1948023851         4.4363667090         4.2702355176
        4.1950053000       244.9147746436         3.0015083485         1.4960835936         3.2075617724         4.1039300879         4.2745692043
        4.2000074000       245.1631888484         3.0017833216         1.5190545354         3.2356324244         4.7023160059         4.2789048501
        4.2050035000       245.4111539984         3.0020578063         1.5037405742         3.2483918117         4.3033920606         4.2832326584
        4.2100058000       245.6592754372         3.0023324729         1.4935312668         3.2637030765         4.0374427637         4.2875631944
        4.2150053000       245.9071064453         3.0026068268         1.5190545354         3.2866699736         4.7023160059         4.2918886615
        4.2200061000       246.1548501781         3.0028810930         1.4935312668         3.2892218510         4.0374427637         4.2962126054
        4.2250051000       246.4023529317         3.0031551015         1.5165022085         3.3121887482         4.6358286817         4.3005323433
        4.2300043000       246.6497136443         3.0034289617         1.5522347845         3.3300518904         5.5666512209         4.3048496022
        4.2350081000       246.8971496588         3.0037029143         1.5062929011         3.3428112777         4.3698793848         4.3091681753
