% Potentiometer Recording  5.0 s
% Vg_offset=1.338567V  K_gimbal=26.049690
% Fs=200 Hz  samples=1001

Time[s]              Vg[V]                Pot[V]               Omega[rad/s]        
        2.6204059000         1.3378393285         2.5440736330        -0.0189488874
        2.6254257000         1.3454963091         2.5517292654         0.1805130853
        2.6304223000         1.3378393285         2.5440736330        -0.0189488874
        2.6355365000         1.3378393285         2.5440736330        -0.0189488874
        2.6404385000         1.3378393285         2.5491773879        -0.0189488874
        2.6453946000         1.3454963091         2.5491773879         0.1805130853
        2.6504088000         1.3301823480         2.5389698781        -0.2184108601
        2.6553873000         1.3403916554         2.5440736330         0.0475384368
        2.6604264000         1.3454963091         2.5517292654         0.1805130853
        2.6654182000         1.3327346748         2.5364180006        -0.1519235359
        2.6704247000         1.3378393285         2.5415217556        -0.0189488874
        2.6754041000         1.3429439823         2.5491773879         0.1140257610
        2.6804070000         1.3327346748         2.5389698781        -0.1519235359
        2.6854289000         1.3378393285         2.5466255105        -0.0189488874
        2.6904248000         1.3454963091         2.5491773879         0.1805130853
        2.6954174000         1.3327346748         2.5364180006        -0.1519235359
        2.7005633000         1.3378393285         2.5440736330        -0.0189488874
        2.7054199000         1.3327346748         2.5389698781        -0.1519235359
        2.7104158000         1.3454963091         2.5517292654         0.1805130853
        2.7154286000         1.3378393285         2.5440736330        -0.0189488874
        2.7205045000         1.3403916554         2.5440736330         0.0475384368
        2.7254644000         1.3480486360         2.5440736330         0.2470004095
        2.7306666000         1.3608102703         2.5517292654         0.5794370306
        2.7354047000         1.3403916554         2.5389698781         0.0475384368
        2.7404094000         1.3454963091         2.5517292654         0.1805130853
        2.7454991000         1.3378393285         2.5491773879        -0.0189488874
        2.7504044000         1.3327346748         2.5415217556        -0.1519235359
        2.7553967000         1.3429439823         2.5491773879         0.1140257610
        2.7603965000         1.3327346748         2.5389698781        -0.1519235359
        2.7654063000         1.3327346748         2.5364180006        -0.1519235359
        2.7705249000         1.3378393285         2.5466255105        -0.0189488874
        2.7755007000         1.3327346748         2.5364180006        -0.1519235359
        2.7804986000         1.3327346748         2.5389698781        -0.1519235359
        2.7853979000         1.3454963091         2.5517292654         0.1805130853
        2.7904234000         1.3429439823         2.5491773879         0.1140257610
        2.7954943000         1.3454963091         2.5491773879         0.1805130853
        2.8004034000         1.3352870017         2.5466255105        -0.0854362116
        2.8054130000         1.3378393285         2.5440736330        -0.0189488874
        2.8104130000         1.3352870017         2.5466255105        -0.0854362116
        2.8154019000         1.3327346748         2.5389698781        -0.1519235359
        2.8204239000         1.3327346748         2.5364180006        -0.1519235359
        2.8253910000         1.3352870017         2.5389698781        -0.0854362116
        2.8303930000         1.3659149240         2.5466255105         0.7124116791
        2.8354165000         1.3378393285         2.5440736330        -0.0189488874
        2.8403952000         1.3327346748         2.5389698781        -0.1519235359
        2.8453992000         1.3327346748         2.5389698781        -0.1519235359
        2.8504885000         1.3378393285         2.5364180006        -0.0189488874
        2.8553865000         1.3378393285         2.5440736330        -0.0189488874
        2.8604010000         1.3327346748         2.5389698781        -0.1519235359
        2.8653880000         1.3352870017         2.5440736330        -0.0854362116
        2.8704159000         1.3378393285         2.5440736330        -0.0189488874
        2.8753966000         1.3352870017         2.5466255105        -0.0854362116
        2.8803844000         1.3454963091         2.5491773879         0.1805130853
        2.8853900000         1.3378393285         2.5491773879        -0.0189488874
        2.8904958000         1.3301823480         2.5440736330        -0.2184108601
        2.8954871000         1.3454963091         2.5517292654         0.1805130853
        2.9004282000         1.3429439823         2.5466255105         0.1140257610
        2.9054467000         1.3608102703         2.5440736330         0.5794370306
        2.9104447000         1.3327346748         2.5389698781        -0.1519235359
        2.9154491000         1.3301823480         2.5364180006        -0.2184108601
        2.9204252000         1.3378393285         2.5440736330        -0.0189488874
        2.9254206000         1.3378393285         2.5440736330        -0.0189488874
        2.9304236000         1.3327346748         2.5389698781        -0.1519235359
        2.9354014000         1.3378393285         2.5466255105        -0.0189488874
        2.9403864000         1.3327346748         2.5364180006        -0.1519235359
        2.9454005000         1.3352870017         2.5517292654        -0.0854362116
        2.9504249000         1.3378393285         2.5389698781        -0.0189488874
        2.9553904000         1.3454963091         2.5466255105         0.1805130853
        2.9603951000         1.3327346748         2.5389698781        -0.1519235359
        2.9654137000         1.3403916554         2.5440736330         0.0475384368
        2.9704975000         1.3352870017         2.5440736330        -0.0854362116
        2.9755201000         1.3327346748         2.5389698781        -0.1519235359
        2.9804545000         1.3301823480         2.5415217556        -0.2184108601
        2.9854119000         1.3378393285         2.5440736330        -0.0189488874
        2.9904389000         1.3327346748         2.5389698781        -0.1519235359
        2.9954591000         1.3378393285         2.5415217556        -0.0189488874
        3.0004923000         1.3378393285         2.5440736330        -0.0189488874
        3.0054977000         1.3429439823         2.5517292654         0.1140257610
        3.0104879000         1.3429439823         2.5517292654         0.1140257610
        3.0154192000         1.3378393285         2.5440736330        -0.0189488874
        3.0204320000         1.3454963091         2.5491773879         0.1805130853
        3.0255134000         1.3429439823         2.5440736330         0.1140257610
        3.0304816000         1.3403916554         2.5440736330         0.0475384368
        3.0354272000         1.3352870017         2.5517292654        -0.0854362116
        3.0406894000         1.3327346748         2.5364180006        -0.1519235359
        3.0455418000         1.3378393285         2.5389698781        -0.0189488874
        3.0513965000         1.3454963091         2.5517292654         0.1805130853
        3.0555736000         1.3352870017         2.5466255105        -0.0854362116
        3.0607702000         1.3378393285         2.5440736330        -0.0189488874
        3.0654973000         1.3352870017         2.5440736330        -0.0854362116
        3.0704239000         1.3327346748         2.5364180006        -0.1519235359
        3.0754274000         1.3301823480         2.5389698781        -0.2184108601
        3.0805142000         1.3327346748         2.5389698781        -0.1519235359
        3.0854216000         1.3403916554         2.5440736330         0.0475384368
        3.0905134000         1.3327346748         2.5389698781        -0.1519235359
        3.0954572000         1.3327346748         2.5389698781        -0.1519235359
        3.1004185000         1.3352870017         2.5440736330        -0.0854362116
        3.1054315000         1.3378393285         2.5440736330        -0.0189488874
        3.1104196000         1.3301823480         2.5389698781        -0.2184108601
        3.1154645000         1.3327346748         2.5364180006        -0.1519235359
        3.1204266000         1.3557056165         2.5440736330         0.4464623822
        3.1254682000         1.3327346748         2.5389698781        -0.1519235359
        3.1304210000         1.3301823480         2.5415217556        -0.2184108601
        3.1354279000         1.3327346748         2.5389698781        -0.1519235359
        3.1404115000         1.3378393285         2.5440736330        -0.0189488874
        3.1454764000         1.3352870017         2.5440736330        -0.0854362116
        3.1504046000         1.3429439823         2.5517292654         0.1140257610
        3.1554203000         1.3429439823         2.5517292654         0.1140257610
        3.1604198000         1.3378393285         2.5440736330        -0.0189488874
        3.1654298000         1.3327346748         2.5389698781        -0.1519235359
        3.1704232000         1.3454963091         2.5491773879         0.1805130853
        3.1754881000         1.3378393285         2.5415217556        -0.0189488874
        3.1805113000         1.3327346748         2.5415217556        -0.1519235359
        3.1854917000         1.3454963091         2.5517292654         0.1805130853
        3.1905090000         1.3403916554         2.5440736330         0.0475384368
        3.1955116000         1.3608102703         2.5389698781         0.5794370306
        3.2004170000         1.3429439823         2.5517292654         0.1140257610
        3.2054261000         1.3454963091         2.5491773879         0.1805130853
        3.2104050000         1.3454963091         2.5517292654         0.1805130853
        3.2153946000         1.3429439823         2.5440736330         0.1140257610
        3.2204351000         1.3429439823         2.5491773879         0.1140257610
        3.2255673000         1.3301823480         2.5389698781        -0.2184108601
        3.2305173000         1.3429439823         2.5517292654         0.1140257610
        3.2354064000         1.3327346748         2.5389698781        -0.1519235359
        3.2404180000         1.3327346748         2.5389698781        -0.1519235359
        3.2454966000         1.3327346748         2.5389698781        -0.1519235359
        3.2504856000         1.3327346748         2.5415217556        -0.1519235359
