% K_lin=8.298800  p_cw=[-3.546300 37.820400 -77.140100]  p_ccw=[2.942800 3.999600 -23.482400]
Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]             Omega[rad/s]           Omega_target
        0.6350043000         0.5080034400         2.9886280007         1.4680079982         4.9734609740         3.4038185638         4.2158189479
        0.6400034000         0.5120027200         2.9906254055         1.4654556714         4.9785647289         3.3373312396         4.2490081727
        0.6450412000         0.5160329600         2.9926399980         1.4731126519         4.9938759937         3.5367932122         4.2824543284
        0.6500027000         0.5200021600         2.9946257753         1.4807696325         5.0066353810         3.7362551849         4.3153939254
        0.6550024000         0.5240019200         2.9966285495         1.4782173056         5.0040835035         3.6697678607         4.3485871337
        0.6600034000         0.5280027200         2.9986335639         1.4782173056         5.0066353810         3.6697678607         4.3817889727
        0.6650035000         0.5320028000         3.0006399411         1.4782173056         5.0040835035         3.6697678607         4.4149848366
        0.6700033000         0.5360026400         3.0026479256         1.4731126519         4.9989797486         3.5367932122         4.4481787088
        0.6750027000         0.5400021600         3.0046574814         1.4807696325         5.0015316260         3.7362551849         4.4813699254
        0.6800126000         0.5440100800         3.0066729997         1.4807696325         5.0066353810         3.7362551849         4.5146308519
        0.6850067000         0.5480053600         3.0086839015         1.4756649788         4.9964278711         3.6032805365         4.5477868816
        0.6900029000         0.5520023200         3.0106973917         1.4833219594         5.0015316260         3.8027425091         4.5809568532
        0.6950036000         0.5560028800         3.0127144454         1.4858742862         1.0997109912         3.8692298334         4.6141567005
        0.7000027000         0.5600021600         3.0147326085         1.5062929011         1.1124703785         4.4011284272         4.6473459254
        0.7050033000         0.5640026400         3.0167531368         1.4884266131         1.1124703785         3.9357171576         4.6805451088
        0.7100031000         0.5680024800         3.0187751060         1.4858742862         1.1099185011         3.8692298334         4.7137389810
        0.7150028000         0.5720022400         3.0207988033         1.4858742862         0.0024036839         3.8692298334         4.7469321893
        0.7200035000         0.5760028000         3.0228246792         1.4884266131         0.0075074388         3.9357171576         4.7801320366
        0.7250034000         0.5800027200         3.0248520092         1.4884266131        -0.0027000711         3.9357171576         4.8133265727
        0.7300040000         0.5840032000         3.0268814061         1.4858742862         0.0075074388         3.8692298334         4.8465257562
        0.7350043000         0.5880034400         3.0289124690         1.4960835936        -0.0001481936         4.1351791303         4.8797229479
        0.7400036000         0.5920028800         3.0309449176         1.5011882474         0.0024036839         4.2681537787         4.9129135005
        0.7450024000         0.5960019200         3.0329789592         1.4960835936         0.0100593162         4.1351791303         4.9461007337
        0.7500080000         0.6000064000         3.0350175724         1.5113975548         0.0126111937         4.5341030756         4.9793331123
        0.7550086000         0.6040068800         3.0370559571         1.4960835936         0.0177149486         4.1351791303         5.0125322957
        0.7600039000         0.6080031200         3.0390939903         1.5062929011         0.0381299683         4.4011284272         5.0456962922
        0.7650033000         0.6120026400         3.0411355114         1.5011882474         0.0457856007         4.2681537787         5.0788875088
        0.7700028000         0.6160022400         3.0431788939         1.4986359205         0.0636487429         4.2016664545         5.1120793893
        0.7750022000         0.6200017600         3.0452240612         1.5088452279         0.0840637625         4.4676157514         5.1452706059
        0.7800031000         0.6240024800         3.0472716733         1.4909789399         0.0942712724         4.0022044818         5.1784717810
        0.7850060000         0.6280048000         3.0493219418         1.4986359205         0.1095825371         4.2016664545         5.2116862342
        0.7900052000         0.6320041600         3.0513725349         1.4986359205         0.1351013117         4.2016664545         5.2448761230
        0.7950026000         0.6360020800         3.0534242337         1.5088452279         0.1504125765         4.4676157514         5.2780540615
        0.8000025000         0.6400020000         3.0554788091         1.4960835936         0.1682757187         4.1351791303         5.3112485976
        0.8050028000         0.6440022400         3.0575354048         1.4960835936         0.1784832285         4.1351791303         5.3444457893
        0.8100044000         0.6480035200         3.0595943968         1.5088452279         0.2040020031         4.4676157514         5.3776516118
        0.8150025000         0.6520020000         3.0616538130         1.5113975548         0.2269689002         4.5341030756         5.4108341976
        0.8200044000         0.6560035200         3.0637166666         1.5139498816         0.2448320425         4.6005903999         5.4440420118
        0.8250057000         0.6600045600         3.0657811498         1.5062929011         0.2550395523         4.4011284272         5.4772458425
        0.8300031000         0.6640024800         3.0678459031         1.5113975548         0.2754545720         4.5341030756         5.5104237810
        0.8350027000         0.6680021600         3.0699134508         1.5088452279         0.2907658367         4.4676157514         5.5436163254
        0.8400037000         0.6720029600         3.0719834695         1.5139498816         0.3137327338         4.6005903999         5.5768181644
        0.8450036000         0.6760028800         3.0740549297         1.5165022085         0.3315958761         4.6670777241         5.6100127005
        0.8500026000         0.6800020800         3.0761279183         1.5011882474         0.3366996310         4.2681537787         5.6432012615
        0.8550028000         0.6840022400         3.0782033116         1.5190545354         0.3596665281         4.7335650483         5.6763977893
        0.8600451000         0.6880360800         3.0802981157         1.5113975548         0.3775296703         4.5341030756         5.7098738207
        0.8650076000         0.6920060800         3.0823616715         1.5062929011         0.3902890576         4.4011284272         5.7428200567
        0.8700034000         0.6960027200         3.0844409879         1.5113975548         0.4107040773         4.5341030756         5.7759873727
        0.8750025000         0.7000020000         3.0865236048         1.5139498816         0.4336709744         4.6005903999         5.8091765976
        0.8800030000         0.7040024000         3.0886087388         1.5190545354         0.4489822392         4.7335650483         5.8423751171
        0.8850034000         0.7080027200         3.0906957705         1.5216068622         0.4796047687         4.8000523725         5.8755729727
        0.8900026000         0.7120020800         3.0927842456         1.5216068622         0.4847085236         4.8000523725         5.9087628615
        0.8950040000         0.7160032000         3.0948755904         1.5267115159         0.5153310531         4.9330270210         5.9419673562
        0.9000025000         0.7200020000         3.0969676774         1.5241591891         0.5306423179         4.8665396968         5.9751525976
        0.9050028000         0.7240022400         3.0990624787         1.5165022085         0.5459535826         4.6670777241         6.0083497893
        0.9100024000         0.7280019200         3.1011589530         1.5369208233         0.5740242347         5.1989763179         6.0415423337
        0.9150024000         0.7320019200         3.1032575670         1.5267115159         0.5842317445         4.9330270210         6.0747375337
        0.9200024000         0.7360019200         3.1053581586         1.5190545354         0.6020948867         4.7335650483         6.1079327337
        0.9250219000         0.7400175200         3.1074689374         1.5267115159         0.6225099064         4.9330270210         6.1412573950
        0.9300025000         0.7440020000         3.1095653393         1.5343684965         0.6429249261         5.1324889937         6.1743237976
        0.9350028000         0.7480022400         3.1116720239         1.5369208233         0.6684437007         5.1989763179         6.2075209893
        0.9400026000         0.7520020800         3.1137804981         1.5420254771         0.6863068429         5.3319509664         6.2407148615
        0.9450045000         0.7560036000         3.1158918648         1.5267115159         0.6939624752         4.9330270210         6.2739226757
        0.9500027000         0.7600021600         3.1180036806         1.5318161696         0.7220331273         5.0660016695         6.3071059254
        0.9550027000         0.7640021600         3.1201182740         1.5420254771         0.7398962695         5.3319509664         6.3403011254
        0.9600035000         0.7680028000         3.1222352294         1.5394731502         0.7603112892         5.2654636421         6.3735016366
        0.9650156000         0.7720124800         3.1243590048         1.5369208233         0.7807263088         5.1989763179         6.4067771690
        0.9700088000         0.7760070400         3.1264768050         1.5318161696         0.7985894511         5.0660016695         6.4399272236
        0.9750043000         0.7800034400         3.1285976172         1.5369208233         0.8190044707         5.1989763179         6.4730925479
        0.9800051000         0.7840040800         3.1307227257         1.5394731502         0.8419713679         5.2654636421         6.5062930591
        0.9850031000         0.7880024800         3.1328486958         1.5496824576         0.8725938974         5.5314129390         6.5394749810
        0.9900056000         0.7920044800         3.1349786397         1.5420254771         0.8853532847         5.3319509664         6.5726867786
        0.9950046000         0.7960036800         3.1371091578         1.5598917651         0.9083201818         5.7973622359         6.6058753396
        1.0000040000         0.8000032000         3.1392419163         1.5471301308         0.9338389564         5.4649256148         6.6390665562
        1.0050030000         0.8040024000         3.1413765800         1.5598917651         0.9465983437         5.7973622359         6.6722551171
        1.0100381000         0.8080304800         3.1435287634         1.5547871113         0.9695652408         5.6643875875         6.7056833474
        1.0150029000         0.8120023200         3.1456529721         1.5598917651         0.9950840154         5.7973622359         6.7386448532
        1.0200024000         0.8160019200         3.1477941146         1.5445778039         1.0103952802         5.3984382906         6.7718367337
        1.0250037000         0.8200029600         3.1499381297         1.5675487456         1.0384659322         5.9968242086         6.8050405645
        1.0300190000         0.8240152000         3.1520902637         1.5547871113         1.0588809519         5.6643875875         6.8383373418
        1.0350040000         0.8280032000         3.1542315028         1.5598917651         1.0741922166         5.7973622359         6.8714329562
        1.0400026000         0.8320020800         3.1563806992         1.5522347845         1.0971591138         5.5979002633         6.9046188615
        1.0450266000         0.8360212800         3.1585429577         1.5547871113         1.1201260109         5.6643875875         6.9379733985
        1.0501247000         0.8400997600         3.1607393086         1.5573394382         1.1456447855         5.7308749117         6.9718198883
        1.0550025000         0.8440020000         3.1628428318         1.5522347845         1.1660598052         5.5979002633         7.0042037976
        1.0600036000         0.8480028800         3.1650016470         1.5803103799         1.1992342121         6.3292608298         7.0374063005
        1.0650031000         0.8520024800         3.1671619230         1.5701010725         1.2196492318         6.0633115329         7.0705981810
        1.0701046000         0.8560836800         3.1693684970         1.5624440919         1.2298567416         5.8638495602         7.1044672436
        1.0750033000         0.8600026400         3.1714894737         1.5726533993         1.2604792711         6.1297988571         7.1369899088
        1.0800027000         0.8640021600         3.1736561988         1.5701010725         1.2834461683         6.0633115329         7.1701811254
        1.0850147000         0.8680117600         3.1758305699         1.5624440919         1.3013093105         5.8638495602         7.2034559939
        1.0900028000         0.8720022400         3.1779967512         1.5649964188         1.3242762076         5.9303368844         7.2365721893
        1.0950035000         0.8760028000         3.1801705929         1.5701010725         1.3548987371         6.0633115329         7.2697720366
        1.1000050000         0.8800040000         3.1823469808         1.5522347845         1.3727618793         5.5979002633         7.3029771952
