% K_lin=2.307700  p_cw=[-0.099100 16.403300 -43.799200]  p_ccw=[-1.573900 20.596500 -38.892000]
Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]             Omega[rad/s]           Omega_target
       98.8050133000         0.5974933500         2.8016241237         1.3990951731         0.9465983437         1.5870524293         1.3788354038
       98.8100166000         0.5949917000         2.8012598482         1.3965428462         0.9517020986         1.5205651051         1.3730623461
       98.8150098000         0.5924951000         2.8008963098         1.3990951731         0.9644614859         1.5870524293         1.3673009423
       98.8200126000         0.5899937000         2.8005320740         1.4016475000         0.9695652408         1.6535397535         1.3615284615
       98.8250139000         0.5874930500         2.8001679491         1.3965428462         0.9695652408         1.5205651051         1.3557577115
       98.8300286000         0.5849857000         2.7998028503         1.4067521537         0.9848765056         1.7865144020         1.3499714999
       98.8350149000         0.5824925500         2.7994398207         1.4067521537         0.9797727506         1.7865144020         1.3442180576
       98.8400262000         0.5799869000         2.7990749728         1.4041998268         0.9950840154         1.7200270777         1.3384357691
       98.8450094000         0.5774953000         2.7987121723         1.3990951731         0.9925321379         1.5870524293         1.3326859038
       98.8500264000         0.5749868000         2.7983469126         1.3888858657         0.9976358929         1.3211031324         1.3268970384
       98.8551339000         0.5724330500         2.7979750659         1.3888858657         1.0001877703         1.3211031324         1.3210037495
       98.8600104000         0.5699948000         2.7976200385         1.3914381925         1.0052915252         1.3875904566         1.3153770000
       98.8650144000         0.5674928000         2.7972557303         1.3990951731         1.0231546675         1.5870524293         1.3096031346
       98.8700168000         0.5649916000         2.7968915402         1.3990951731         1.0206027900         1.5870524293         1.3038311153
       98.8750123000         0.5624938500         2.7965278542         1.3990951731         1.0333621773         1.5870524293         1.2980670576
       98.8800283000         0.5599858500         2.7961626773         1.3965428462         1.0384659322         1.5205651051         1.2922793460
       98.8850136000         0.5574932000         2.7957997371         1.3914381925         1.0359140547         1.3875904566         1.2865270576
       98.8900251000         0.5549874500         2.7954348912         1.3914381925         1.0435696871         1.3875904566         1.2807445384
       98.8950085000         0.5524957500         2.7950720927         1.4067521537         1.0588809519         1.7865144020         1.2749944423
       98.9000290000         0.5499855000         2.7947065948         1.3863335388         1.0537771970         1.2546158082         1.2692015384
       98.9050121000         0.5474939500         2.7943438214         1.4016475000         1.0690884617         1.6535397535         1.2634517884
       98.9100282000         0.5449859000         2.7939786473         1.3965428462         1.0716403392         1.5205651051         1.2576639614
       98.9150116000         0.5424942000         2.7936158553         1.3888858657         1.0818478490         1.3211031324         1.2519138653
       98.9200236000         0.5399882000         2.7932509829         1.3863335388         1.0767440941         1.2546158082         1.2461307691
       98.9250116000         0.5374942000         2.7928878594         1.3914381925         1.0843997265         1.3875904566         1.2403753653
