% Motor Triangle Wave Linearization Verification - Cycle Average
% Period      = 40.0 [sec]
% Cycles used = 3
% Fs          = 200 [Hz]
% N per cycle = 8000

Time[s]              Vcmd_ref_avg[V]      Omega_target_avg[rad/s] Omega_avg[rad/s]    
1.6350000000         0.8175074833         1.8865620193         1.4540777808        
1.6400000000         0.8200063833         1.8923287308         1.8086768434        
1.6450000000         0.8225250167         1.8981409809         1.8751641676        
1.6500000000         0.8250176000         1.9038931155         1.6978646363        
1.6550000000         0.8275071500         1.9096382500         1.7200270777        
1.6600000000         0.8300077000         1.9154087693         1.8751641676        
1.6650000000         0.8325095667         1.9211823270         1.8308392848        
1.6700000000         0.8350089667         1.9269501924         1.7200270777        
1.6750000000         0.8375072667         1.9327155193         1.8308392848        
1.6800000000         0.8400068833         1.9384838847         1.6978646363        
1.6850000000         0.8425088833         1.9442577501         1.7643519606        
1.6900000000         0.8450065667         1.9500216539         1.8086768434        
1.6950000000         0.8475096167         1.9557979424         1.8530017262        
1.7000000000         0.8514702167         1.9649378190         1.8973266090        
1.7050000000         0.8536036000         1.9698610277         1.5870524293        
1.7100000000         0.8555576000         1.9743702735         1.8086768434        
1.7150000000         0.8575083500         1.9788720193         1.7643519606        
1.7200000000         0.8600054000         1.9846344616         1.7643519606        
1.7250000000         0.8625075833         1.9904087501         1.7865144020        
1.7300000000         0.8650073833         1.9961775385         1.8973266090        
1.7350000000         0.8675101500         2.0019531732         1.7643519606        
1.7400000000         0.8700072333         2.0077156924         1.8530017262        
1.7450000000         0.8725105333         2.0134925578         1.7865144020        
1.7500000000         0.8750065500         2.0192526154         1.6978646363        
1.7550000000         0.8775107333         2.0250315193         1.8086768434        
1.7600000000         0.8800082667         2.0307950770         1.7421895192        
1.7650000000         0.8825085667         2.0365650193         1.7421895192        
1.7700000000         0.8850075833         2.0423320001         1.7865144020        
1.7750000000         0.8875065667         2.0480989039         1.8086768434        
1.7800000000         0.8900054333         2.0538655385         1.8530017262        
1.7850000000         0.8925060833         2.0596362885         1.8973266090        
1.7900000000         0.8950065500         2.0654066155         1.8308392848        
1.7950000000         0.8975085333         2.0711804424         1.8973266090        
1.8000000000         0.9000061000         2.0769440770         1.8751641676        
1.8050000000         0.9025087333         2.0827194039         1.9416514918        
1.8100000000         0.9050054500         2.0884810770         1.6313773121        
1.8150000000         0.9075086000         2.0942575962         1.7865144020        
1.8200000000         0.9100052833         2.1000191924         1.6757021949        
1.8250000000         0.9125080833         2.1057949039         1.6535397535        
1.8300000000         0.9150088667         2.1115659616         1.8308392848        
1.8350000000         0.9175100000         2.1173378270         1.7865144020        
1.8400000000         0.9200053167         2.1230962693         1.7865144020        
1.8450000000         0.9225043167         2.1288632116         1.9416514919        
1.8500000000         0.9250053667         2.1346348847         1.9416514918        
1.8550000000         0.9275165500         2.1404299424         1.8751641676        
1.8600000000         0.9300044333         2.1461712308         1.8086768434        
1.8650000000         0.9325065833         2.1519454424         1.8530017262        
1.8700000000         0.9350249833         2.1577571540         1.8973266090        
1.8750000000         0.9375084667         2.1634882885         1.8086768434        
1.8800000000         0.9400058833         2.1692515770         1.8530017262        
1.8850000000         0.9425064333         2.1750220962         1.8308392848        
1.8900000000         0.9450073667         2.1807935001         1.8530017262        
1.8950000000         0.9475626667         2.1866903659         1.8086768434        
1.9000000000         0.9500080500         2.1923335770         1.7643519606        
1.9050000000         0.9525075500         2.1981016731         1.8530017262        
1.9100000000         0.9550105333         2.2038778078         2.2519256715        
1.9150000000         0.9575101000         2.2096460578         1.8973266090        
1.9200000000         0.9600170000         2.2154312309         2.1189510231        
1.9250000000         0.9625091500         2.2211823655         1.8973266090        
1.9300000000         0.9650064667         2.2269454231         1.9638139332        
1.9350000000         0.9675077333         2.2327175962         1.9638139333        
1.9400000000         0.9700541167         2.2385938850         2.0303012575        
1.9450000000         0.9725078833         2.2442564424         1.8530017262        
1.9500000000         0.9750123833         2.2500360770         1.9638139332        
1.9550000000         0.9775067667         2.2557923654         1.8751641676        
1.9600000000         0.9800085500         2.2615657308         1.9638139333        
1.9650000000         0.9825070833         2.2673315962         2.1411134645        
1.9700000000         0.9850091000         2.2731055001         2.0967885817        
1.9750000000         0.9875072333         2.2788704423         1.9194890504        
1.9800000000         0.9900088333         2.2846433847         2.0746261403        
1.9850000000         0.9925070833         2.2904085962         1.8086768434        
1.9900000000         0.9950088167         2.2961818462         2.0524636989        
1.9950000000         0.9975077833         2.3019487116         2.0746261403        
2.0000000000         1.0000453333         2.3078046157         2.1189510231        
2.0050000000         1.0025068833         2.3134851347         2.0746261403        
2.0100000000         1.0050066167         2.3192537693         1.8973266090        
2.0150000000         1.0075044000         2.3250179039         2.0303012575        
2.0200000000         1.0100604333         2.3309164620         2.1411134645        
2.0250000000         1.0125065833         2.3365614424         2.1632759059        
2.0300000000         1.0150046833         2.3423263077         2.1854383473        
2.0350000000         1.0175062333         2.3480991347         2.2076007887        
2.0400000000         1.0200401167         2.3539465772         2.1189510231        
2.0450000000         1.0225083667         2.3596425577         2.1854383473        
2.0500000000         1.0250680167         2.3655494621         1.9194890504        
2.0550000000         1.0275077167         2.3711795578         1.9194890504        
2.0600000000         1.0300598667         2.3770691543         2.1854383473        
2.0650000000         1.0325046333         2.3827109423         2.0967885817        
2.0700000000         1.0350047000         2.3884803462         2.1189510231        
2.0750000000         1.0375039000         2.3942477500         2.0524636989        
2.0800000000         1.0400049500         2.4000194231         2.2297632301        
2.0850000000         1.0425222833         2.4058286732         2.2076007887        
2.0900000000         1.0450105167         2.4115707693         2.0967885817        
2.0950000000         1.0475185667         2.4173585963         2.0746261403        
2.1000000000         1.0556709167         2.4361717744         2.2740881130        
2.1050000000         1.0597960000         2.4456912292         2.0967885817        
2.1100000000         1.0662342167         2.4605487018         2.2962505544        
2.1150000000         1.0723067667         2.4745623254         2.2519256715        
2.1200000000         1.0777013000         2.4870112900         2.3627378786        
2.1250000000         1.0813732333         2.4954850106         2.2740881130        
2.1300000000         1.0873323667         2.5092369025         2.2297632302        
2.1350000000         1.0922253833         2.5205285171         2.2740881130        
2.1400000000         1.0975371333         2.5327864426         2.3405754372        
2.1450000000         1.1035555167         2.5466750658         2.4070627614        
2.1500000000         1.1077226500         2.5562915594         2.3627378786        
2.1550000000         1.1096637333         2.5607709974         2.4292252028        
2.1600000000         1.1115679000         2.5651652428         2.3849003200        
2.1650000000         1.1134806833         2.5695793729         2.1854383473        
2.1700000000         1.1153785667         2.5739591183         2.2519256716        
2.1750000000         1.1172893500         2.5783686330         2.4070627614        
2.1800000000         1.1192099500         2.5828008016         2.4957125271        
2.1850000000         1.1211288500         2.5872290471         2.3627378786        
2.1900000000         1.1230288167         2.5916136002         2.2519256716        
2.1950000000         1.1249173500         2.5959717686         2.2962505544        
2.2000000000         1.1268405833         2.6004100142         2.2962505544        
2.2050000000         1.1287461000         2.6048073750         2.3849003200        
2.2100000000         1.1306525333         2.6092068512         2.3405754372        
2.2150000000         1.1325602500         2.6136092890         2.2962505544        
2.2200000000         1.1344611833         2.6179960728         2.2519256716        
2.2250000000         1.1363748833         2.6224123183         2.3405754372        
2.2300000000         1.1382994667         2.6268536792         2.3405754372        
2.2350000000         1.1402083333         2.6312587708         2.2962505544        
2.2400000000         1.1421172667         2.6356640163         2.3184129958        
2.2450000000         1.1440227333         2.6400612617         2.2962505544        
2.2500000000         1.1459106833         2.6444180839         2.4292252028        
2.2550000000         1.1478288333         2.6488445987         2.3184129958        
2.2600000000         1.1497707167         2.6533258829         2.4292252028        
2.2650000000         1.1517365833         2.6578625134         2.2962505544        
2.2700000000         1.1536051333         2.6621745662         2.4735500856        
2.2750000000         1.1555004667         2.6665484269         2.3849003200        
2.2800000000         1.1574121333         2.6709599801         2.3405754372        
2.2850000000         1.1593153833         2.6753521101         2.3627378786        
2.2900000000         1.1613346500         2.6800119718         2.4735500857        
2.2950000000         1.1632469167         2.6844249096         2.3405754372        
2.3000000000         1.1651324167         2.6887760779         2.3627378786        
2.3050000000         1.1670170333         2.6931252078         2.4070627614        
2.3100000000         1.1689168667         2.6975094532         2.4292252028        
2.3150000000         1.1708142667         2.7018880832         2.6951744997        
2.3200000000         1.1727220667         2.7062907133         2.4735500857        
2.3250000000         1.1746755833         2.7107988437         2.3184129958        
2.3300000000         1.1765787833         2.7151908583         2.3627378786        
2.3350000000         1.1784644833         2.7195424882         2.2297632301        
