% K_lin=7.165500  p_cw=[-3.083600 35.229700 -73.320600]  p_ccw=[2.523100 5.992400 -26.429300]
Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]             Omega[rad/s]           Omega_target
        3.3200027000        -0.6560021600         1.9782604750         1.1795950634         0.7909338187        -4.0899677498        -4.7005834775
        3.3250034000        -0.6600027200         1.9764655476         1.1821473903         0.7756225539        -4.0234804256        -4.7292494902
        3.3300029000        -0.6640023200         1.9746700324         1.1821473903         0.7654150441        -4.0234804256        -4.7579086240
        3.3350027000        -0.6680021600         1.9728733893         1.1693857560         0.7373443920        -4.3559170467        -4.7865694775
        3.3400021000        -0.6720016800         1.9710758681         1.1770427366         0.7245850047        -4.1564550740        -4.8152280381
        3.3450075000        -0.6760060000         1.9692751642         1.1821473903         0.7143774949        -4.0234804256        -4.8439209930
        3.3500028000        -0.6800022400         1.9674770692         1.1770427366         0.6914105978        -4.1564550740        -4.8725560508
        3.3550025000        -0.6840020000         1.9656763637         1.1744904097         0.6760993330        -4.2229423983        -4.9012163310
        3.3600021000        -0.6880016800         1.9638746653         1.1744904097         0.6582361908        -4.2229423983        -4.9298760381
        3.3650019000        -0.6920015200         1.9620718641         1.1693857560         0.6352692937        -4.3559170467        -4.9585368916
        3.3700030000        -0.6960024000         1.9602675612         1.1642811023         0.6250617838        -4.4888916952        -4.9872051972
        3.3750020000        -0.7000016000         1.9584629819         1.1744904097         0.6071986416        -4.2229423983        -5.0158614648
        3.3800022000        -0.7040017600         1.9566569332         1.1693857560         0.5969911318        -4.3559170467        -5.0445246113
        3.3850021000        -0.7080016800         1.9548499550         1.1617287755         0.5663686023        -4.5553790194        -5.0731860381
        3.3900029000        -0.7120023200         1.9530416115         1.1693857560         0.5561610925        -4.3559170467        -5.1018526240
        3.3950018000        -0.7160014400         1.9512329139         1.1617287755         0.5434017052        -4.5553790194        -5.1305083183
        3.4000021000        -0.7200016800         1.9494226664         1.1693857560         0.5229866855        -4.3559170467        -5.1591720381
        3.4050053000        -0.7240042400         1.9476103228         1.1591764486         0.5102272982        -4.6218663436        -5.1878523817
        3.4100030000        -0.7280024000         1.9457989250         1.1617287755         0.4923641560        -4.5553790194        -5.2165011972
        3.4150042000        -0.7320033600         1.9439852098         1.1489671412         0.4617416265        -4.8878156405        -5.2451700761
        3.4200039000        -0.7360031200         1.9421709879         1.1642811023         0.4464303617        -4.4888916952        -5.2738303564
        3.4250024000        -0.7400019200         1.9403561495         1.1515194680         0.4362228519        -4.8213283163        -5.3024837578
        3.4300315000        -0.7440252000         1.9385291378         1.1693857560         0.4030484449        -4.3559170467        -5.3313125706
        3.4350019000        -0.7480015200         1.9367224012         1.1591764486         0.3902890576        -4.6218663436        -5.3598048916
        3.4400472000        -0.7520377600         1.9348873693         1.1464148143         0.3724259154        -4.9543029648        -5.3887265693
        3.4450016000        -0.7560012800         1.9330843487         1.1489671412         0.3443552634        -4.8878156405        -5.4171271719
        3.4500008000        -0.7600006400         1.9312639678         1.1438624875         0.3290439986        -5.0207902890        -5.4457845860
        3.4550037000        -0.7640029600         1.9294411753         1.1438624875         0.3111808564        -5.0207902890        -5.4744632099
        3.4600036000        -0.7680028800         1.9276184102         1.1515194680         0.2933177142        -4.8213283163        -5.5031246367
        3.4650030000        -0.7720024000         1.9257947603         1.1362055069         0.2703508170        -5.2202522617        -5.5317831972
        3.4700025000        -0.7760020000         1.9239700051         1.1413101606         0.2550395523        -5.0872776132        -5.5604423311
        3.4750017000        -0.7800013600         1.9221442887         1.1387578337         0.2346245326        -5.1537649374        -5.5890997451
        3.4800019000        -0.7840015200         1.9203171342         1.1540717949         0.2193132679        -4.7548409921        -5.6177628916
        3.4850022000        -0.7880017600         1.9184888683         1.1259961995         0.1861388609        -5.4862015586        -5.6464266113
        3.4900016000        -0.7920012800         1.9166598550         1.1464148143         0.1784832285        -4.9543029648        -5.6750851719
        3.4950016000        -0.7960012800         1.9148295437         1.1285485263         0.1453088216        -5.4197142343        -5.7037471718
        3.5000009000        -0.8000007200         1.9129984083         1.1438624875         0.1325494343        -5.0207902890        -5.7324051592
