Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]             Omega_out[deg/s]           Omega_target[deg/s]
        0.3950024000        24.8028112592         2.7524449628         1.3659149240         2.2659189900        40.9705602104        24.8028112592
        0.4000030000        25.1163959348         2.7528207558         1.3557056165         2.2557114802        25.7327879332        25.1163959348
        0.4050015000        25.4298334337         2.7531962729         1.3557056165         2.2582633576        25.7327879332        25.4298334337
        0.4100032000        25.7434559004         2.7535719122         1.3633625971         2.2633671125        37.1611171411        25.7434559004
        0.4150017000        26.0568618418         2.7539471930         1.3684672508         2.2710227449        44.7800032797        26.0568618418
        0.4200028000        26.3704147267         2.7543225508         1.3684672508         2.2761264998        44.7800032797        26.3704147267
        0.4250018000        26.6838196850         2.7546976327         1.3557056165         2.2684708674        25.7327879332        26.6838196850
        0.4300020000        26.9972834160         2.7550726864         1.3659149240         2.2786783773        40.9705602104        26.9972834160
        0.4350016000        27.3106928817         2.7554475768         1.3735719045         2.2863340097        52.3988894183        27.3106928817
        0.4400020000        27.6241356492         2.7558224087         1.3659149240         2.2761264998        40.9705602104        27.6241356492
        0.4450014000        27.9374986951         2.7561970474         1.3710195777         2.2837821322        48.5894463490        27.9374986951
        0.4500041000        28.2510513394         2.7565718147         1.3735719045         2.2888858871        52.3988894183        28.2510513394
        0.4550028000        28.5643358525         2.7569461640         1.3684672508         2.2888858871        44.7800032797        28.5643358525
        0.4600025000        28.8776654227         2.7573204696         1.3684672508         2.2965415195        44.7800032797        28.8776654227
        0.4650018000        29.1909521158         2.7576946268         1.3659149240         2.2914377646        40.9705602104        29.1909521158
        0.4700027000        29.5043210654         2.7580687851         1.3684672508         2.3016452744        44.7800032797        29.5043210654
        0.4750016000        29.8175464938         2.7584426751         1.3837812120         2.3041971519        67.6366616955        29.8175464938
        0.4800029000        30.1309039057         2.7588166260         1.3735719045         2.3067490293        52.3988894183        30.1309039057
        0.4850019000        30.4440986269         2.7591902862         1.3761242314         2.3169565392        56.2083324876        30.4440986269
        0.4900025000        30.7573748103         2.7595639473         1.3761242314         2.3220602941        56.2083324876        30.7573748103
        0.4950016000        31.0705380532         2.7599373776         1.3684672508         2.3169565392        44.7800032797        31.0705380532
        0.5000023000        31.3837823586         2.7603108085         1.3684672508         2.3195084166        44.7800032797        31.3837823586
        0.5050017000        31.6969258744         2.7606840236         1.3761242314         2.3297159265        56.2083324876        31.6969258744
        0.5100037000        32.0102126814         2.7610573138         1.3735719045         2.3322678039        52.3988894183        32.0102126814
        0.5150018000        32.3232354849         2.7614301940         1.3710195777         2.3322678039        48.5894463490        32.3232354849
        0.5200024000        32.6363949202         2.7618031419         1.3684672508         2.3322678039        44.7800032797        32.6363949202
        0.5250016000        32.9494465541         2.7621758664         1.3710195777         2.3373715588        48.5894463490        32.9494465541
        0.5300014000        33.2625154375         2.7625485166         1.3786765582         2.3450271912        60.0177755569        33.2625154375
        0.5350026000        33.5756514587         2.7629211520         1.3684672508         2.3424753138        44.7800032797        33.5756514587
        0.5400016000        33.8886290262         2.7632935045         1.3735719045         2.3475790687        52.3988894183        33.8886290262
        0.5450023000        34.2016921203         2.7636658645         1.3684672508         2.3501309461        44.7800032797        34.2016921203
        0.5500014000        34.5146339553         2.7640379862         1.3684672508         2.3475790687        44.7800032797        34.5146339553
        0.5550024000        34.8276734349         2.7644101302         1.3735719045         2.3552347011        52.3988894183        34.8276734349
        0.5600014000        35.1405662444         2.7647820061         1.3735719045         2.3526828236        52.3988894183        35.1405662444
        0.5650025000        35.4535688140         2.7651539189         1.3786765582         2.3577865785        60.0177755569        35.4535688140
        0.5700015000        35.7664180858         2.7655255564         1.3837812120         2.3756497207        67.6366616955        35.7664180858
        0.5750034000        36.0794267733         2.7658972900         1.3812288851         2.3782015982        63.8272186262        36.0794267733
        0.5800016000        36.3921816753         2.7662686294         1.3786765582         2.3756497207        60.0177755569        36.3921816753
        0.5850018000        36.7050392778         2.7666399979         1.3863335388         2.3858572306        71.4461047649        36.7050392778
        0.5900014000        37.0178367004         2.7670112025         1.3812288851         2.3833053531        63.8272186262        37.0178367004
        0.5950022000        37.3306863603         2.7673823767         1.3812288851         2.3909609855        63.8272186262        37.3306863603
        0.6000015000        37.6434191566         2.7677533202         1.3812288851         2.3935128629        63.8272186262        37.6434191566
        0.6050030000        37.9562663450         2.7681243073         1.3863335388         2.4037203728        71.4461047649        37.9562663450
        0.6100019000        38.2689274925         2.7684949820         1.3812288851         2.4037203728        63.8272186262        38.2689274925
        0.6150015000        38.5816088223         2.7688655890         1.3735719045         2.3986166179        52.3988894183        38.5816088223
        0.6200117000        38.8949292179         2.7692368619         1.3786765582         2.4062722502        60.0177755569        38.8949292179
        0.6250034000        39.2070687313         2.7696066443         1.3837812120         2.4164797601        67.6366616955        39.2070687313
        0.6300051000        39.5198093844         2.7699770479         1.3761242314         2.4139278826        56.2083324876        39.5198093844
        0.6350048000        39.8324006037         2.7703471837         1.3761242314         2.4215835150        56.2083324876        39.8324006037
        0.6400032000        40.1448859869         2.7707171035         1.3888858657         2.4317910248        75.2555478342        40.1448859869
        0.6450047000        40.4575404025         2.7710871330         1.3888858657         2.4394466572        75.2555478342        40.4575404025
        0.6500018000        40.7698948259         2.7714567172         1.3914381925         2.4445504121        79.0649909035        40.7698948259
        0.6550030000        41.0824803786         2.7718264848         1.3863335388         2.4445504121        71.4461047649        41.0824803786
        0.6600026000        41.3949405853         2.7721960143         1.3888858657         2.4419985347        75.2555478342        41.3949405853
        0.6650020000        41.7073627641         2.7725654090         1.3812288851         2.4496541670        63.8272186262        41.7073627641
        0.6700020000        42.0197967130         2.7729347282         1.3888858657         2.4649654318        75.2555478342        42.0197967130
        0.6750031000        42.3322734682         2.7733040087         1.3863335388         2.4649654318        71.4461047649        42.3322734682
        0.6800016000        42.6445616680         2.7736729772         1.3888858657         2.4675173092        75.2555478342        42.6445616680
        0.6850101000        42.9574482623         2.7740425635         1.3863335388         2.4675173092        71.4461047649        42.9574482623
        0.6900025000        43.2693026122         2.7744108419         1.3863335388         2.4802766965        71.4461047649        43.2693026122
        0.6950032000        43.5816487517         2.7747796126         1.3863335388         2.4802766965        71.4461047649        43.5816487517
        0.7000017000        43.8938306050         2.7751481009         1.3965428462         2.4981398388        86.6838770421        43.8938306050
        0.7050021000        44.2061040480         2.7755166092         1.3914381925         2.4930360838        79.0649909035        44.2061040480
        0.7100022000        44.5183314858         2.7758849752         1.3939905194         2.5032435937        82.8744339728        44.5183314858
        0.7150021000        44.8305189745         2.7762532062         1.3939905194         2.5083473486        82.8744339728        44.8305189745
        0.7200024000        45.1427037822         2.7766213465         1.3939905194         2.5134511035        82.8744339728        45.1427037822
        0.7250099000        45.4553101988         2.7769898963         1.3939905194         2.5211067359        82.8744339728        45.4553101988
        0.7300026000        45.7669646885         2.7773572367         1.4067521537         2.5313142457       101.9216493193        45.7669646885
        0.7350016000        46.0789842347         2.7777249204         1.3914381925         2.5287623683        79.0649909035        46.0789842347
        0.7400029000        46.3911189062         2.7780926529         1.3965428462         2.5364180006        86.6838770421        46.3911189062
        0.7450015000        46.7030564606         2.7784600665         1.3965428462         2.5440736330        86.6838770421        46.7030564606
        0.7500031000        47.0151524113         2.7788275802         1.3965428462         2.5466255105        86.6838770421        47.0151524113
        0.7550027000        47.3270945613         2.7791948265         1.4016475000         2.5517292654        94.3027631807        47.3270945613
        0.7600034000        47.6390761456         2.7795620330         1.3888858657         2.5542811429        75.2555478342        47.6390761456
        0.7650020000        47.9508973393         2.7799289649         1.4016475000         2.5670405302        94.3027631807        47.9508973393
        0.7700024000        48.2628012427         2.7802959084         1.4041998268         2.5772480400        98.1122062500        48.2628012427
        0.7750015000        48.5745942939         2.7806626360         1.3990951731         2.5772480400        90.4933201114        48.5745942939
        0.7800034000        48.8865320022         2.7810294483         1.3888858657         2.5849036724        75.2555478342        48.8865320022
        0.7850016000        49.1982088195         2.7813958687         1.3914381925         2.5823517949        79.0649909035        49.1982088195
        0.7900016000        49.5099675389         2.7817623004         1.3888858657         2.5874555498        75.2555478342        49.5099675389
        0.7950014000        49.8216832489         2.7821285967         1.4016475000         2.6053186920        94.3027631807        49.8216832489
        0.8000024000        50.1334430328         2.7824948603         1.3965428462         2.6078705695        86.6838770421        50.1334430328
        0.8050019000        50.4450783836         2.7828608933         1.4016475000         2.6180780793        94.3027631807        50.4450783836
        0.8100016000        50.7566950890         2.7832268201         1.4041998268         2.6231818342        98.1122062500        50.7566950890
        0.8150014000        51.0682867208         2.7835926335         1.3863335388         2.6155262019        71.4461047649        51.0682867208
        0.8200025000        51.3799278584         2.7839584211         1.4016475000         2.6308374666        94.3027631807        51.3799278584
        0.8250015000        51.6914064469         2.7843239343         1.3863335388         2.6282855892        71.4461047649        51.6914064469
        0.8300026000        52.0029839907         2.7846894802         1.3965428462         2.6384930990        86.6838770421        52.0029839907
        0.8350024000        52.3144484617         2.7850548101         1.3914381925         2.6384930990        79.0649909035        52.3144484617
        0.8400053000        52.6260737506         2.7854202454         1.3965428462         2.6461487314        86.6838770421        52.6260737506
        0.8450023000        52.9372990927         2.7857851290         1.4016475000         2.6640118736        94.3027631807        52.9372990927
        0.8500047000        53.2488280918         2.7861502857         1.3990951731         2.6640118736        90.4933201114        53.2488280918
        0.8550034000        53.5600938284         2.7865150514         1.3990951731         2.6691156285        90.4933201114        53.5600938284
        0.8600033000        53.8714012547         2.7868797837         1.4144091342         2.6818750158       113.3499785272        53.8714012547
        0.8650044000        54.1827501549         2.7872444823         1.3965428462         2.6767712609        86.6838770421        54.1827501549
        0.8700029000        54.4939037786         2.7876088703         1.3939905194         2.6818750158        82.8744339728        54.4939037786
        0.8750013000        54.8050175834         2.7879731299         1.3939905194         2.6869787707        82.8744339728        54.8050175834
        0.8800065000        55.1165207847         2.7883377637         1.4041998268         2.7048419129        98.1122062500        55.1165207847
        0.8850034000        55.4274734438         2.7887016718         1.3888858657         2.7022900355        75.2555478342        55.4274734438
        0.8900025000        55.7385288359         2.7890656189         1.3914381925         2.7073937904        79.0649909035        55.7385288359
        0.8950016000        56.0495498575         2.7894294448         1.3965428462         2.7176013002        86.6838770421        56.0495498575
        0.9000048000        56.3607913586         2.7897934477         1.3965428462         2.7201531777        86.6838770421        56.3607913586
        0.9050025000        56.6716559596         2.7901569292         1.4041998268         2.7354644424        98.1122062500        56.6716559596
        0.9100290000        56.9842767367         2.7905223831         1.3914381925         2.7303606875        79.0649909035        56.9842767367
        0.9150016000        57.2935102740         2.7908837975         1.3965428462         2.7456719523        86.6838770421        57.2935102740
        0.9200013000        57.6043938504         2.7912470604         1.3914381925         2.7405681974        79.0649909035        57.6043938504
        0.9250047000        57.9154719261         2.7916104707         1.3939905194         2.7507757072        82.8744339728        57.9154719261
        0.9300038000        58.2262469289         2.7919734473         1.4041998268         2.7609832170        98.1122062500        58.2262469289
        0.9350050000        58.5371165545         2.7923364548         1.4093044805         2.7711907269       105.7310923886        58.5371165545
        0.9400028000        58.8477387500         2.7926990940         1.3965428462         2.7711907269        86.6838770421        58.8477387500
        0.9450036000        59.1585110998         2.7930618295         1.3939905194         2.7711907269        82.8744339728        59.1585110998
        0.9500020000        59.4690978257         2.7934242694         1.3939905194         2.7788463592        82.8744339728        59.4690978257
        0.9550035000        59.7798404828         2.7937868124         1.4220661148         2.7941576240       124.7783077352        59.7798404828
        0.9600041000        60.0904903351         2.7941491686         1.3939905194         2.7916057465        82.8744339728        60.0904903351
        0.9650045000        60.4010906897         2.7945113886         1.3914381925         2.7992613789        79.0649909035        60.4010906897
        0.9700043000        60.7116165179         2.7948734435         1.3965428462         2.7992613789        86.6838770421        60.7116165179
        0.9750032000        61.0220490118         2.7952353116         1.4016475000         2.8171245211        94.3027631807        61.0220490118
        0.9800017000        61.3324190453         2.7955970291         1.3965428462         2.8222282761        86.6838770421        61.3324190453
        0.9850026000        61.6429002643         2.7959587986         1.3990951731         2.8222282761        90.4933201114        61.6429002643
        0.9900016000        61.9532255042         2.7963203088         1.3965428462         2.8324357859        86.6838770421        61.9532255042
        0.9950023000        62.2636180566         2.7966818202         1.4067521537         2.8477470506       101.9216493193        62.2636180566
        1.0000015000        62.5738791032         2.7970431014         1.4067521537         2.8554026830       101.9216493193        62.5738791032
        1.0050039000        62.8843001254         2.7974044919         1.4144091342         2.8605064379       113.3499785272        62.8843001254
