Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]             Omega_out[deg/s]           Omega_target[deg/s]
        2.7500031000       167.4640719015         2.9158296204         1.4884266131         1.0410178097       223.8238275371       167.4640719015
        2.7550017000       167.7492418948         2.9161462800         1.4680079982         1.0512253195       193.3482829827       167.7492418948
        2.7600032000       168.0344738250         2.9164629892         1.4705603251         1.0537771970       197.1577260520       168.0344738250
        2.7650016000       168.3194253465         2.9167793680         1.4782173056         1.0792959716       208.5860552599       168.3194253465
        2.7700035000       168.6044725270         2.9170958340         1.4756649788         1.0843997265       204.7766121906       168.6044725270
        2.7750039000       168.8893301901         2.9174120707         1.4756649788         1.0971591138       204.7766121906       168.8893301901
        2.7800234000       169.1751711286         2.9177293803         1.4807696325         1.1124703785       212.3954983292       169.1751711286
        2.7850031000       169.4586416889         2.9180440400         1.4629033445         1.1175741334       185.7293968441       169.4586416889
        2.7900044000       169.7432374748         2.9183599304         1.4705603251         1.1379891531       197.1577260520       169.7432374748
        2.7950031000       170.0275806309         2.9186755221         1.4935312668         1.1558522953       231.4427136758       170.0275806309
        2.8000024000       170.3118530705         2.9189910172         1.4705603251         1.1609560502       197.1577260520       170.3118530705
        2.8050018000       170.5960261662         2.9193063839         1.4833219594         1.1813710699       216.2049413985       170.5960261662
        2.8100055000       170.8803383368         2.9196218871         1.4960835936         1.1966823347       235.2521567451       170.8803383368
        2.8150025000       171.1641644595         2.9199368331         1.4680079982         1.1992342121       193.3482829827       171.1641644595
        2.8200058000       171.4482427619         2.9202520414         1.4629033445         1.2119935994       185.7293968441       171.4482427619
        2.8250017000       171.7317952432         2.9205666486         1.4756649788         1.2298567416       204.7766121906       171.7317952432
        2.8300014000       172.0154575217         2.9208813604         1.4680079982         1.2426161289       193.3482829827       172.0154575217
        2.8350026000       172.2990987608         2.9211960315         1.4731126519         1.2528236388       200.9671691213       172.2990987608
        2.8400015000       172.5825032958         2.9215104229         1.4705603251         1.2655830261       197.1577260520       172.5825032958
        2.8450051000       172.8660677295         2.9218249746         1.4731126519         1.2757905359       200.9671691213       172.8660677295
        2.8500018000       173.1491345599         2.9221389575         1.4807696325         1.3013093105       212.3954983292       173.1491345599
        2.8550038000       173.4323948034         2.9224531382         1.4756649788         1.3089649429       204.7766121906       173.4323948034
        2.8600023000       173.7153498894         2.9227669638         1.4680079982         1.3191724527       193.3482829827       173.7153498894
        2.8650040000       173.9983789261         2.9230808549         1.4629033445         1.3293799625       185.7293968441       173.9983789261
        2.8700028000       174.2811365506         2.9233944287         1.4782173056         1.3497949822       208.5860552599       174.2811365506
        2.8750027000       174.5638489077         2.9237079360         1.4680079982         1.3600024920       193.3482829827       174.5638489077
        2.8800026000       174.8464535893         2.9240213078         1.4705603251         1.3829693892       197.1577260520       174.8464535893
        2.8850024000       175.1289447725         2.9243345377         1.4858742862         1.3931768990       220.0143844678       175.1289447725
        2.8900015000       175.4112884081         2.9246475882         1.4756649788         1.4033844088       204.7766121906       175.4112884081
        2.8950018000       175.6935916158         2.9249605781         1.4858742862         1.4237994285       220.0143844678       175.6935916158
        2.9000014000       175.9757469366         2.9252733885         1.4756649788         1.4237994285       204.7766121906       175.9757469366
        2.9050023000       176.2578670481         2.9255861443         1.4782173056         1.4442144482       208.5860552599       176.2578670481
        2.9100014000       176.5397769094         2.9258986517         1.4884266131         1.4646294679       223.8238275371       176.5397769094
        2.9150025000       176.8216906305         2.9262111482         1.4986359205         1.4824926101       239.0615998144       176.8216906305
        2.9200017000       177.1033881890         2.9265233899         1.4782173056         1.4875963650       208.5860552599       177.1033881890
        2.9250019000       177.3850328525         2.9268355580         1.4909789399         1.5054595072       227.6332706064       177.3850328525
        2.9300014000       177.6665286814         2.9271475462         1.4833219594         1.5156670170       216.2049413985       177.6665286814
