% Step Response  Vcmd=+2.0000V  Vc=3.342344V
% Vg_offset=1.337252V  K_gimbal=26.049690  K_lin=4.959600
% omega_target=9.919200 rad/s  settle=2.0s  record=5.0s  samples=1001

Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Omega_target[rad/s] 
        0.5806878000         2.0000000000         3.3423440552         1.6747464736         1.5871195859         8.7916188825         9.9192000000
        0.5856470000         2.0000000000         3.3423440552         1.6619848393         1.6202939929         8.4591822614         9.9192000000
        0.5906112000         2.0000000000         3.3423440552         1.6875081079         1.6509165224         9.1240555036         9.9192000000
        0.5956381000         2.0000000000         3.3423440552         1.6670894930         1.6789871744         8.5921569098         9.9192000000
        0.6006613000         2.0000000000         3.3423440552         1.6696418199         1.7198172138         8.6586442340         9.9192000000
        0.6056735000         2.0000000000         3.3423440552         1.6798511273         1.7529916207         8.9245935309         9.9192000000
        0.6105781000         2.0000000000         3.3423440552         1.6670894930         1.7785103953         8.5921569098         9.9192000000
        0.6155358000         2.0000000000         3.3423440552         1.6747464736         1.8167885572         8.7916188825         9.9192000000
        0.6207264000         2.0000000000         3.3423440552         1.6568801856         1.8448592093         8.3262076129         9.9192000000
        0.6257645000         2.0000000000         3.3423440552         1.6696418199         1.8805854937         8.6586442340         9.9192000000
        0.6305716000         2.0000000000         3.3423440552         1.6900604347         1.9188636556         9.1905428279         9.9192000000
        0.6356055000         2.0000000000         3.3423440552         1.6645371662         1.9443824302         8.5256695856         9.9192000000
        0.6405652000         2.0000000000         3.3423440552         1.6619848393         1.9724530822         8.4591822614         9.9192000000
        0.6457498000         2.0000000000         3.3423440552         1.6798511273         2.0132831215         8.9245935309         9.9192000000
        0.6506940000         2.0000000000         3.3423440552         1.6594325125         2.0439056511         8.3926949371         9.9192000000
        0.6555847000         2.0000000000         3.3423440552         1.6772988005         2.0770800580         8.8581062067         9.9192000000
        0.6606167000         2.0000000000         3.3423440552         1.6798511273         2.1153582199         8.9245935309         9.9192000000
        0.6655765000         2.0000000000         3.3423440552         1.6645371662         2.1383251170         8.5256695856         9.9192000000
        0.6704932000         2.0000000000         3.3423440552         1.6824034542         2.1817070338         8.9910808552         9.9192000000
        0.6755802000         2.0000000000         3.3423440552         1.6824034542         2.2174333183         8.9910808552         9.9192000000
        0.6805588000         2.0000000000         3.3423440552         1.6721941467         2.2429520929         8.7251315583         9.9192000000
        0.6855053000         2.0000000000         3.3423440552         1.6798511273         2.2786783773         8.9245935309         9.9192000000
        0.6905484000         2.0000000000         3.3423440552         1.6670894930         2.3118527843         8.5921569098         9.9192000000
        0.6956066000         2.0000000000         3.3423440552         1.6875081079         2.3475790687         9.1240555036         9.9192000000
        0.7006050000         2.0000000000         3.3423440552         1.6772988005         2.3782015982         8.8581062067         9.9192000000
        0.7056539000         2.0000000000         3.3423440552         1.6721941467         2.4139278826         8.7251315583         9.9192000000
        0.7105529000         2.0000000000         3.3423440552         1.6772988005         2.4522060445         8.8581062067         9.9192000000
        0.7154371000         2.0000000000         3.3423440552         1.6721941467         2.4777248191         8.7251315583         9.9192000000
        0.7204202000         2.0000000000         3.3423440552         1.6798511273         2.5185548584         8.9245935309         9.9192000000
        0.7255885000         2.0000000000         3.3423440552         1.6645371662         2.5466255105         8.5256695856         9.9192000000
        0.7304178000         2.0000000000         3.3423440552         1.6721941467         2.5797999174         8.7251315583         9.9192000000
        0.7354293000         2.0000000000         3.3423440552         1.6670894930         2.6129743244         8.5921569098         9.9192000000
        0.7404192000         2.0000000000         3.3423440552         1.6900604347         2.6512524863         9.1905428279         9.9192000000
        0.7454606000         2.0000000000         3.3423440552         1.6645371662         2.6742193834         8.5256695856         9.9192000000
        0.7504306000         2.0000000000         3.3423440552         1.6670894930         2.7099456679         8.5921569098         9.9192000000
        0.7554160000         2.0000000000         3.3423440552         1.6594325125         2.7405681974         8.3926949371         9.9192000000
        0.7604859000         2.0000000000         3.3423440552         1.6721941467         2.7711907269         8.7251315583         9.9192000000
        0.7653833000         2.0000000000         3.3423440552         1.6696418199         2.8069170113         8.6586442340         9.9192000000
        0.7704730000         2.0000000000         3.3423440552         1.6594325125         2.8324357859         8.3926949371         9.9192000000
        0.7754946000         2.0000000000         3.3423440552         1.6696418199         2.8732658252         8.6586442340         9.9192000000
        0.7804447000         2.0000000000         3.3423440552         1.6721941467         2.9064402322         8.7251315583         9.9192000000
        0.7854149000         2.0000000000         3.3423440552         1.6696418199         2.9370627617         8.6586442340         9.9192000000
        0.7904309000         2.0000000000         3.3423440552         1.6696418199         2.9804446785         8.6586442340         9.9192000000
        0.7954236000         2.0000000000         3.3423440552         1.6849557810         3.0110672080         9.0575681794         9.9192000000
        0.8003998000         2.0000000000         3.3423440552         1.6721941467         3.0365859826         8.7251315583         9.9192000000
        0.8054167000         2.0000000000         3.3423440552         1.6747464736         3.0774160220         8.7916188825         9.9192000000
        0.8104307000         2.0000000000         3.3423440552         1.6594325125         3.0978310416         8.3926949371         9.9192000000
        0.8156205000         2.0000000000         3.3423440552         1.7079267227         3.1386610810         9.6559540974         9.9192000000
        0.8206193000         2.0000000000         3.3423440552         1.6619848393         3.1667317330         8.4591822614         9.9192000000
        0.8254636000         2.0000000000         3.3423440552         1.6696418199         3.1973542625         8.6586442340         9.9192000000
        0.8304353000         2.0000000000         3.3423440552         1.6747464736         3.2330805470         8.7916188825         9.9192000000
        0.8353980000         2.0000000000         3.3423440552         1.6670894930         3.2688068314         8.5921569098         9.9192000000
        0.8404470000         2.0000000000         3.3423440552         1.6670894930         3.3019812383         8.5921569098         9.9192000000
        0.8454333000         2.0000000000         3.3423440552         1.6875081079         3.3326037679         9.1240555036         9.9192000000
        0.8504903000         2.0000000000         3.3423440552         1.6900604347         3.3734338072         9.1905428279         9.9192000000
        0.8554546000         2.0000000000         3.3423440552         1.6696418199         3.4091600916         8.6586442340         9.9192000000
        0.8605587000         2.0000000000         3.3423440552         1.6798511273         3.4448863760         8.9245935309         9.9192000000
        0.8657260000         2.0000000000         3.3423440552         1.6875081079         3.4831645379         9.1240555036         9.9192000000
        0.8706350000         2.0000000000         3.3423440552         1.6849557810         3.5239945773         9.0575681794         9.9192000000
        0.8755692000         2.0000000000         3.3423440552         1.6696418199         3.5469614744         8.6586442340         9.9192000000
        0.8806518000         2.0000000000         3.3423440552         1.6849557810         3.5801358814         9.0575681794         9.9192000000
        0.8855829000         2.0000000000         3.3423440552         1.6721941467         3.6133102883         8.7251315583         9.9192000000
        0.8905455000         2.0000000000         3.3423440552         1.6696418199         3.6464846953         8.6586442340         9.9192000000
        0.8955098000         2.0000000000         3.3423440552         1.6824034542         3.6847628572         8.9910808552         9.9192000000
        0.9004990000         2.0000000000         3.3423440552         1.6619848393         3.7153853867         8.4591822614         9.9192000000
        0.9054333000         2.0000000000         3.3423440552         1.6798511273         3.7511116711         8.9245935309         9.9192000000
        0.9105860000         2.0000000000         3.3423440552         1.6824034542         3.7817342006         8.9910808552         9.9192000000
        0.9155780000         2.0000000000         3.3423440552         1.6824034542         3.8149086076         8.9910808552         9.9192000000
        0.9205434000         2.0000000000         3.3423440552         1.6721941467         3.8455311371         8.7251315583         9.9192000000
        0.9256075000         2.0000000000         3.3423440552         1.6721941467         3.8812574215         8.7251315583         9.9192000000
        0.9305477000         2.0000000000         3.3423440552         1.6721941467         3.9220874609         8.7251315583         9.9192000000
        0.9356923000         2.0000000000         3.3423440552         1.6721941467         3.9501581129         8.7251315583         9.9192000000
        0.9406881000         2.0000000000         3.3423440552         1.6645371662         3.9756768875         8.5256695856         9.9192000000
        0.9456456000         2.0000000000         3.3423440552         1.6645371662         4.0062994170         8.5256695856         9.9192000000
        0.9504921000         2.0000000000         3.3423440552         1.6747464736         4.0394738240         8.7916188825         9.9192000000
        0.9554281000         2.0000000000         3.3423440552         1.6721941467         4.0777519859         8.7251315583         9.9192000000
        0.9605484000         2.0000000000         3.3423440552         1.6798511273         4.1160301478         8.9245935309         9.9192000000
        0.9655244000         2.0000000000         3.3423440552         1.6670894930         4.1517564322         8.5921569098         9.9192000000
        0.9706461000         2.0000000000         3.3423440552         1.6747464736         4.1772752068         8.7916188825         9.9192000000
        0.9755548000         2.0000000000         3.3423440552         1.6747464736         4.2232090010         8.7916188825         9.9192000000
        0.9806407000         2.0000000000         3.3423440552         1.6721941467         4.2512796531         8.7251315583         9.9192000000
        0.9855922000         2.0000000000         3.3423440552         1.6747464736         4.2819021826         8.7916188825         9.9192000000
        0.9905865000         2.0000000000         3.3423440552         1.6645371662         4.3125247121         8.5256695856         9.9192000000
        0.9955903000         2.0000000000         3.3423440552         1.6696418199         4.3533547515         8.6586442340         9.9192000000
        1.0007356000         2.0000000000         3.3423440552         1.6543278587         4.3890810359         8.2597202887         9.9192000000
        1.0056891000         2.0000000000         3.3423440552         1.6798511273         4.4273591978         8.9245935309         9.9192000000
        1.0106082000         2.0000000000         3.3423440552         1.6696418199         4.4554298498         8.6586442340         9.9192000000
        1.0157243000         2.0000000000         3.3423440552         1.6747464736         4.4860523793         8.7916188825         9.9192000000
        1.0205169000         2.0000000000         3.3423440552         1.6619848393         4.5268824187         8.4591822614         9.9192000000
        1.0255328000         2.0000000000         3.3423440552         1.6849557810         4.5651605806         9.0575681794         9.9192000000
        1.0307703000         2.0000000000         3.3423440552         1.7002697422         4.5906793551         9.4564921248         9.9192000000
        1.0357276000         2.0000000000         3.3423440552         1.6645371662         4.6213018847         8.5256695856         9.9192000000
        1.0406381000         2.0000000000         3.3423440552         1.6619848393         4.6595800465         8.4591822614         9.9192000000
        1.0456347000         2.0000000000         3.3423440552         1.6900604347         4.7004100859         9.1905428279         9.9192000000
        1.0505556000         2.0000000000         3.3423440552         1.6772988005         4.7437920027         8.8581062067         9.9192000000
        1.0555445000         2.0000000000         3.3423440552         1.6721941467         4.7795182871         8.7251315583         9.9192000000
        1.0606357000         2.0000000000         3.3423440552         1.6824034542         4.8126926941         8.9910808552         9.9192000000
        1.0655434000         2.0000000000         3.3423440552         1.6849557810         4.8484189785         9.0575681794         9.9192000000
        1.0706319000         2.0000000000         3.3423440552         1.6670894930         4.8739377531         8.5921569098         9.9192000000
        1.0756485000         2.0000000000         3.3423440552         1.6696418199         4.9122159150         8.6586442340         9.9192000000
        1.0807181000         2.0000000000         3.3423440552         1.6849557810         4.9581497092         9.0575681794         9.9192000000
        1.0854363000         2.0000000000         3.3423440552         1.6849557810         4.9887722387         9.0575681794         9.9192000000
        1.0906027000         2.0000000000         3.3423440552         1.6772988005         5.0142910133         8.8581062067         9.9192000000
        1.0955798000         2.0000000000         3.3423440552         1.6772988005         5.0040835035         8.8581062067         9.9192000000
        1.1006390000         2.0000000000         3.3423440552         1.6772988005         5.0066353810         8.8581062067         9.9192000000
        1.1054945000         2.0000000000         3.3423440552         1.6696418199         5.0015316260         8.6586442340         9.9192000000
        1.1106226000         2.0000000000         3.3423440552         1.6568801856         1.1124703785         8.3262076129         9.9192000000
        1.1157404000         2.0000000000         3.3423440552         1.6824034542         0.0126111937         8.9910808552         9.9192000000
        1.1205568000         2.0000000000         3.3423440552         1.6747464736         0.0075074388         8.7916188825         9.9192000000
        1.1254136000         2.0000000000         3.3423440552         1.7028220690         0.0024036839         9.5229794490         9.9192000000
        1.1306425000         2.0000000000         3.3423440552         1.7002697422         0.0075074388         9.4564921248         9.9192000000
        1.1368574000         2.0000000000         3.3423440552         1.6772988005         0.0228187035         8.8581062067         9.9192000000
        1.1404882000         2.0000000000         3.3423440552         1.6772988005         0.0559931105         8.8581062067         9.9192000000
        1.1501269000         2.0000000000         3.3423440552         1.6900604347         0.1172381695         9.1905428279         9.9192000000
        1.1518483000         2.0000000000         3.3423440552         1.6875081079         0.1351013117         9.1240555036         9.9192000000
        1.1556048000         2.0000000000         3.3423440552         1.6721941467         0.1555163314         8.7251315583         9.9192000000
        1.1605663000         2.0000000000         3.3423440552         1.6619848393         0.1912426158         8.4591822614         9.9192000000
        1.1657168000         2.0000000000         3.3423440552         1.6772988005         0.2218651453         8.8581062067         9.9192000000
        1.1705686000         2.0000000000         3.3423440552         1.6696418199         0.2601433072         8.6586442340         9.9192000000
        1.1756923000         2.0000000000         3.3423440552         1.6721941467         0.2933177142         8.7251315583         9.9192000000
        1.1806586000         2.0000000000         3.3423440552         1.6645371662         0.3315958761         8.5256695856         9.9192000000
        1.1857178000         2.0000000000         3.3423440552         1.6849557810         0.3673221605         9.0575681794         9.9192000000
